Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	2.232968783	17.69834517	0	22050	KDK	Dawn	c				
1	Spectrogram 1	1	2.232968783	17.69834517	0	22050	KDK	Dawn	c				
2	Waveform 1	1	56.03407039	63.64270476	0	22050	KDK	Dawn	c				
2	Spectrogram 1	1	56.03407039	63.64270476	0	22050	KDK	Dawn	c				
3	Waveform 1	1	82.61332537	88.34431952	0	22050	KDK	Dawn	pre trial sing				
3	Spectrogram 1	1	82.61332537	88.34431952	0	22050	KDK	Dawn	pre trial sing				
4	Waveform 1	1	88.75367625	92.61332537	0	22050	KDK	Dawn	c				
4	Spectrogram 1	1	88.75367625	92.61332537	0	22050	KDK	Dawn	c				
5	Waveform 1	1	94.60162946	98.75367625	0	22050	KDK	Dawn	pre trial sing				
5	Spectrogram 1	1	94.60162946	98.75367625	0	22050	KDK	Dawn	pre trial sing				
6	Waveform 1	1	101.3267757	103.1396412	0	22050	KDK	Dawn	c				
6	Spectrogram 1	1	101.3267757	103.1396412	0	22050	KDK	Dawn	c				
7	Waveform 1	1	174.3716872	177.9389386	0	22050	KDK	Dawn	pre trial sing				
7	Spectrogram 1	1	174.3716872	177.9389386	0	22050	KDK	Dawn	pre trial sing				
8	Waveform 1	1	177.8219796	182.149465	0	22050	KDK	Dawn	c				
8	Spectrogram 1	1	177.8219796	182.149465	0	22050	KDK	Dawn	c				
9	Waveform 1	1	185.8336755	188.640693	0	22050	KDK	Dawn	c				
9	Spectrogram 1	1	185.8336755	188.640693	0	22050	KDK	Dawn	c				
10	Waveform 1	1	188.4652544	190.5705176	0	22050	KDK	Dawn	pre trial sing				
10	Spectrogram 1	1	188.4652544	190.5705176	0	22050	KDK	Dawn	pre trial sing				
11	Waveform 1	1	190.6289971	191.389231	0	22050	KDK	Dawn	c				
11	Spectrogram 1	1	190.6289971	191.389231	0	22050	KDK	Dawn	c				
12	Waveform 1	1	193.4360147	196.4184708	0	22050	KDK	Dawn	pre trial sing				
12	Spectrogram 1	1	193.4360147	196.4184708	0	22050	KDK	Dawn	pre trial sing				
13	Waveform 1	1	196.3599913	197.646541	0	22050	KDK	Dawn	pre trial singc				
13	Spectrogram 1	1	196.3599913	197.646541	0	22050	KDK	Dawn	pre trial singc				
14	Waveform 1	1	200.5120381	204.1377691	0	22050	KDK	Dawn	pre trial sing				
14	Spectrogram 1	1	200.5120381	204.1377691	0	22050	KDK	Dawn	pre trial sing				
15	Waveform 1	1	203.7284123	204.898003	0	22050	KDK	Dawn	c				
15	Spectrogram 1	1	203.7284123	204.898003	0	22050	KDK	Dawn	c				
16	Waveform 1	1	206.587565	210.5641732	0	22050	KDK	Dawn	pre trial sing				
16	Spectrogram 1	1	206.587565	210.5641732	0	22050	KDK	Dawn	pre trial sing				
17	Waveform 1	1	213.1957521	218.0495533	0	22050	KDK	Dawn	pre trial sing				
17	Spectrogram 1	1	213.1957521	218.0495533	0	22050	KDK	Dawn	pre trial sing				
18	Waveform 1	1	219.8039393	222.7279159	0	22050	KDK	Dawn	pre trial sing				
18	Spectrogram 1	1	219.8039393	222.7279159	0	22050	KDK	Dawn	pre trial sing				
19	Waveform 1	1	222.6694363	224.2483837	0	22050	KDK	Dawn	c				
19	Spectrogram 1	1	222.6694363	224.2483837	0	22050	KDK	Dawn	c				
20	Waveform 1	1	226.7630036	230.0963369	0	22050	KDK	Dawn	pre trial sing				
20	Spectrogram 1	1	226.7630036	230.0963369	0	22050	KDK	Dawn	pre trial sing				
21	Waveform 1	1	230.0963369	231.090489	0	22050	KDK	Dawn	c				
21	Spectrogram 1	1	230.0963369	231.090489	0	22050	KDK	Dawn	c				
22	Waveform 1	1	231.2659276	238.4004305	0	22050	KDK	Dawn	c				
22	Spectrogram 1	1	231.2659276	238.4004305	0	22050	KDK	Dawn	c				
23	Waveform 1	1	237.9847195	241.9613277	0	22050	KDK	Dawn	pre trial sing				
23	Spectrogram 1	1	237.9847195	241.9613277	0	22050	KDK	Dawn	pre trial sing				
24	Waveform 1	1	243.0139593	246.5227312	0	22050	KDK	Dawn	c				
24	Spectrogram 1	1	243.0139593	246.5227312	0	22050	KDK	Dawn	c				
25	Waveform 1	1	440.7369862	444.4796762	0	22050	KDK	Dawn	c				
25	Spectrogram 1	1	440.7369862	444.4796762	0	22050	KDK	Dawn	c				
26	Waveform 1	1	471.6287126	478.2368997	0	22050	KDK	Dawn	c				
26	Spectrogram 1	1	471.6287126	478.2368997	0	22050	KDK	Dawn	c				
27	Waveform 1	1	488.1212725	490.811331	0	22050	KDK	Dawn	pre trial sing				
27	Spectrogram 1	1	488.1212725	490.811331	0	22050	KDK	Dawn	pre trial sing				
28	Waveform 1	1	490.6358924	491.6300445	0	22050	KDK	Dawn	c				
28	Spectrogram 1	1	490.6358924	491.6300445	0	22050	KDK	Dawn	c				
29	Waveform 1	1	529.1739041	530.9282901	0	22050	KDK	Dawn	c				
29	Spectrogram 1	1	529.1739041	530.9282901	0	22050	KDK	Dawn	c				
30	Waveform 1	1	530.9428629	533.2820442	0	22050	KDK	Dawn	pre trial sing				
30	Spectrogram 1	1	530.9428629	533.2820442	0	22050	KDK	Dawn	pre trial sing				
31	Waveform 1	1	533.2339181	536.1578947	0	22050	KDK	dawn	stim	f			
31	Spectrogram 1	1	533.2339181	536.1578947	0	22050	KDK	dawn	stim	f			
32	Waveform 1	1	544.871345	548.0292398	0	22050	KDK	dawn	stim	f			
32	Spectrogram 1	1	544.871345	548.0292398	0	22050	KDK	dawn	stim	f			
33	Waveform 1	1	547.0832138	548.0773658	0	22050	KDK	Dawn	c				
