Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	310.557000000	312.487000021	0.0	22050.0	KlBk	A	S	C			
1	Spectrogram 1	1	310.557000000	312.487000021	0.0	22050.0	KlBk	A	S	C			
2	Waveform 1	1	322.507682554	324.793856450	0.0	22050.0	KlBk	A	S	C			
2	Spectrogram 1	1	322.507682554	324.793856450	0.0	22050.0	KlBk	A	S	C			
3	Waveform 1	1	335.071847463	337.886318541	0.0	22050.0	KlBk	A	S	C			
3	Spectrogram 1	1	335.071847463	337.886318541	0.0	22050.0	KlBk	A	S	C			
4	Waveform 1	1	347.465476841	348.985487375	0.0	22050.0	KlBk	A	S	C			
4	Spectrogram 1	1	347.465476841	348.985487375	0.0	22050.0	KlBk	A	S	C			
5	Waveform 1	1	359.458580770	361.849799247	0.0	22050.0	KlBk	A	S	C			
5	Spectrogram 1	1	359.458580770	361.849799247	0.0	22050.0	KlBk	A	S	C			
6	Waveform 1	1	367.737996096	370.025314077	0.0	22050.0	KlBk	A	S	C			
6	Spectrogram 1	1	367.737996096	370.025314077	0.0	22050.0	KlBk	A	S	C			
7	Waveform 1	1	379.125769317	380.975805919	0.0	22050.0	KlBk	A	S	C			
7	Spectrogram 1	1	379.125769317	380.975805919	0.0	22050.0	KlBk	A	S	C			
8	Waveform 1	1	384.594195122	386.431635668	0.0	22050.0	KlBk	A	S	C			
8	Spectrogram 1	1	384.594195122	386.431635668	0.0	22050.0	KlBk	A	S	C			
9	Waveform 1	1	397.036936038	398.904056293	0.0	22050.0	KlBk	A	S	F			
9	Spectrogram 1	1	397.036936038	398.904056293	0.0	22050.0	KlBk	A	S	F			
10	Waveform 1	1	413.219623100	417.391815600	0.0	22050.0	KlBk	A					
10	Spectrogram 1	1	413.219623100	417.391815600	0.0	22050.0	KlBk	A					
11	Waveform 1	1	425.490085900	430.392663100	0.0	22050.0	KlBk	A					
11	Spectrogram 1	1	425.490085900	430.392663100	0.0	22050.0	KlBk	A					
12	Waveform 1	1	437.395356400	442.882241400	0.0	22050.0	KlBk	A					
12	Spectrogram 1	1	437.395356400	442.882241400	0.0	22050.0	KlBk	A					
13	Waveform 1	1	450.104050000	455.371819600	0.0	22050.0	KlBk	A					
13	Spectrogram 1	1	450.104050000	455.371819600	0.0	22050.0	KlBk	A					
14	Waveform 1	1	462.520589800	467.715320900	0.0	22050.0	KlBk	A					
14	Spectrogram 1	1	462.520589800	467.715320900	0.0	22050.0	KlBk	A					
15	Waveform 1	1	475.510896000	480.121319400	0.0	22050.0	KlBk	A					
15	Spectrogram 1	1	475.510896000	480.121319400	0.0	22050.0	KlBk	A					
16	Waveform 1	1	487.550953652	492.891761752	0.0	22050.0	KlBk	A					
16	Spectrogram 1	1	487.550953652	492.891761752	0.0	22050.0	KlBk	A					
17	Waveform 1	1	500.270937100	505.100475800	0.0	22050.0	KlBk	A					
17	Spectrogram 1	1	500.270937100	505.100475800	0.0	22050.0	KlBk	A					
18	Waveform 1	1	512.541399900	517.517015600	0.0	22050.0	KlBk	A					
18	Spectrogram 1	1	512.541399900	517.517015600	0.0	22050.0	KlBk	A					
19	Waveform 1	1	524.884901200	529.860516900	0.0	22050.0	KlBk	A					
19	Spectrogram 1	1	524.884901200	529.860516900	0.0	22050.0	KlBk	A					
20	Waveform 1	1	537.082325500	542.423133600	0.0	22050.0	KlBk	A					
20	Spectrogram 1	1	537.082325500	542.423133600	0.0	22050.0	KlBk	A					
21	Waveform 1	1	549.571903800	554.182327100	0.0	22050.0	KlBk	A					
21	Spectrogram 1	1	549.571903800	554.182327100	0.0	22050.0	KlBk	A					
22	Waveform 1	1	562.126134500	566.955673300	0.0	22050.0	KlBk	A					
22	Spectrogram 1	1	562.126134500	566.955673300	0.0	22050.0	KlBk	A					
23	Waveform 1	1	574.177481900	579.080059200	0.0	22050.0	KlBk	A					
23	Spectrogram 1	1	574.177481900	579.080059200	0.0	22050.0	KlBk	A					
24	Waveform 1	1	586.667060200	591.788752800	0.0	22050.0	KlBk	A					
24	Spectrogram 1	1	586.667060200	591.788752800	0.0	22050.0	KlBk	A					
25	Waveform 1	1	599.229676900	604.132254100	0.0	22050.0	KlBk	A					
25	Spectrogram 1	1	599.229676900	604.132254100	0.0	22050.0	KlBk	A					
26	Waveform 1	1	611.938370500	616.110563100	0.0	22050.0	KlBk	A					
26	Spectrogram 1	1	611.938370500	616.110563100	0.0	22050.0	KlBk	A					
27	Waveform 1	1	623.858541800	629.199349800	0.0	22050.0	KlBk	A					
27	Spectrogram 1	1	623.858541800	629.199349800	0.0	22050.0	KlBk	A					
28	Waveform 1	1	636.786350800	641.469812600	0.0	22050.0	KlBk	A					
28	Spectrogram 1	1	636.786350800	641.469812600	0.0	22050.0	KlBk	A					
29	Waveform 1	1	649.495044400	653.959390900	0.0	22050.0	KlBk	A					
29	Spectrogram 1	1	649.495044400	653.959390900	0.0	22050.0	KlBk	A					
30	Waveform 1	1	661.546391900	666.263344700	0.0	22050.0	KlBk	A					
30	Spectrogram 1	1	661.546391900	666.263344700	0.0	22050.0	KlBk	A					
33	Waveform 1	1	0.005644874	310.517212471	0.0	22050.0	KlBk	A	Pre-Trial				
33	Spectrogram 1	1	0.005644874	310.517212471	0.0	22050.0	KlBk	A	Pre-Trial				
