Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	27.103509350	29.449202205	0.0	22050.0	LgWV	A	R				Pretrial
1	Spectrogram 1	1	27.103509350	29.449202205	0.0	22050.0	LgWV	A	R				Pretrial
2	Waveform 1	1	29.438959004	29.741133411	0.0	22050.0	LgWV	A	C				Pretrial
2	Spectrogram 1	1	29.438959004	29.741133411	0.0	22050.0	LgWV	A	C				Pretrial
3	Waveform 1	1	58.706344910	60.370864949	0.0	22050.0	LgWV	A	R				
3	Spectrogram 1	1	58.706344910	60.370864949	0.0	22050.0	LgWV	A	R				
4	Waveform 1	1	60.731937757	61.218489769	0.0	22050.0	LgWV	A	C				Pretrial
4	Spectrogram 1	1	60.731937757	61.218489769	0.0	22050.0	LgWV	A	C				Pretrial
5	Waveform 1	1	304.297326672	306.786424331	0.0	22050.0	LgWV	A	S	C			
5	Spectrogram 1	1	304.297326672	306.786424331	0.0	22050.0	LgWV	A	S	C			
6	Waveform 1	1	307.062990737	307.421502745	0.0	22050.0	LgWV	A	C				
6	Spectrogram 1	1	307.062990737	307.421502745	0.0	22050.0	LgWV	A	C				
7	Waveform 1	1	317.446295098	319.725407151	0.0	22050.0	LgWV	A	S	C			
7	Spectrogram 1	1	317.446295098	319.725407151	0.0	22050.0	LgWV	A	S	C			
8	Waveform 1	1	320.022459958	320.519255170	0.0	22050.0	LgWV	A	C				
8	Spectrogram 1	1	320.022459958	320.519255170	0.0	22050.0	LgWV	A	C				
9	Waveform 1	1	329.748133190	332.262838849	0.0	22050.0	LgWV	A	S	C			
9	Spectrogram 1	1	329.748133190	332.262838849	0.0	22050.0	LgWV	A	S	C			
37	Waveform 1	1	332.416486853	332.805728462	0.0	22050.0	LgWV	A	C				
37	Spectrogram 1	1	332.416486853	332.805728462	0.0	22050.0	LgWV	A	C				
10	Waveform 1	1	342.244758189	344.836287850	0.0	22050.0	LgWV	A	S	C			
10	Spectrogram 1	1	342.244758189	344.836287850	0.0	22050.0	LgWV	A	S	C			
41	Waveform 1	1	345.148705457	345.527703866	0.0	22050.0	LgWV	A	C				
41	Spectrogram 1	1	345.148705457	345.527703866	0.0	22050.0	LgWV	A	C				
11	Waveform 1	1	355.705941640	358.256498499	0.0	22050.0	LgWV	A	S	C			
11	Spectrogram 1	1	355.705941640	358.256498499	0.0	22050.0	LgWV	A	S	C			
42	Waveform 1	1	359.009373717	359.516412129	0.0	22050.0	LgWV	A	C				
42	Spectrogram 1	1	359.009373717	359.516412129	0.0	22050.0	LgWV	A	C				
12	Waveform 1	1	369.030958700	371.486494796	0.0	22050.0	LgWV	A	S	C			
12	Spectrogram 1	1	369.030958700	371.486494796	0.0	22050.0	LgWV	A	S	C			
43	Waveform 1	1	371.916709206	372.208640413	0.0	22050.0	LgWV	A	C				
43	Spectrogram 1	1	371.916709206	372.208640413	0.0	22050.0	LgWV	A	C				
13	Waveform 1	1	381.747480300	384.490238135	0.0	22050.0	LgWV	A	S	C			
13	Spectrogram 1	1	381.747480300	384.490238135	0.0	22050.0	LgWV	A	S	C			
44	Waveform 1	1	383.737362918	385.949894169	0.0	22050.0	LgWV	A	R		Y	Y	
44	Spectrogram 1	1	383.737362918	385.949894169	0.0	22050.0	LgWV	A	R		Y	Y	
45	Waveform 1	1	386.011353371	387.030551795	0.0	22050.0	LgWV	A	C				
45	Spectrogram 1	1	386.011353371	387.030551795	0.0	22050.0	LgWV	A	C				
14	Waveform 1	1	394.256111100	396.988047400	0.0	22050.0	LgWV	A	S	C			
14	Spectrogram 1	1	394.256111100	396.988047400	0.0	22050.0	LgWV	A	S	C			
47	Waveform 1	1	397.233884206	397.607761015	0.0	22050.0	LgWV	A	C				
