Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	4.210526316	5.190058480	0.0	22050.0	LOL	dawn	c				
1	Spectrogram 1	1	4.210526316	5.190058480	0.0	22050.0	LOL	dawn	c				
2	Waveform 1	1	6.023391813	7.163742690	0.0	22050.0	LOL	dawn	c				
2	Spectrogram 1	1	6.023391813	7.163742690	0.0	22050.0	LOL	dawn	c				
3	Waveform 1	1	7.587719298	11.608187135	0.0	22050.0	LOL	dawn	c				
3	Spectrogram 1	1	7.587719298	11.608187135	0.0	22050.0	LOL	dawn	c				
4	Waveform 1	1	16.443768307	18.373592869	0.0	22050.0	LOL	dawn	c				
4	Spectrogram 1	1	16.443768307	18.373592869	0.0	22050.0	LOL	dawn	c				
5	Waveform 1	1	27.618446209	29.899147963	0.0	22050.0	LOL	dawn	c				
5	Spectrogram 1	1	27.618446209	29.899147963	0.0	22050.0	LOL	dawn	c				
6	Waveform 1	1	36.516658459	39.206716938	0.0	22050.0	LOL	dawn	c				
6	Spectrogram 1	1	36.516658459	39.206716938	0.0	22050.0	LOL	dawn	c				
7	Waveform 1	1	40.683325125	41.414319277	0.0	22050.0	LOL	dawn	c				
7	Spectrogram 1	1	40.683325125	41.414319277	0.0	22050.0	LOL	dawn	c				
8	Waveform 1	1	72.918056229	77.128582545	0.0	22050.0	LOL	dawn	c				
8	Spectrogram 1	1	72.918056229	77.128582545	0.0	22050.0	LOL	dawn	c				
9	Waveform 1	1	78.078874943	79.789401258	0.0	22050.0	LOL	dawn	c				
9	Spectrogram 1	1	78.078874943	79.789401258	0.0	22050.0	LOL	dawn	c				
10	Waveform 1	1	81.069803288	82.107814984	0.0	22050.0	LOL	dawn	c				
10	Spectrogram 1	1	81.069803288	82.107814984	0.0	22050.0	LOL	dawn	c				
11	Waveform 1	1	86.099043054	87.034715568	0.0	22050.0	LOL	dawn	c				
11	Spectrogram 1	1	86.099043054	87.034715568	0.0	22050.0	LOL	dawn	c				
12	Waveform 1	1	93.035653250	95.345594770	0.0	22050.0	LOL	dawn	pre trial sing				
12	Spectrogram 1	1	93.035653250	95.345594770	0.0	22050.0	LOL	dawn	pre trial sing				
13	Waveform 1	1	95.186470498	96.896996814	0.0	22050.0	LOL	dawn	c				
13	Spectrogram 1	1	95.186470498	96.896996814	0.0	22050.0	LOL	dawn	c				
14	Waveform 1	1	99.777113773	100.654306755	0.0	22050.0	LOL	dawn	c				
14	Spectrogram 1	1	99.777113773	100.654306755	0.0	22050.0	LOL	dawn	c				
15	Waveform 1	1	103.529127192	106.175326022	0.0	22050.0	LOL	dawn	pre trial sing				poor recording
15	Spectrogram 1	1	103.529127192	106.175326022	0.0	22050.0	LOL	dawn	pre trial sing				poor recording
16	Waveform 1	1	106.290590646	106.919245616	0.0	22050.0	LOL	dawn	c				
16	Spectrogram 1	1	106.290590646	106.919245616	0.0	22050.0	LOL	dawn	c				
17	Waveform 1	1	114.370089445	116.913949094	0.0	22050.0	LOL	dawn	pre trial sing				
17	Spectrogram 1	1	114.370089445	116.913949094	0.0	22050.0	LOL	dawn	pre trial sing				
18	Waveform 1	1	116.987048509	118.551375995	0.0	22050.0	LOL	dawn	c				
18	Spectrogram 1	1	116.987048509	118.551375995	0.0	22050.0	LOL	dawn	c				
19	Waveform 1	1	120.734821891	123.249441774	0.0	22050.0	LOL	dawn	c				
19	Spectrogram 1	1	120.734821891	123.249441774	0.0	22050.0	LOL	dawn	c				
20	Waveform 1	1	126.673883287	129.100783872	0.0	22050.0	LOL	dawn	pre trial sing				
20	Spectrogram 1	1	126.673883287	129.100783872	0.0	22050.0	LOL	dawn	pre trial sing				
21	Waveform 1	1	129.352718636	131.253303432	0.0	22050.0	LOL	dawn	c				
21	Spectrogram 1	1	129.352718636	131.253303432	0.0	22050.0	LOL	dawn	c				
22	Waveform 1	1	136.303948716	138.394591990	0.0	22050.0	LOL	dawn	c				
22	Spectrogram 1	1	136.303948716	138.394591990	0.0	22050.0	LOL	dawn	c				
23	Waveform 1	1	139.184908960	141.143973287	0.0	22050.0	LOL	dawn	pre trial sing				
23	Spectrogram 1	1	139.184908960	141.143973287	0.0	22050.0	LOL	dawn	pre trial sing				
24	Waveform 1	1	141.479387312	142.151901932	0.0	22050.0	LOL	dawn	c				
24	Spectrogram 1	1	141.479387312	142.151901932	0.0	22050.0	LOL	dawn	c				
25	Waveform 1	1	150.114441667	152.716780848	0.0	22050.0	LOL	dawn	pre trial sing				
25	Spectrogram 1	1	150.114441667	152.716780848	0.0	22050.0	LOL	dawn	pre trial sing				
26	Waveform 1	1	153.156220624	154.091893139	0.0	22050.0	LOL	dawn	c				
26	Spectrogram 1	1	153.156220624	154.091893139	0.0	22050.0	LOL	dawn	c				
27	Waveform 1	1	157.459557432	160.032656847	0.0	22050.0	LOL	dawn	pre trial sing				
27	Spectrogram 1	1	157.459557432	160.032656847	0.0	22050.0	LOL	dawn	pre trial sing				
28	Waveform 1	1	160.048963301	160.999255698	0.0	22050.0	LOL	dawn	c				
28	Spectrogram 1	1	160.048963301	160.999255698	0.0	22050.0	LOL	dawn	c				
29	Waveform 1	1	161.613290786	162.709782014	0.0	22050.0	LOL	dawn	c				
29	Spectrogram 1	1	161.613290786	162.709782014	0.0	22050.0	LOL	dawn	c				
30	Waveform 1	1	166.546125850	169.104605382	0.0	22050.0	LOL	dawn	pre trial sing				
30	Spectrogram 1	1	166.546125850	169.104605382	0.0	22050.0	LOL	dawn	pre trial sing				
31	Waveform 1	1	169.194870277	170.057443376	0.0	22050.0	LOL	dawn	c				
31	Spectrogram 1	1	169.194870277	170.057443376	0.0	22050.0	LOL	dawn	c				
32	Waveform 1	1	172.779287219	175.834842774	0.0	22050.0	LOL	dawn	pre trial sing				
32	Spectrogram 1	1	172.779287219	175.834842774	0.0	22050.0	LOL	dawn	pre trial sing				
33	Waveform 1	1	176.890019950	179.653177845	0.0	22050.0	LOL	dawn	c				
33	Spectrogram 1	1	176.890019950	179.653177845	0.0	22050.0	LOL	dawn	c				
34	Waveform 1	1	187.716354449	189.997056204	0.0	22050.0	LOL	dawn	pre trial sing				
34	Spectrogram 1	1	187.716354449	189.997056204	0.0	22050.0	LOL	dawn	pre trial sing				
35	Waveform 1	1	190.466579031	191.270672598	0.0	22050.0	LOL	dawn	c				
35	Spectrogram 1	1	190.466579031	191.270672598	0.0	22050.0	LOL	dawn	c				
36	Waveform 1	1	193.119571367	195.619571367	0.0	22050.0	LOL	dawn	pre trial sing				
36	Spectrogram 1	1	193.119571367	195.619571367	0.0	22050.0	LOL	dawn	pre trial sing				
37	Waveform 1	1	195.954126365	197.986290108	0.0	22050.0	LOL	dawn	c				
37	Spectrogram 1	1	195.954126365	197.986290108	0.0	22050.0	LOL	dawn	c				
38	Waveform 1	1	200.224834525	202.958752654	0.0	22050.0	LOL	dawn	pre trial sing				
38	Spectrogram 1	1	200.224834525	202.958752654	0.0	22050.0	LOL	dawn	pre trial sing				
39	Waveform 1	1	203.431680105	204.133434491	0.0	22050.0	LOL	dawn	c				
39	Spectrogram 1	1	203.431680105	204.133434491	0.0	22050.0	LOL	dawn	c				
40	Waveform 1	1	206.518161996	209.953834511	0.0	22050.0	LOL	dawn	pre trial sing				
40	Spectrogram 1	1	206.518161996	209.953834511	0.0	22050.0	LOL	dawn	pre trial sing				
41	Waveform 1	1	209.957223393	212.281784796	0.0	22050.0	LOL	dawn	c				
41	Spectrogram 1	1	209.957223393	212.281784796	0.0	22050.0	LOL	dawn	c				
42	Waveform 1	1	213.821963709	216.336583592	0.0	22050.0	LOL	dawn	pre trial sing				
42	Spectrogram 1	1	213.821963709	216.336583592	0.0	22050.0	LOL	dawn	pre trial sing				
43	Waveform 1	1	216.368368955	217.128602874	0.0	22050.0	LOL	dawn	c				
43	Spectrogram 1	1	216.368368955	217.128602874	0.0	22050.0	LOL	dawn	c				
44	Waveform 1	1	218.459012230	219.687082406	0.0	22050.0	LOL	dawn	c				
44	Spectrogram 1	1	218.459012230	219.687082406	0.0	22050.0	LOL	dawn	c				
45	Waveform 1	1	219.699156692	221.848279499	0.0	22050.0	LOL	dawn	pre trial sing				
45	Spectrogram 1	1	219.699156692	221.848279499	0.0	22050.0	LOL	dawn	pre trial sing				
46	Waveform 1	1	222.099363107	222.859597026	0.0	22050.0	LOL	dawn	c				
46	Spectrogram 1	1	222.099363107	222.859597026	0.0	22050.0	LOL	dawn	c				
47	Waveform 1	1	224.252718081	227.118215157	0.0	22050.0	LOL	dawn	pre trial sing				
47	Spectrogram 1	1	224.252718081	227.118215157	0.0	22050.0	LOL	dawn	pre trial sing				
