Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	0.038986355	2.787524366	0.0	22050.0	LGLG	dawn	c				
1	Spectrogram 1	1	0.038986355	2.787524366	0.0	22050.0	LGLG	dawn	c				
2	Waveform 1	1	5.272904483	8.206627680	0.0	22050.0	LGLG	dawn	pre trial sing				
2	Spectrogram 1	1	5.272904483	8.206627680	0.0	22050.0	LGLG	dawn	pre trial sing				
3	Waveform 1	1	7.836257310	8.372319688	0.0	22050.0	LGLG	dawn	c				
3	Spectrogram 1	1	7.836257310	8.372319688	0.0	22050.0	LGLG	dawn	c				
4	Waveform 1	1	16.503438761	18.248078137	0.0	22050.0	LGLG	dawn	pre trial sing				
4	Spectrogram 1	1	16.503438761	18.248078137	0.0	22050.0	LGLG	dawn	pre trial sing				
5	Waveform 1	1	18.383459734	19.065720942	0.0	22050.0	LGLG	dawn	c				
5	Spectrogram 1	1	18.383459734	19.065720942	0.0	22050.0	LGLG	dawn	c				
6	Waveform 1	1	26.621790322	29.516527164	0.0	22050.0	LGLG	dawn	pre trial sing				
6	Spectrogram 1	1	26.621790322	29.516527164	0.0	22050.0	LGLG	dawn	pre trial sing				
7	Waveform 1	1	29.521131596	30.183899627	0.0	22050.0	LGLG	dawn	c				
7	Spectrogram 1	1	29.521131596	30.183899627	0.0	22050.0	LGLG	dawn	c				
8	Waveform 1	1	38.879786002	41.725789901	0.0	22050.0	LGLG	dawn	pre trial sing				
8	Spectrogram 1	1	38.879786002	41.725789901	0.0	22050.0	LGLG	dawn	pre trial sing				
9	Waveform 1	1	39.405567909	42.758394420	0.0	22050.0	LGLG	dawn	c				
9	Spectrogram 1	1	39.405567909	42.758394420	0.0	22050.0	LGLG	dawn	c				
10	Waveform 1	1	47.990169337	51.323502670	0.0	22050.0	LGLG	dawn	pre trial sing				
10	Spectrogram 1	1	47.990169337	51.323502670	0.0	22050.0	LGLG	dawn	pre trial sing				
11	Waveform 1	1	51.352204713	52.219651106	0.0	22050.0	LGLG	dawn	c				
11	Spectrogram 1	1	51.352204713	52.219651106	0.0	22050.0	LGLG	dawn	c				
12	Waveform 1	1	54.617311925	56.917506857	0.0	22050.0	LGLG	dawn	c				
12	Spectrogram 1	1	54.617311925	56.917506857	0.0	22050.0	LGLG	dawn	c				
13	Waveform 1	1	66.416685976	69.204210342	0.0	22050.0	LGLG	dawn	pre trial sing				
13	Spectrogram 1	1	66.416685976	69.204210342	0.0	22050.0	LGLG	dawn	pre trial sing				
14	Waveform 1	1	68.964614254	69.705354995	0.0	22050.0	LGLG	dawn	c				
14	Spectrogram 1	1	68.964614254	69.705354995	0.0	22050.0	LGLG	dawn	c				
15	Waveform 1	1	77.987812173	80.210034396	0.0	22050.0	LGLG	dawn	pre trial sing				
15	Spectrogram 1	1	77.987812173	80.210034396	0.0	22050.0	LGLG	dawn	pre trial sing				
16	Waveform 1	1	80.141274393	80.979481020	0.0	22050.0	LGLG	dawn	c				
16	Spectrogram 1	1	80.141274393	80.979481020	0.0	22050.0	LGLG	dawn	c				
17	Waveform 1	1	89.695398296	92.346470421	0.0	22050.0	LGLG	dawn	pre trial sing				
17	Spectrogram 1	1	89.695398296	92.346470421	0.0	22050.0	LGLG	dawn	pre trial sing				
18	Waveform 1	1	92.438258349	93.315451331	0.0	22050.0	LGLG	dawn	c				
18	Spectrogram 1	1	92.438258349	93.315451331	0.0	22050.0	LGLG	dawn	c				
19	Waveform 1	1	99.614214611	101.894916365	0.0	22050.0	LGLG	dawn	pre trial sing				
19	Spectrogram 1	1	99.614214611	101.894916365	0.0	22050.0	LGLG	dawn	pre trial sing				
20	Waveform 1	1	101.904121388	105.880729576	0.0	22050.0	LGLG	dawn	c				
20	Spectrogram 1	1	101.904121388	105.880729576	0.0	22050.0	LGLG	dawn	c				
21	Waveform 1	1	108.540480525	111.425470778	0.0	22050.0	LGLG	dawn	c				
21	Spectrogram 1	1	108.540480525	111.425470778	0.0	22050.0	LGLG	dawn	c				
22	Waveform 1	1	112.788925432	114.981907888	0.0	22050.0	LGLG	dawn	pre trial sing				
22	Spectrogram 1	1	112.788925432	114.981907888	0.0	22050.0	LGLG	dawn	pre trial sing				
23	Waveform 1	1	114.332947391	124.625345052	0.0	22050.0	LGLG	dawn	c				
23	Spectrogram 1	1	114.332947391	124.625345052	0.0	22050.0	LGLG	dawn	c				
24	Waveform 1	1	126.137999401	128.662365873	0.0	22050.0	LGLG	dawn	pre trial sing				
24	Spectrogram 1	1	126.137999401	128.662365873	0.0	22050.0	LGLG	dawn	pre trial sing				
25	Waveform 1	1	128.589003358	129.514929284	0.0	22050.0	LGLG	dawn	c				
25	Spectrogram 1	1	128.589003358	129.514929284	0.0	22050.0	LGLG	dawn	c				
26	Waveform 1	1	137.542899709	139.940560527	0.0	22050.0	LGLG	dawn	pre trial sing				
26	Spectrogram 1	1	137.542899709	139.940560527	0.0	22050.0	LGLG	dawn	pre trial sing				
27	Waveform 1	1	139.955451193	140.598726047	0.0	22050.0	LGLG	dawn	c				
27	Spectrogram 1	1	139.955451193	140.598726047	0.0	22050.0	LGLG	dawn	c				
28	Waveform 1	1	149.338739012	151.677920298	0.0	22050.0	LGLG	dawn	pre trial sing				
28	Spectrogram 1	1	149.338739012	151.677920298	0.0	22050.0	LGLG	dawn	pre trial sing				
29	Waveform 1	1	151.619440766	152.389421273	0.0	22050.0	LGLG	dawn	c				
29	Spectrogram 1	1	151.619440766	152.389421273	0.0	22050.0	LGLG	dawn	c				
30	Waveform 1	1	160.890372032	164.603822324	0.0	22050.0	LGLG	dawn	c				
30	Spectrogram 1	1	160.890372032	164.603822324	0.0	22050.0	LGLG	dawn	c				
31	Waveform 1	1	174.449276125	176.564285871	0.0	22050.0	LGLG	dawn	c				
31	Spectrogram 1	1	174.449276125	176.564285871	0.0	22050.0	LGLG	dawn	c				
32	Waveform 1	1	178.629479543	182.040785586	0.0	22050.0	LGLG	dawn	c				
32	Spectrogram 1	1	178.629479543	182.040785586	0.0	22050.0	LGLG	dawn	c				
33	Waveform 1	1	186.853464873	190.235531150	0.0	22050.0	LGLG	dawn	c				
33	Spectrogram 1	1	186.853464873	190.235531150	0.0	22050.0	LGLG	dawn	c				
34	Waveform 1	1	193.684214217	196.257313633	0.0	22050.0	LGLG	dawn	c				
34	Spectrogram 1	1	193.684214217	196.257313633	0.0	22050.0	LGLG	dawn	c				
35	Waveform 1	1	197.017547551	198.352830202	0.0	22050.0	LGLG	dawn	c				
35	Spectrogram 1	1	197.017547551	198.352830202	0.0	22050.0	LGLG	dawn	c				
36	Waveform 1	1	199.282290875	200.685799647	0.0	22050.0	LGLG	dawn	c				
36	Spectrogram 1	1	199.282290875	200.685799647	0.0	22050.0	LGLG	dawn	c				
37	Waveform 1	1	203.725141358	210.333328492	0.0	22050.0	LGLG	dawn	c				
37	Spectrogram 1	1	203.725141358	210.333328492	0.0	22050.0	LGLG	dawn	c				
38	Waveform 1	1	231.783750768	236.179462269	0.0	22050.0	LGLG	dawn	c				
38	Spectrogram 1	1	231.783750768	236.179462269	0.0	22050.0	LGLG	dawn	c				
39	Waveform 1	1	260.280430471	261.986083492	0.0	22050.0	LGLG	dawn	c				
39	Spectrogram 1	1	260.280430471	261.986083492	0.0	22050.0	LGLG	dawn	c				
40	Waveform 1	1	267.345082576	270.132606943	0.0	22050.0	LGLG	dawn	pre trial sing				
40	Spectrogram 1	1	267.345082576	270.132606943	0.0	22050.0	LGLG	dawn	pre trial sing				
41	Waveform 1	1	270.073585845	271.126217424	0.0	22050.0	LGLG	dawn	c				
41	Spectrogram 1	1	270.073585845	271.126217424	0.0	22050.0	LGLG	dawn	c				
42	Waveform 1	1	276.128684407	277.834337429	0.0	22050.0	LGLG	dawn	c				
42	Spectrogram 1	1	276.128684407	277.834337429	0.0	22050.0	LGLG	dawn	c				
43	Waveform 1	1	287.154543204	289.610683555	0.0	22050.0	LGLG	dawn	pre trial sing				
43	Spectrogram 1	1	287.154543204	289.610683555	0.0	22050.0	LGLG	dawn	pre trial sing				
44	Waveform 1	1	289.327490917	290.614040624	0.0	22050.0	LGLG	dawn	c				
44	Spectrogram 1	1	289.327490917	290.614040624	0.0	22050.0	LGLG	dawn	c				
45	Waveform 1	1	298.257833144	300.197404294	0.0	22050.0	LGLG	dawn	c				
45	Spectrogram 1	1	298.257833144	300.197404294	0.0	22050.0	LGLG	dawn	c				
46	Waveform 1	1	299.187850751	301.790189932	0.0	22050.0	LGLG	dawn	pre trial sing			y	
46	Spectrogram 1	1	299.187850751	301.790189932	0.0	22050.0	LGLG	dawn	pre trial sing			y	
47	Waveform 1	1	301.000000000	303.378167644	0.0	22050.0	LGLG	dawn	stim	f			
47	Spectrogram 1	1	301.000000000	303.378167644	0.0	22050.0	LGLG	dawn	stim	f			
48	Waveform 1	1	303.763061794	304.679241131	0.0	22050.0	LGLG	dawn	c				
48	Spectrogram 1	1	303.763061794	304.679241131	0.0	22050.0	LGLG	dawn	c				
49	Waveform 1	1	311.292397700	315.902534114	0.0	22050.0	LGLG 	dawn	stim	s			
49	Spectrogram 1	1	311.292397700	315.902534114	0.0	22050.0	LGLG 	dawn	stim	s			
50	Waveform 1	1	315.841521434	316.806433715	0.0	22050.0	LGLG	dawn	c				
50	Spectrogram 1	1	315.841521434	316.806433715	0.0	22050.0	LGLG	dawn	c				
51	Waveform 1	1	325.493177391	328.865497079	0.0	22050.0	LGLG 	dawn	stim	s			
51	Spectrogram 1	1	325.493177391	328.865497079	0.0	22050.0	LGLG 	dawn	stim	s			
52	Waveform 1	1	329.161920255	329.717475810	0.0	22050.0	LGLG	dawn	c				
52	Spectrogram 1	1	329.161920255	329.717475810	0.0	22050.0	LGLG	dawn	c				
53	Waveform 1	1	336.615383512	337.658268502	0.0	22050.0	LGLG	dawn	c				
53	Spectrogram 1	1	336.615383512	337.658268502	0.0	22050.0	LGLG	dawn	c				
54	Waveform 1	1	337.715399612	340.522417156	0.0	22050.0	LGLG 	dawn	stim	c			
54	Spectrogram 1	1	337.715399612	340.522417156	0.0	22050.0	LGLG 	dawn	stim	c			
55	Waveform 1	1	340.484779223	340.923375714	0.0	22050.0	LGLG	dawn	c				
55	Spectrogram 1	1	340.484779223	340.923375714	0.0	22050.0	LGLG	dawn	c				
56	Waveform 1	1	350.142300184	352.306042874	0.0	22050.0	LGLG 	dawn	stim	f			
56	Spectrogram 1	1	350.142300184	352.306042874	0.0	22050.0	LGLG 	dawn	stim	f			
57	Waveform 1	1	352.411354390	353.025389478	0.0	22050.0	LGLG	dawn	c				
57	Spectrogram 1	1	352.411354390	353.025389478	0.0	22050.0	LGLG	dawn	c				
58	Waveform 1	1	361.056423300	365.013538345	0.0	22050.0	LGLG 	dawn	stim	c			
58	Spectrogram 1	1	361.056423300	365.013538345	0.0	22050.0	LGLG 	dawn	stim	c			
59	Waveform 1	1	365.010505647	365.653780501	0.0	22050.0	LGLG	dawn	c				
59	Spectrogram 1	1	365.010505647	365.653780501	0.0	22050.0	LGLG	dawn	c				
60	Waveform 1	1	370.563925675	372.250085519	0.0	22050.0	LGLG	dawn	c				
60	Spectrogram 1	1	370.563925675	372.250085519	0.0	22050.0	LGLG	dawn	c				
61	Waveform 1	1	374.155838500	377.966754709	0.0	22050.0	LGLG 	dawn	stim	s	y		
61	Spectrogram 1	1	374.155838500	377.966754709	0.0	22050.0	LGLG 	dawn	stim	s	y		
62	Waveform 1	1	376.527785559	378.857220257	0.0	22050.0	LGLG	dawn	r		y	y	
62	Spectrogram 1	1	376.527785559	378.857220257	0.0	22050.0	LGLG	dawn	r		y	y	
63	Waveform 1	1	377.871731667	378.349314513	0.0	22050.0	LGLG	dawn	c				
63	Spectrogram 1	1	377.871731667	378.349314513	0.0	22050.0	LGLG	dawn	c				
64	Waveform 1	1	379.041322310	379.460425624	0.0	22050.0	LGLG	dawn	c				
64	Spectrogram 1	1	379.041322310	379.460425624	0.0	22050.0	LGLG	dawn	c				
65	Waveform 1	1	387.606130900	390.880984700	0.0	22050.0	LGLG 	dawn	stim	f			
65	Spectrogram 1	1	387.606130900	390.880984700	0.0	22050.0	LGLG 	dawn	stim	f			
66	Waveform 1	1	390.890497069	391.416812858	0.0	22050.0	LGLG	dawn	c				
66	Spectrogram 1	1	390.890497069	391.416812858	0.0	22050.0	LGLG	dawn	c				
67	Waveform 1	1	399.711394100	402.732836568	0.0	22050.0	LGLG 	dawn	stim	c			
67	Spectrogram 1	1	399.711394100	402.732836568	0.0	22050.0	LGLG 	dawn	stim	c			
68	Waveform 1	1	402.587787353	403.172582675	0.0	22050.0	LGLG	dawn	c				
68	Spectrogram 1	1	402.587787353	403.172582675	0.0	22050.0	LGLG	dawn	c				
69	Waveform 1	1	412.440438929	415.013538345	0.0	22050.0	LGLG 	dawn	stim	c	y		
69	Spectrogram 1	1	412.440438929	415.013538345	0.0	22050.0	LGLG 	dawn	stim	c	y		
70	Waveform 1	1	414.490839132	416.391423927	0.0	22050.0	LGLG	dawn	r		y	y	
70	Spectrogram 1	1	414.490839132	416.391423927	0.0	22050.0	LGLG	dawn	r		y	y	
71	Waveform 1	1	416.405231462	417.876966355	0.0	22050.0	LGLG	dawn	c				
71	Spectrogram 1	1	416.405231462	417.876966355	0.0	22050.0	LGLG	dawn	c				
72	Waveform 1	1	419.114783119	419.894510214	0.0	22050.0	LGLG	dawn	c				
72	Spectrogram 1	1	419.114783119	419.894510214	0.0	22050.0	LGLG	dawn	c				
73	Waveform 1	1	423.856866700	426.741856937	0.0	22050.0	LGLG 	dawn	stim	c			
73	Spectrogram 1	1	423.856866700	426.741856937	0.0	22050.0	LGLG 	dawn	stim	c			
74	Waveform 1	1	427.016589456	427.650117721	0.0	22050.0	LGLG	dawn	c				
74	Spectrogram 1	1	427.016589456	427.650117721	0.0	22050.0	LGLG	dawn	c				
75	Waveform 1	1	436.537178550	438.827626893	0.0	22050.0	LGLG 	dawn	stim	f	y		
75	Spectrogram 1	1	436.537178550	438.827626893	0.0	22050.0	LGLG 	dawn	stim	f	y		
76	Waveform 1	1	439.045805322	439.640347232	0.0	22050.0	LGLG	dawn	c				
76	Spectrogram 1	1	439.045805322	439.640347232	0.0	22050.0	LGLG	dawn	c				
77	Waveform 1	1	439.377189338	441.316760488	0.0	22050.0	LGLG	dawn	r		y		
77	Spectrogram 1	1	439.377189338	441.316760488	0.0	22050.0	LGLG	dawn	r		y		
78	Waveform 1	1	441.063349182	441.872316043	0.0	22050.0	LGLG	dawn	c				
78	Spectrogram 1	1	441.063349182	441.872316043	0.0	22050.0	LGLG	dawn	c				
79	Waveform 1	1	446.514700811	448.386045840	0.0	22050.0	LGLG	dawn	c				
79	Spectrogram 1	1	446.514700811	448.386045840	0.0	22050.0	LGLG	dawn	c				
80	Waveform 1	1	448.359790700	450.698971966	0.0	22050.0	LGLG 	dawn	stim	f	y		
80	Spectrogram 1	1	448.359790700	450.698971966	0.0	22050.0	LGLG 	dawn	stim	f	y		
81	Waveform 1	1	450.821640617	451.357702995	0.0	22050.0	LGLG	dawn	c				
81	Spectrogram 1	1	450.821640617	451.357702995	0.0	22050.0	LGLG	dawn	c				
