Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	100.752754563	102.791551002	0.0	22050.0	LgRLg	A	R				Pretrial
1	Spectrogram 1	1	100.752754563	102.791551002	0.0	22050.0	LgRLg	A	R				Pretrial
2	Waveform 1	1	102.637299956	103.059813691	0.0	22050.0	LgRLg	A	C				Pretrial
2	Spectrogram 1	1	102.637299956	103.059813691	0.0	22050.0	LgRLg	A	C				Pretrial
3	Waveform 1	1	127.438184681	129.349556343	0.0	22050.0	LgRLg	A	R				Pretrial
3	Spectrogram 1	1	127.438184681	129.349556343	0.0	22050.0	LgRLg	A	R				Pretrial
4	Waveform 1	1	130.194583814	132.501642942	0.0	22050.0	LgRLg	A	C				Pretrial
4	Spectrogram 1	1	130.194583814	132.501642942	0.0	22050.0	LgRLg	A	C				Pretrial
5	Waveform 1	1	200.740963200	202.786466206	0.0	22050.0	LgRLg	A	R				Pretrial
5	Spectrogram 1	1	200.740963200	202.786466206	0.0	22050.0	LgRLg	A	R				Pretrial
6	Waveform 1	1	203.477242631	205.576398175	0.0	22050.0	LgRLg	A	C				Pretrial
6	Spectrogram 1	1	203.477242631	205.576398175	0.0	22050.0	LgRLg	A	C				Pretrial
7	Waveform 1	1	220.022343386	221.806290270	0.0	22050.0	LgRLg	A	R				Pretrial
7	Spectrogram 1	1	220.022343386	221.806290270	0.0	22050.0	LgRLg	A	R				Pretrial
8	Waveform 1	1	221.806290270	222.785449086	0.0	22050.0	LgRLg	A	C				Pretrial
8	Spectrogram 1	1	221.806290270	222.785449086	0.0	22050.0	LgRLg	A	C				Pretrial
9	Waveform 1	1	307.295000000	309.826630451	0.0	22050.0	LgRLg	A	S	C			
9	Spectrogram 1	1	307.295000000	309.826630451	0.0	22050.0	LgRLg	A	S	C			
10	Waveform 1	1	314.340150199	314.709011397	0.0	22050.0	LgRLg	A	C				
10	Spectrogram 1	1	314.340150199	314.709011397	0.0	22050.0	LgRLg	A	C				
11	Waveform 1	1	319.511848600	324.444000000	0.0	22050.0	LgRLg	A	S	C			
11	Spectrogram 1	1	319.511848600	324.444000000	0.0	22050.0	LgRLg	A	S	C			
