Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	2.877808556	5.962518382	0.0	22050.0	LgRLg	dawn	c				
1	Spectrogram 1	1	2.877808556	5.962518382	0.0	22050.0	LgRLg	dawn	c				
2	Waveform 1	1	13.228137382	22.143701145	0.0	22050.0	LgRLg	dawn	c				
2	Spectrogram 1	1	13.228137382	22.143701145	0.0	22050.0	LgRLg	dawn	c				
3	Waveform 1	1	47.284003235	49.823246079	0.0	22050.0	LgRLg	dawn	pre trial sing				
3	Spectrogram 1	1	47.284003235	49.823246079	0.0	22050.0	LgRLg	dawn	pre trial sing				
4	Waveform 1	1	49.755118921	50.808434471	0.0	22050.0	LgRLg	dawn	c				
4	Spectrogram 1	1	49.755118921	50.808434471	0.0	22050.0	LgRLg	dawn	c				
5	Waveform 1	1	68.010577884	70.164231999	0.0	22050.0	LgRLg	dawn	pre trial sing				
5	Spectrogram 1	1	68.010577884	70.164231999	0.0	22050.0	LgRLg	dawn	pre trial sing				
6	Waveform 1	1	70.234886454	70.808567245	0.0	22050.0	LgRLg	dawn	c				
6	Spectrogram 1	1	70.234886454	70.808567245	0.0	22050.0	LgRLg	dawn	c				
7	Waveform 1	1	81.906666009	83.938060284	0.0	22050.0	LgRLg	dawn	pre trial sing				
7	Spectrogram 1	1	81.906666009	83.938060284	0.0	22050.0	LgRLg	dawn	pre trial sing				
8	Waveform 1	1	84.330758679	85.092531532	0.0	22050.0	LgRLg	dawn	c				
8	Spectrogram 1	1	84.330758679	85.092531532	0.0	22050.0	LgRLg	dawn	c				
9	Waveform 1	1	106.404711370	108.492533264	0.0	22050.0	LgRLg	dawn	pre trial sing				
9	Spectrogram 1	1	106.404711370	108.492533264	0.0	22050.0	LgRLg	dawn	pre trial sing				
10	Waveform 1	1	108.527856740	109.430698640	0.0	22050.0	LgRLg	dawn	c				
10	Spectrogram 1	1	108.527856740	109.430698640	0.0	22050.0	LgRLg	dawn	c				
11	Waveform 1	1	131.356472617	134.074402920	0.0	22050.0	LgRLg	dawn	pre trial sing				
11	Spectrogram 1	1	131.356472617	134.074402920	0.0	22050.0	LgRLg	dawn	pre trial sing				
12	Waveform 1	1	134.161564143	135.252498106	0.0	22050.0	LgRLg	dawn	c				
12	Spectrogram 1	1	134.161564143	135.252498106	0.0	22050.0	LgRLg	dawn	c				
13	Waveform 1	1	180.752146542	181.833675902	0.0	22050.0	LgRLg	dawn	c				
13	Spectrogram 1	1	180.752146542	181.833675902	0.0	22050.0	LgRLg	dawn	c				
14	Waveform 1	1	184.415591752	186.936025390	0.0	22050.0	LgRLg	dawn	c				
14	Spectrogram 1	1	184.415591752	186.936025390	0.0	22050.0	LgRLg	dawn	c				
15	Waveform 1	1	186.992453009	189.042656490	0.0	22050.0	LgRLg	dawn	pre trial sing				
15	Spectrogram 1	1	186.992453009	189.042656490	0.0	22050.0	LgRLg	dawn	pre trial sing				
16	Waveform 1	1	188.732304587	189.324794584	0.0	22050.0	LgRLg	dawn	c				
16	Spectrogram 1	1	188.732304587	189.324794584	0.0	22050.0	LgRLg	dawn	c				
17	Waveform 1	1	193.390312784	195.271233410	0.0	22050.0	LgRLg	dawn	c				
17	Spectrogram 1	1	193.390312784	195.271233410	0.0	22050.0	LgRLg	dawn	c				
18	Waveform 1	1	195.957769438	197.584765779	0.0	22050.0	LgRLg	dawn	c				
18	Spectrogram 1	1	195.957769438	197.584765779	0.0	22050.0	LgRLg	dawn	c				
19	Waveform 1	1	201.471611524	204.725604205	0.0	22050.0	LgRLg	dawn	c				
19	Spectrogram 1	1	201.471611524	204.725604205	0.0	22050.0	LgRLg	dawn	c				
20	Waveform 1	1	206.423487362	209.113203856	0.0	22050.0	LgRLg	dawn	pre trial sing				
20	Spectrogram 1	1	206.423487362	209.113203856	0.0	22050.0	LgRLg	dawn	pre trial sing				
21	Waveform 1	1	207.091214184	207.975246877	0.0	22050.0	LgRLg	dawn	c				
21	Spectrogram 1	1	207.091214184	207.975246877	0.0	22050.0	LgRLg	dawn	c				
22	Waveform 1	1	210.994124481	212.846831297	0.0	22050.0	LgRLg	dawn	c				
22	Spectrogram 1	1	210.994124481	212.846831297	0.0	22050.0	LgRLg	dawn	c				
23	Waveform 1	1	214.956192047	216.649020610	0.0	22050.0	LgRLg	dawn	c				
23	Spectrogram 1	1	214.956192047	216.649020610	0.0	22050.0	LgRLg	dawn	c				
24	Waveform 1	1	224.373184293	226.451601584	0.0	22050.0	LgRLg	dawn	pre trial sing				
