Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	4.714154728	6.449077433	0.0	22050.0	ROL	Dawn	R				Pretrial
1	Spectrogram 1	1	4.714154728	6.449077433	0.0	22050.0	ROL	Dawn	R				Pretrial
2	Waveform 1	1	7.700497089	8.148448443	0.0	22050.0	ROL	Dawn	C				Pretrial
2	Spectrogram 1	1	7.700497089	8.148448443	0.0	22050.0	ROL	Dawn	C				Pretrial
3	Waveform 1	1	13.402989114	15.251677242	0.0	22050.0	ROL	Dawn	R				Pretrial
3	Spectrogram 1	1	13.402989114	15.251677242	0.0	22050.0	ROL	Dawn	R				Pretrial
4	Waveform 1	1	17.022151642	17.434551302	0.0	22050.0	ROL	Dawn	C				Pretrial
4	Spectrogram 1	1	17.022151642	17.434551302	0.0	22050.0	ROL	Dawn	C				Pretrial
5	Waveform 1	1	30.844650846	32.892428465	0.0	22050.0	ROL	Dawn	R				Pretrial
5	Spectrogram 1	1	30.844650846	32.892428465	0.0	22050.0	ROL	Dawn	R				Pretrial
6	Waveform 1	1	33.333269480	33.752779479	0.0	22050.0	ROL	Dawn	C				Pretrial
6	Spectrogram 1	1	33.333269480	33.752779479	0.0	22050.0	ROL	Dawn	C				Pretrial
7	Waveform 1	1	53.739942648	55.673954844	0.0	22050.0	ROL	Dawn	R				Pretrial
7	Spectrogram 1	1	53.739942648	55.673954844	0.0	22050.0	ROL	Dawn	R				Pretrial
8	Waveform 1	1	56.249892299	56.619629925	0.0	22050.0	ROL	Dawn	C				Pretrial
8	Spectrogram 1	1	56.249892299	56.619629925	0.0	22050.0	ROL	Dawn	C				Pretrial
9	Waveform 1	1	95.619839735	97.091679899	0.0	22050.0	ROL	Dawn	R				Pretrial
9	Spectrogram 1	1	95.619839735	97.091679899	0.0	22050.0	ROL	Dawn	R				Pretrial
10	Waveform 1	1	97.290769390	97.767162100	0.0	22050.0	ROL	Dawn	C				Pretrial
10	Spectrogram 1	1	97.290769390	97.767162100	0.0	22050.0	ROL	Dawn	C				Pretrial
11	Waveform 1	1	119.162172474	121.522805007	0.0	22050.0	ROL	Dawn	R				Pretrial
11	Spectrogram 1	1	119.162172474	121.522805007	0.0	22050.0	ROL	Dawn	R				Pretrial
12	Waveform 1	1	121.928094328	122.475590427	0.0	22050.0	ROL	Dawn	C				Pretrial
12	Spectrogram 1	1	121.928094328	122.475590427	0.0	22050.0	ROL	Dawn	C				Pretrial
13	Waveform 1	1	128.156751344	130.432059810	0.0	22050.0	ROL	Dawn	R				Pretrial
13	Spectrogram 1	1	128.156751344	130.432059810	0.0	22050.0	ROL	Dawn	R				Pretrial
14	Waveform 1	1	130.744914724	131.285300484	0.0	22050.0	ROL	Dawn	C				Pretrial
14	Spectrogram 1	1	130.744914724	131.285300484	0.0	22050.0	ROL	Dawn	C				Pretrial
15	Waveform 1	1	137.371750813	139.383976737	0.0	22050.0	ROL	Dawn	R				Pretrial
15	Spectrogram 1	1	137.371750813	139.383976737	0.0	22050.0	ROL	Dawn	R				Pretrial
16	Waveform 1	1	139.952803854	140.500299953	0.0	22050.0	ROL	Dawn	C				Pretrial
16	Spectrogram 1	1	139.952803854	140.500299953	0.0	22050.0	ROL	Dawn	C				Pretrial
17	Waveform 1	1	242.263472729	244.289919331	0.0	22050.0	ROL	Dawn	R				Pretrial
17	Spectrogram 1	1	242.263472729	244.289919331	0.0	22050.0	ROL	Dawn	R				Pretrial
18	Waveform 1	1	245.306697802	245.861304241	0.0	22050.0	ROL	Dawn	C				Pretrial
18	Spectrogram 1	1	245.306697802	245.861304241	0.0	22050.0	ROL	Dawn	C				Pretrial
19	Waveform 1	1	266.118660290	268.372637739	0.0	22050.0	ROL	Dawn	R				Pretrial
19	Spectrogram 1	1	266.118660290	268.372637739	0.0	22050.0	ROL	Dawn	R				Pretrial
20	Waveform 1	1	268.536175535	269.033899262	0.0	22050.0	ROL	Dawn	C				Pretrial
20	Spectrogram 1	1	268.536175535	269.033899262	0.0	22050.0	ROL	Dawn	C				Pretrial
21	Waveform 1	1	342.274000000	343.995836891	0.0	22050.0	ROL	Dawn	S	F			
21	Spectrogram 1	1	342.274000000	343.995836891	0.0	22050.0	ROL	Dawn	S	F			
22	Waveform 1	1	343.640319943	345.432125360	0.0	22050.0	ROL	Dawn	R		Y		
22	Spectrogram 1	1	343.640319943	345.432125360	0.0	22050.0	ROL	Dawn	R		Y		
23	Waveform 1	1	344.031388586	344.408236550	0.0	22050.0	ROL	Dawn	C				
23	Spectrogram 1	1	344.031388586	344.408236550	0.0	22050.0	ROL	Dawn	C				
24	Waveform 1	1	345.695207901	346.178710950	0.0	22050.0	ROL	Dawn	C				
24	Spectrogram 1	1	345.695207901	346.178710950	0.0	22050.0	ROL	Dawn	C				
25	Waveform 1	1	354.036721900	356.402405703	0.0	22050.0	ROL	Dawn	S	S			
25	Spectrogram 1	1	354.036721900	356.402405703	0.0	22050.0	ROL	Dawn	S	S			
26	Waveform 1	1	356.893019091	357.305418751	0.0	22050.0	ROL	Dawn	C				
26	Spectrogram 1	1	356.893019091	357.305418751	0.0	22050.0	ROL	Dawn	C				
27	Waveform 1	1	359.189658570	361.344091273	0.0	22050.0	ROL	Dawn	R		Y		
27	Spectrogram 1	1	359.189658570	361.344091273	0.0	22050.0	ROL	Dawn	R		Y		
28	Waveform 1	1	361.443636019	362.339538727	0.0	22050.0	ROL	Dawn	C				
28	Spectrogram 1	1	361.443636019	362.339538727	0.0	22050.0	ROL	Dawn	C				
29	Waveform 1	1	366.284737500	368.539754388	0.0	22050.0	ROL	Dawn	S	S			
29	Spectrogram 1	1	366.284737500	368.539754388	0.0	22050.0	ROL	Dawn	S	S			
30	Waveform 1	1	367.195900325	369.058809132	0.0	22050.0	ROL	Dawn	R		Y	Y	
30	Spectrogram 1	1	367.195900325	369.058809132	0.0	22050.0	ROL	Dawn	R		Y	Y	
31	Waveform 1	1	369.030367776	370.139580653	0.0	22050.0	ROL	Dawn	C				
31	Spectrogram 1	1	369.030367776	370.139580653	0.0	22050.0	ROL	Dawn	C				
32	Waveform 1	1	375.699346168	377.164075993	0.0	22050.0	ROL	Dawn	R		Y		
32	Spectrogram 1	1	375.699346168	377.164075993	0.0	22050.0	ROL	Dawn	R		Y		
33	Waveform 1	1	378.628805817	379.162081239	0.0	22050.0	ROL	Dawn	C				
33	Spectrogram 1	1	378.628805817	379.162081239	0.0	22050.0	ROL	Dawn	C				
34	Waveform 1	1	378.856204300	380.897003944	0.0	22050.0	ROL	Dawn	S	C			
34	Spectrogram 1	1	378.856204300	380.897003944	0.0	22050.0	ROL	Dawn	S	C			
35	Waveform 1	1	381.259631231	381.544044789	0.0	22050.0	ROL	Dawn	C				
35	Spectrogram 1	1	381.259631231	381.544044789	0.0	22050.0	ROL	Dawn	C				
36	Waveform 1	1	381.999106574	384.153539277	0.0	22050.0	ROL	Dawn	R		Y		
36	Spectrogram 1	1	381.999106574	384.153539277	0.0	22050.0	ROL	Dawn	R		Y		
37	Waveform 1	1	384.459283852	385.063662664	0.0	22050.0	ROL	Dawn	C				
37	Spectrogram 1	1	384.459283852	385.063662664	0.0	22050.0	ROL	Dawn	C				
38	Waveform 1	1	390.543571300	392.550849766	0.0	22050.0	ROL	Dawn	S	C			
38	Spectrogram 1	1	390.543571300	392.550849766	0.0	22050.0	ROL	Dawn	S	C			
39	Waveform 1	1	392.202443158	394.619958402	0.0	22050.0	ROL	Dawn	R		Y	Y	
39	Spectrogram 1	1	392.202443158	394.619958402	0.0	22050.0	ROL	Dawn	R		Y	Y	
40	Waveform 1	1	396.155791617	397.350328561	0.0	22050.0	ROL	Dawn	C				
40	Spectrogram 1	1	396.155791617	397.350328561	0.0	22050.0	ROL	Dawn	C				
41	Waveform 1	1	402.402750647	404.666867529	0.0	22050.0	ROL	Dawn	S	F			
41	Spectrogram 1	1	402.402750647	404.666867529	0.0	22050.0	ROL	Dawn	S	F			
42	Waveform 1	1	406.750196843	407.169706842	0.0	22050.0	ROL	Dawn	C				
42	Spectrogram 1	1	406.750196843	407.169706842	0.0	22050.0	ROL	Dawn	C				
43	Waveform 1	1	412.317692551	414.187711697	0.0	22050.0	ROL	Dawn	R		Y		
43	Spectrogram 1	1	412.317692551	414.187711697	0.0	22050.0	ROL	Dawn	R		Y		
44	Waveform 1	1	414.673024400	417.046067957	0.0	22050.0	ROL	Dawn	S	S			
44	Spectrogram 1	1	414.673024400	417.046067957	0.0	22050.0	ROL	Dawn	S	S			
45	Waveform 1	1	414.870304236	415.268483218	0.0	22050.0	ROL	Dawn	C				
45	Spectrogram 1	1	414.870304236	415.268483218	0.0	22050.0	ROL	Dawn	C				
46	Waveform 1	1	417.877977615	418.261935918	0.0	22050.0	ROL	Dawn	C				
46	Spectrogram 1	1	417.877977615	418.261935918	0.0	22050.0	ROL	Dawn	C				
47	Waveform 1	1	420.899871762	422.933428703	0.0	22050.0	ROL	Dawn	R		Y		
47	Spectrogram 1	1	420.899871762	422.933428703	0.0	22050.0	ROL	Dawn	R		Y		
48	Waveform 1	1	423.587579887	424.597248019	0.0	22050.0	ROL	Dawn	C				
48	Spectrogram 1	1	423.587579887	424.597248019	0.0	22050.0	ROL	Dawn	C				
49	Waveform 1	1	427.222927800	429.432278691	0.0	22050.0	ROL	Dawn	S	C			
49	Spectrogram 1	1	427.222927800	429.432278691	0.0	22050.0	ROL	Dawn	S	C			
50	Waveform 1	1	428.465272593	430.939670550	0.0	22050.0	ROL	Dawn	R		Y	Y	
50	Spectrogram 1	1	428.465272593	430.939670550	0.0	22050.0	ROL	Dawn	R		Y	Y	
51	Waveform 1	1	431.131649702	432.283524613	0.0	22050.0	ROL	Dawn	C				
51	Spectrogram 1	1	431.131649702	432.283524613	0.0	22050.0	ROL	Dawn	C				
52	Waveform 1	1	437.964685621	440.382200866	0.0	22050.0	ROL	Dawn	R		Y		
52	Spectrogram 1	1	437.964685621	440.382200866	0.0	22050.0	ROL	Dawn	R		Y		
53	Waveform 1	1	439.792042732	441.619399844	0.0	22050.0	ROL	Dawn	S	F			
53	Spectrogram 1	1	439.792042732	441.619399844	0.0	22050.0	ROL	Dawn	S	F			
54	Waveform 1	1	440.268435442	440.759048830	0.0	22050.0	ROL	Dawn	C				
54	Spectrogram 1	1	440.268435442	440.759048830	0.0	22050.0	ROL	Dawn	C				
55	Waveform 1	1	441.214110523	442.806826449	0.0	22050.0	ROL	Dawn	C				
55	Spectrogram 1	1	441.214110523	442.806826449	0.0	22050.0	ROL	Dawn	C				
56	Waveform 1	1	447.831911020	450.100109147	0.0	22050.0	ROL	Dawn	R		Y		
56	Spectrogram 1	1	447.831911020	450.100109147	0.0	22050.0	ROL	Dawn	R		Y		
57	Waveform 1	1	449.897525796	452.403858969	0.0	22050.0	ROL	Dawn	S	F			
57	Spectrogram 1	1	449.897525796	452.403858969	0.0	22050.0	ROL	Dawn	S	F			
58	Waveform 1	1	450.363191689	450.782701687	0.0	22050.0	ROL	Dawn	C				
58	Spectrogram 1	1	450.363191689	450.782701687	0.0	22050.0	ROL	Dawn	C				
59	Waveform 1	1	452.318534901	452.844699984	0.0	22050.0	ROL	Dawn	C				
59	Spectrogram 1	1	452.318534901	452.844699984	0.0	22050.0	ROL	Dawn	C				
60	Waveform 1	1	455.461304763	455.887925100	0.0	22050.0	ROL	Dawn	C				
60	Spectrogram 1	1	455.461304763	455.887925100	0.0	22050.0	ROL	Dawn	C				
61	Waveform 1	1	459.116019077	460.815390088	0.0	22050.0	ROL	Dawn	R		Y		
61	Spectrogram 1	1	459.116019077	460.815390088	0.0	22050.0	ROL	Dawn	R		Y		
62	Waveform 1	1	461.497982628	461.896161609	0.0	22050.0	ROL	Dawn	C				
62	Spectrogram 1	1	461.497982628	461.896161609	0.0	22050.0	ROL	Dawn	C				
63	Waveform 1	1	461.896887500	464.269216876	0.0	22050.0	ROL	Dawn	S	C			
63	Spectrogram 1	1	461.896887500	464.269216876	0.0	22050.0	ROL	Dawn	S	C			
64	Waveform 1	1	465.364209075	465.790829412	0.0	22050.0	ROL	Dawn	C				
64	Spectrogram 1	1	465.364209075	465.790829412	0.0	22050.0	ROL	Dawn	C				
65	Waveform 1	1	466.629849397	468.890937185	0.0	22050.0	ROL	Dawn	R		Y		
65	Spectrogram 1	1	466.629849397	468.890937185	0.0	22050.0	ROL	Dawn	R		Y		
66	Waveform 1	1	468.969150913	469.459764301	0.0	22050.0	ROL	Dawn	C				
66	Spectrogram 1	1	468.969150913	469.459764301	0.0	22050.0	ROL	Dawn	C				
67	Waveform 1	1	474.576171300	476.346584391	0.0	22050.0	ROL	Dawn	S	F			
67	Spectrogram 1	1	474.576171300	476.346584391	0.0	22050.0	ROL	Dawn	S	F			
68	Waveform 1	1	476.161715578	477.882417605	0.0	22050.0	ROL	Dawn	R		Y		
68	Spectrogram 1	1	476.161715578	477.882417605	0.0	22050.0	ROL	Dawn	R		Y		
69	Waveform 1	1	476.723432356	477.071838964	0.0	22050.0	ROL	Dawn	C				
69	Spectrogram 1	1	476.723432356	477.071838964	0.0	22050.0	ROL	Dawn	C				
70	Waveform 1	1	477.754431504	478.195272519	0.0	22050.0	ROL	Dawn	C				
70	Spectrogram 1	1	477.754431504	478.195272519	0.0	22050.0	ROL	Dawn	C				
71	Waveform 1	1	485.313364054	487.111637493	0.0	22050.0	ROL	Dawn	S	F			
71	Spectrogram 1	1	485.313364054	487.111637493	0.0	22050.0	ROL	Dawn	S	F			
72	Waveform 1	1	486.087748684	488.178188337	0.0	22050.0	ROL	Dawn	R				?
72	Spectrogram 1	1	486.087748684	488.178188337	0.0	22050.0	ROL	Dawn	R				?
73	Waveform 1	1	489.202077146	489.742462907	0.0	22050.0	ROL	Dawn	C				
73	Spectrogram 1	1	489.202077146	489.742462907	0.0	22050.0	ROL	Dawn	C				
74	Waveform 1	1	494.384472904	496.453581540	0.0	22050.0	ROL	Dawn	R		Y		
74	Spectrogram 1	1	494.384472904	496.453581540	0.0	22050.0	ROL	Dawn	R		Y		
75	Waveform 1	1	496.183388659	498.472917803	0.0	22050.0	ROL	Dawn	S	S			
75	Spectrogram 1	1	496.183388659	498.472917803	0.0	22050.0	ROL	Dawn	S	S			
76	Waveform 1	1	496.524684929	497.413477299	0.0	22050.0	ROL	Dawn	C				
76	Spectrogram 1	1	496.524684929	497.413477299	0.0	22050.0	ROL	Dawn	C				
77	Waveform 1	1	498.615124582	499.119958648	0.0	22050.0	ROL	Dawn	C				
77	Spectrogram 1	1	498.615124582	499.119958648	0.0	22050.0	ROL	Dawn	C				
78	Waveform 1	1	503.853775844	506.214408378	0.0	22050.0	ROL	Dawn	R		Y		
78	Spectrogram 1	1	503.853775844	506.214408378	0.0	22050.0	ROL	Dawn	R		Y		
79	Waveform 1	1	506.377946174	506.875669900	0.0	22050.0	ROL	Dawn	C				
79	Spectrogram 1	1	506.377946174	506.875669900	0.0	22050.0	ROL	Dawn	C				
80	Waveform 1	1	508.372878473	510.690848973	0.0	22050.0	ROL	Dawn	S	S			
80	Spectrogram 1	1	508.372878473	510.690848973	0.0	22050.0	ROL	Dawn	S	S			
81	Waveform 1	1	511.053476259	511.380551851	0.0	22050.0	ROL	Dawn	C				
81	Spectrogram 1	1	511.053476259	511.380551851	0.0	22050.0	ROL	Dawn	C				
