Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	228.172971992	230.249638350	0.0	22050.0	VYD 	A	R				Pretrial
1	Spectrogram 1	1	228.172971992	230.249638350	0.0	22050.0	VYD 	A	R				Pretrial
2	Waveform 1	1	230.479755433	230.984890493	0.0	22050.0	VYD 	A	C				Pretrial
2	Spectrogram 1	1	230.479755433	230.984890493	0.0	22050.0	VYD 	A	C				Pretrial
3	Waveform 1	1	179.506015411	181.520943040	0.0	22050.0	VYD 	A	R				Pretrial
3	Spectrogram 1	1	179.506015411	181.520943040	0.0	22050.0	VYD 	A	R				Pretrial
4	Waveform 1	1	182.862357255	184.102744458	0.0	22050.0	VYD 	A	C				Pretrial
4	Spectrogram 1	1	182.862357255	184.102744458	0.0	22050.0	VYD 	A	C				Pretrial
5	Waveform 1	1	303.033984497	304.863695938	0.0	22050.0	VYD 	A	S	F			
5	Spectrogram 1	1	303.033984497	304.863695938	0.0	22050.0	VYD 	A	S	F			
6	Waveform 1	1	305.402506668	305.728038152	0.0	22050.0	VYD 	A	C				
6	Spectrogram 1	1	305.402506668	305.728038152	0.0	22050.0	VYD 	A	C				
7	Waveform 1	1	314.859757474	316.784883314	0.0	22050.0	VYD 	A	S	F			
7	Spectrogram 1	1	314.859757474	316.784883314	0.0	22050.0	VYD 	A	S	F			
8	Waveform 1	1	317.536973292	317.918630893	0.0	22050.0	VYD 	A	C				
8	Spectrogram 1	1	317.536973292	317.918630893	0.0	22050.0	VYD 	A	C				
9	Waveform 1	1	326.792170088	328.700458093	0.0	22050.0	VYD 	A	S	F			
9	Spectrogram 1	1	326.792170088	328.700458093	0.0	22050.0	VYD 	A	S	F			
10	Waveform 1	1	329.474998518	329.912782237	0.0	22050.0	VYD 	A	C				
10	Spectrogram 1	1	329.474998518	329.912782237	0.0	22050.0	VYD 	A	C				
11	Waveform 1	1	338.718970076	340.812474270	0.0	22050.0	VYD 	A	S	F			
11	Spectrogram 1	1	338.718970076	340.812474270	0.0	22050.0	VYD 	A	S	F			
12	Waveform 1	1	341.351285000	341.732942601	0.0	22050.0	VYD 	A	C				
12	Spectrogram 1	1	341.351285000	341.732942601	0.0	22050.0	VYD 	A	C				
13	Waveform 1	1	349.489572037	352.161175244	0.0	22050.0	VYD 	A	S	F			
13	Spectrogram 1	1	349.489572037	352.161175244	0.0	22050.0	VYD 	A	S	F			
14	Waveform 1	1	349.495184649	352.099436515	0.0	22050.0	VYD 	A	R		Y	Y	
14	Spectrogram 1	1	349.495184649	352.099436515	0.0	22050.0	VYD 	A	R		Y	Y	
15	Waveform 1	1	352.458643669	353.923535343	0.0	22050.0	VYD 	A	C				
15	Spectrogram 1	1	352.458643669	353.923535343	0.0	22050.0	VYD 	A	C				
16	Waveform 1	1	362.005696262	364.093587844	0.0	22050.0	VYD 	A	S	F			
16	Spectrogram 1	1	362.005696262	364.093587844	0.0	22050.0	VYD 	A	S	F			
17	Waveform 1	1	373.898820594	376.009162623	0.0	22050.0	VYD 	A	S	F			
17	Spectrogram 1	1	373.898820594	376.009162623	0.0	22050.0	VYD 	A	S	F			
18	Waveform 1	1	376.508685072	376.800540884	0.0	22050.0	VYD 	A	C				
18	Spectrogram 1	1	376.508685072	376.800540884	0.0	22050.0	VYD 	A	C				
19	Waveform 1	1	385.685305288	387.896674329	0.0	22050.0	VYD 	A	S	F			
19	Spectrogram 1	1	385.685305288	387.896674329	0.0	22050.0	VYD 	A	S	F			
20	Waveform 1	1	388.115566188	388.519674236	0.0	22050.0	VYD 	A	C				
20	Spectrogram 1	1	388.115566188	388.519674236	0.0	22050.0	VYD 	A	C				
21	Waveform 1	1	398.824429420	400.491375119	0.0	22050.0	VYD 	A	R		Y	Y	
21	Spectrogram 1	1	398.824429420	400.491375119	0.0	22050.0	VYD 	A	R		Y	Y	
22	Waveform 1	1	397.662618782	399.739285140	0.0	22050.0	VYD 	A	S	F			
22	Spectrogram 1	1	397.662618782	399.739285140	0.0	22050.0	VYD 	A	S	F			
23	Waveform 1	1	400.788843543	402.899185572	0.0	22050.0	VYD 	A	C				
23	Spectrogram 1	1	400.788843543	402.899185572	0.0	22050.0	VYD 	A	C				
24	Waveform 1	1	409.550130502	411.621184248	0.0	22050.0	VYD 	A	S	F			
24	Spectrogram 1	1	409.550130502	411.621184248	0.0	22050.0	VYD 	A	S	F			
25	Waveform 1	1	412.042130132	412.328373333	0.0	22050.0	VYD 	A	C				
25	Spectrogram 1	1	412.042130132	412.328373333	0.0	22050.0	VYD 	A	C				
26	Waveform 1	1	421.555507055	423.480632895	0.0	22050.0	VYD 	A	S	C			
26	Spectrogram 1	1	421.555507055	423.480632895	0.0	22050.0	VYD 	A	S	C			
27	Waveform 1	1	423.862290496	424.131695862	0.0	22050.0	VYD 	A	C				
27	Spectrogram 1	1	423.862290496	424.131695862	0.0	22050.0	VYD 	A	C				
28	Waveform 1	1	423.839840049	426.017533419	0.0	22050.0	VYD 	A	R		Y		
28	Spectrogram 1	1	423.839840049	426.017533419	0.0	22050.0	VYD 	A	R		Y		
29	Waveform 1	1	426.157848714	426.629308103	0.0	22050.0	VYD 	A	C				
29	Spectrogram 1	1	426.157848714	426.629308103	0.0	22050.0	VYD 	A	C				
30	Waveform 1	1	433.869577206	435.957468788	0.0	22050.0	VYD 	A	S	C			
30	Spectrogram 1	1	433.869577206	435.957468788	0.0	22050.0	VYD 	A	S	C			
31	Waveform 1	1	436.064108412	436.434540790	0.0	22050.0	VYD 	A	C				
31	Spectrogram 1	1	436.064108412	436.434540790	0.0	22050.0	VYD 	A	C				
32	Waveform 1	1	445.891791595	447.783241764	0.0	22050.0	VYD 	A	S	C			
32	Spectrogram 1	1	445.891791595	447.783241764	0.0	22050.0	VYD 	A	S	C			
33	Waveform 1	1	457.689501512	460.198338977	0.0	22050.0	VYD 	A	S	C			
33	Spectrogram 1	1	457.689501512	460.198338977	0.0	22050.0	VYD 	A	S	C			
34	Waveform 1	1	457.728789794	460.181501142	0.0	22050.0	VYD 	A	R		Y	Y	
34	Spectrogram 1	1	457.728789794	460.181501142	0.0	22050.0	VYD 	A	R		Y	Y	
35	Waveform 1	1	460.243239872	461.870897288	0.0	22050.0	VYD 	A	C				
35	Spectrogram 1	1	460.243239872	461.870897288	0.0	22050.0	VYD 	A	C				
36	Waveform 1	1	470.037247384	472.035337177	0.0	22050.0	VYD 	A	S	C			
36	Spectrogram 1	1	470.037247384	472.035337177	0.0	22050.0	VYD 	A	S	C			
37	Waveform 1	1	472.254229036	472.546084849	0.0	22050.0	VYD 	A	C				
37	Spectrogram 1	1	472.254229036	472.546084849	0.0	22050.0	VYD 	A	C				
38	Waveform 1	1	482.368155420	484.338182154	0.0	22050.0	VYD 	A	S	C			
38	Spectrogram 1	1	482.368155420	484.338182154	0.0	22050.0	VYD 	A	S	C			
39	Waveform 1	1	484.029488506	486.072479194	0.0	22050.0	VYD 	A	R		Y	Y	
39	Spectrogram 1	1	484.029488506	486.072479194	0.0	22050.0	VYD 	A	R		Y	Y	
40	Waveform 1	1	486.459749407	487.374605127	0.0	22050.0	VYD	A	C				
40	Spectrogram 1	1	486.459749407	487.374605127	0.0	22050.0	VYD	A	C				
41	Waveform 1	1	494.738351753	496.697153264	0.0	22050.0	VYD 	A	S	C			
41	Spectrogram 1	1	494.738351753	496.697153264	0.0	22050.0	VYD 	A	S	C			
42	Waveform 1	1	497.219126159	497.640072043	0.0	22050.0	VYD 	A	C				
42	Spectrogram 1	1	497.219126159	497.640072043	0.0	22050.0	VYD 	A	C				
43	Waveform 1	1	507.041196508	508.955097125	0.0	22050.0	VYD 	A	S	C			
43	Spectrogram 1	1	507.041196508	508.955097125	0.0	22050.0	VYD 	A	S	C			
44	Waveform 1	1	508.236682817	510.195484328	0.0	22050.0	VYD 	A	R		Y	Y	
44	Spectrogram 1	1	508.236682817	510.195484328	0.0	22050.0	VYD 	A	R		Y	Y	
45	Waveform 1	1	510.504177976	511.660376002	0.0	22050.0	VYD 	A	C				
45	Spectrogram 1	1	510.504177976	511.660376002	0.0	22050.0	VYD 	A	C				
46	Waveform 1	1	519.383329240	521.448770375	0.0	22050.0	VYD 	A	S	C			
46	Spectrogram 1	1	519.383329240	521.448770375	0.0	22050.0	VYD 	A	S	C			
47	Waveform 1	1	522.402914378	522.784571979	0.0	22050.0	VYD 	A	C				
47	Spectrogram 1	1	522.402914378	522.784571979	0.0	22050.0	VYD 	A	C				
48	Waveform 1	1	531.663723243	533.667425649	0.0	22050.0	VYD 	A	S	C			
48	Spectrogram 1	1	531.663723243	533.667425649	0.0	22050.0	VYD 	A	S	C			
