Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	10.348362991	11.765185071	0.0	22050.0	XVYD	Dawn	R				Pretrial
1	Spectrogram 1	1	10.348362991	11.765185071	0.0	22050.0	XVYD	Dawn	R				Pretrial
2	Waveform 1	1	12.957018236	13.388753720	0.0	22050.0	XVYD	Dawn	C				Pretrial
2	Spectrogram 1	1	12.957018236	13.388753720	0.0	22050.0	XVYD	Dawn	C				Pretrial
3	Waveform 1	1	17.213565471	18.897941935	0.0	22050.0	XVYD	Dawn	R				Pretrial
3	Spectrogram 1	1	17.213565471	18.897941935	0.0	22050.0	XVYD	Dawn	R				Pretrial
4	Waveform 1	1	19.384404452	19.852624624	0.0	22050.0	XVYD	Dawn	C				Pretrial
4	Spectrogram 1	1	19.384404452	19.852624624	0.0	22050.0	XVYD	Dawn	C				Pretrial
5	Waveform 1	1	23.726082841	25.337489927	0.0	22050.0	XVYD	Dawn	R				Pretrial
5	Spectrogram 1	1	23.726082841	25.337489927	0.0	22050.0	XVYD	Dawn	R				Pretrial
6	Waveform 1	1	26.109749172	26.608373252	0.0	22050.0	XVYD	Dawn	C				Pretrial
6	Spectrogram 1	1	26.109749172	26.608373252	0.0	22050.0	XVYD	Dawn	C				Pretrial
7	Waveform 1	1	29.587956381	31.588533480	0.0	22050.0	XVYD	Dawn	R				Pretrial
7	Spectrogram 1	1	29.587956381	31.588533480	0.0	22050.0	XVYD	Dawn	R				Pretrial
8	Waveform 1	1	32.269581003	32.695235705	0.0	22050.0	XVYD	Dawn	C				Pretrial
8	Spectrogram 1	1	32.269581003	32.695235705	0.0	22050.0	XVYD	Dawn	C				Pretrial
9	Waveform 1	1	35.534960860	37.590264993	0.0	22050.0	XVYD	Dawn	R				Pretrial
9	Spectrogram 1	1	35.534960860	37.590264993	0.0	22050.0	XVYD	Dawn	R				Pretrial
10	Waveform 1	1	38.295635642	38.739532689	0.0	22050.0	XVYD	Dawn	C				Pretrial
10	Spectrogram 1	1	38.295635642	38.739532689	0.0	22050.0	XVYD	Dawn	C				Pretrial
11	Waveform 1	1	45.051383817	47.398565460	0.0	22050.0	XVYD	Dawn	R				Pretrial
11	Spectrogram 1	1	45.051383817	47.398565460	0.0	22050.0	XVYD	Dawn	R				Pretrial
12	Waveform 1	1	47.982320479	48.432298307	0.0	22050.0	XVYD	Dawn	C				Pretrial
12	Spectrogram 1	1	47.982320479	48.432298307	0.0	22050.0	XVYD	Dawn	C				Pretrial
13	Waveform 1	1	59.766875373	61.366120896	0.0	22050.0	XVYD	Dawn	R				Pretrial
13	Spectrogram 1	1	59.766875373	61.366120896	0.0	22050.0	XVYD	Dawn	R				Pretrial
14	Waveform 1	1	61.895148883	62.369449837	0.0	22050.0	XVYD	Dawn	C				Pretrial
14	Spectrogram 1	1	61.895148883	62.369449837	0.0	22050.0	XVYD	Dawn	C				Pretrial
15	Waveform 1	1	66.334119776	68.042819366	0.0	22050.0	XVYD	Dawn	R				Pretrial
15	Spectrogram 1	1	66.334119776	68.042819366	0.0	22050.0	XVYD	Dawn	R				Pretrial
16	Waveform 1	1	68.584008915	69.198167843	0.0	22050.0	XVYD	Dawn	C				Pretrial
16	Spectrogram 1	1	68.584008915	69.198167843	0.0	22050.0	XVYD	Dawn	C				Pretrial
17	Waveform 1	1	72.220316441	73.831723528	0.0	22050.0	XVYD	Dawn	R				Pretrial
17	Spectrogram 1	1	72.220316441	73.831723528	0.0	22050.0	XVYD	Dawn	R				Pretrial
18	Waveform 1	1	74.762083091	75.248545607	0.0	22050.0	XVYD	Dawn	C				Pretrial
18	Spectrogram 1	1	74.762083091	75.248545607	0.0	22050.0	XVYD	Dawn	C				Pretrial
19	Waveform 1	1	78.890933915	80.605714286	0.0	22050.0	XVYD	Dawn	R				Pretrial
19	Spectrogram 1	1	78.890933915	80.605714286	0.0	22050.0	XVYD	Dawn	R				Pretrial
20	Waveform 1	1	81.238115557	81.834032140	0.0	22050.0	XVYD	Dawn	C				Pretrial
20	Spectrogram 1	1	81.238115557	81.834032140	0.0	22050.0	XVYD	Dawn	C				Pretrial
21	Waveform 1	1	85.750055613	87.933056156	0.0	22050.0	XVYD	Dawn	R				Pretrial
21	Spectrogram 1	1	85.750055613	87.933056156	0.0	22050.0	XVYD	Dawn	R				Pretrial
22	Waveform 1	1	88.401276329	88.930304316	0.0	22050.0	XVYD	Dawn	C				Pretrial
22	Spectrogram 1	1	88.401276329	88.930304316	0.0	22050.0	XVYD	Dawn	C				Pretrial
23	Waveform 1	1	118.039006439	119.504474771	0.0	22050.0	XVYD	Dawn	R				Pretrial
23	Spectrogram 1	1	118.039006439	119.504474771	0.0	22050.0	XVYD	Dawn	R				Pretrial
24	Waveform 1	1	120.209845420	120.702388718	0.0	22050.0	XVYD	Dawn	C				Pretrial
24	Spectrogram 1	1	120.209845420	120.702388718	0.0	22050.0	XVYD	Dawn	C				Pretrial
25	Waveform 1	1	147.889563901	149.762444590	0.0	22050.0	XVYD	Dawn	R				Pretrial
25	Spectrogram 1	1	147.889563901	149.762444590	0.0	22050.0	XVYD	Dawn	R				Pretrial
26	Waveform 1	1	150.352280391	150.826581345	0.0	22050.0	XVYD	Dawn	C				Pretrial
26	Spectrogram 1	1	150.352280391	150.826581345	0.0	22050.0	XVYD	Dawn	C				Pretrial
27	Waveform 1	1	153.733195096	155.326359838	0.0	22050.0	XVYD	Dawn	R				Pretrial
27	Spectrogram 1	1	153.733195096	155.326359838	0.0	22050.0	XVYD	Dawn	R				Pretrial
28	Waveform 1	1	155.770256884	156.232396275	0.0	22050.0	XVYD	Dawn	C				Pretrial
28	Spectrogram 1	1	155.770256884	156.232396275	0.0	22050.0	XVYD	Dawn	C				Pretrial
29	Waveform 1	1	170.838434194	172.759961134	0.0	22050.0	XVYD	Dawn	R				Pretrial
29	Spectrogram 1	1	170.838434194	172.759961134	0.0	22050.0	XVYD	Dawn	R				Pretrial
30	Waveform 1	1	174.578114790	175.107142777	0.0	22050.0	XVYD	Dawn	C				Pretrial
30	Spectrogram 1	1	174.578114790	175.107142777	0.0	22050.0	XVYD	Dawn	C				Pretrial
31	Waveform 1	1	183.541186634	184.994493402	0.0	22050.0	XVYD	Dawn	R				Pretrial
31	Spectrogram 1	1	183.541186634	184.994493402	0.0	22050.0	XVYD	Dawn	R				Pretrial
32	Waveform 1	1	185.675540926	186.101195628	0.0	22050.0	XVYD	Dawn	C				Pretrial
32	Spectrogram 1	1	185.675540926	186.101195628	0.0	22050.0	XVYD	Dawn	C				Pretrial
33	Waveform 1	1	194.255523991	195.587215130	0.0	22050.0	XVYD	Dawn	R				Pretrial
33	Spectrogram 1	1	194.255523991	195.587215130	0.0	22050.0	XVYD	Dawn	R				Pretrial
34	Waveform 1	1	195.824365607	196.359474375	0.0	22050.0	XVYD	Dawn	C				Pretrial
34	Spectrogram 1	1	195.824365607	196.359474375	0.0	22050.0	XVYD	Dawn	C				Pretrial
35	Waveform 1	1	204.945538222	206.702884064	0.0	22050.0	XVYD	Dawn	R				Pretrial
35	Spectrogram 1	1	204.945538222	206.702884064	0.0	22050.0	XVYD	Dawn	R				Pretrial
36	Waveform 1	1	207.256235176	207.773101600	0.0	22050.0	XVYD	Dawn	C				Pretrial
36	Spectrogram 1	1	207.256235176	207.773101600	0.0	22050.0	XVYD	Dawn	C				Pretrial
37	Waveform 1	1	217.915845500	220.068442136	0.0	22050.0	XVYD	Dawn	R				Pretrial
37	Spectrogram 1	1	217.915845500	220.068442136	0.0	22050.0	XVYD	Dawn	R				Pretrial
38	Waveform 1	1	220.621793249	221.126498110	0.0	22050.0	XVYD	Dawn	C				Pretrial
38	Spectrogram 1	1	220.621793249	221.126498110	0.0	22050.0	XVYD	Dawn	C				Pretrial
39	Waveform 1	1	231.384777072	232.807679933	0.0	22050.0	XVYD	Dawn	R				Pretrial
39	Spectrogram 1	1	231.384777072	232.807679933	0.0	22050.0	XVYD	Dawn	R				Pretrial
40	Waveform 1	1	233.719797152	234.200178887	0.0	22050.0	XVYD	Dawn	C				Pretrial
40	Spectrogram 1	1	233.719797152	234.200178887	0.0	22050.0	XVYD	Dawn	C				Pretrial
41	Waveform 1	1	237.210165923	238.900623168	0.0	22050.0	XVYD	Dawn	R				Pretrial
41	Spectrogram 1	1	237.210165923	238.900623168	0.0	22050.0	XVYD	Dawn	R				Pretrial
42	Waveform 1	1	239.064804267	239.593832254	0.0	22050.0	XVYD	Dawn	C				Pretrial
42	Spectrogram 1	1	239.064804267	239.593832254	0.0	22050.0	XVYD	Dawn	C				Pretrial
43	Waveform 1	1	249.949403505	252.035111545	0.0	22050.0	XVYD	Dawn	R				Pretrial
43	Spectrogram 1	1	249.949403505	252.035111545	0.0	22050.0	XVYD	Dawn	R				Pretrial
44	Waveform 1	1	252.649270472	253.166136896	0.0	22050.0	XVYD	Dawn	C				Pretrial
44	Spectrogram 1	1	252.649270472	253.166136896	0.0	22050.0	XVYD	Dawn	C				Pretrial
45	Waveform 1	1	255.957215799	257.690238515	0.0	22050.0	XVYD	Dawn	R				Pretrial
45	Spectrogram 1	1	255.957215799	257.690238515	0.0	22050.0	XVYD	Dawn	R				Pretrial
46	Waveform 1	1	258.182781813	258.559790263	0.0	22050.0	XVYD	Dawn	C				Pretrial
46	Spectrogram 1	1	258.182781813	258.559790263	0.0	22050.0	XVYD	Dawn	C				Pretrial
47	Waveform 1	1	270.107194441	271.846297938	0.0	22050.0	XVYD	Dawn	R				Pretrial
47	Spectrogram 1	1	270.107194441	271.846297938	0.0	22050.0	XVYD	Dawn	R				Pretrial
48	Waveform 1	1	273.074615792	273.561078309	0.0	22050.0	XVYD	Dawn	C				Pretrial
48	Spectrogram 1	1	273.074615792	273.561078309	0.0	22050.0	XVYD	Dawn	C				Pretrial
49	Waveform 1	1	281.216782593	283.290329070	0.0	22050.0	XVYD	Dawn	R				Pretrial
49	Spectrogram 1	1	281.216782593	283.290329070	0.0	22050.0	XVYD	Dawn	R				Pretrial
50	Waveform 1	1	283.497075639	284.135557692	0.0	22050.0	XVYD	Dawn	C				Pretrial
50	Spectrogram 1	1	283.497075639	284.135557692	0.0	22050.0	XVYD	Dawn	C				Pretrial
51	Waveform 1	1	301.473000000	303.361189500	0.0	22050.0	XVYD	Dawn	S	C			
51	Spectrogram 1	1	301.473000000	303.361189500	0.0	22050.0	XVYD	Dawn	S	C			
52	Waveform 1	1	303.581897651	303.916340631	0.0	22050.0	XVYD	Dawn	C				
52	Spectrogram 1	1	303.581897651	303.916340631	0.0	22050.0	XVYD	Dawn	C				
53	Waveform 1	1	306.026372012	307.358063151	0.0	22050.0	XVYD	Dawn	R		Y		
53	Spectrogram 1	1	306.026372012	307.358063151	0.0	22050.0	XVYD	Dawn	R		Y		
54	Waveform 1	1	307.765475509	308.282341932	0.0	22050.0	XVYD	Dawn	C				
54	Spectrogram 1	1	307.765475509	308.282341932	0.0	22050.0	XVYD	Dawn	C				
55	Waveform 1	1	310.970047551	312.484162134	0.0	22050.0	XVYD	Dawn	R				
55	Spectrogram 1	1	310.970047551	312.484162134	0.0	22050.0	XVYD	Dawn	R				
56	Waveform 1	1	312.842928240	313.250340598	0.0	22050.0	XVYD	Dawn	C				
56	Spectrogram 1	1	312.842928240	313.250340598	0.0	22050.0	XVYD	Dawn	C				
57	Waveform 1	1	313.229651500	315.189093400	0.0	22050.0	XVYD	Dawn	S	C			
57	Spectrogram 1	1	313.229651500	315.189093400	0.0	22050.0	XVYD	Dawn	S	C			
58	Waveform 1	1	315.390775671	315.792107247	0.0	22050.0	XVYD	Dawn	C				
58	Spectrogram 1	1	315.390775671	315.792107247	0.0	22050.0	XVYD	Dawn	C				
59	Waveform 1	1	317.312302826	318.643993965	0.0	22050.0	XVYD	Dawn	R		Y		
59	Spectrogram 1	1	317.312302826	318.643993965	0.0	22050.0	XVYD	Dawn	R		Y		
60	Waveform 1	1	319.464899462	320.097300733	0.0	22050.0	XVYD	Dawn	C				
60	Spectrogram 1	1	319.464899462	320.097300733	0.0	22050.0	XVYD	Dawn	C				
61	Waveform 1	1	324.380657400	326.268846800	0.0	22050.0	XVYD	Dawn	S	F			
61	Spectrogram 1	1	324.380657400	326.268846800	0.0	22050.0	XVYD	Dawn	S	F			
62	Waveform 1	1	327.607066048	327.941509028	0.0	22050.0	XVYD	Dawn	C				
62	Spectrogram 1	1	327.607066048	327.941509028	0.0	22050.0	XVYD	Dawn	C				
63	Waveform 1	1	328.306356130	330.136671349	0.0	22050.0	XVYD	Dawn	R		Y		
63	Spectrogram 1	1	328.306356130	330.136671349	0.0	22050.0	XVYD	Dawn	R		Y		
64	Waveform 1	1	330.848122779	331.583897335	0.0	22050.0	XVYD	Dawn	C				
64	Spectrogram 1	1	330.848122779	331.583897335	0.0	22050.0	XVYD	Dawn	C				
65	Waveform 1	1	332.952073378	336.028948795	0.0	22050.0	XVYD	Dawn	R		Y		
65	Spectrogram 1	1	332.952073378	336.028948795	0.0	22050.0	XVYD	Dawn	R		Y		
66	Waveform 1	1	336.279813700	338.916153800	0.0	22050.0	XVYD	Dawn	S	S			
66	Spectrogram 1	1	336.279813700	338.916153800	0.0	22050.0	XVYD	Dawn	S	S			
67	Waveform 1	1	336.460684279	336.898500544	0.0	22050.0	XVYD	Dawn	C				
67	Spectrogram 1	1	336.460684279	336.898500544	0.0	22050.0	XVYD	Dawn	C				
68	Waveform 1	1	348.748989600	350.601552900	0.0	22050.0	XVYD	Dawn	S	F			
68	Spectrogram 1	1	348.748989600	350.601552900	0.0	22050.0	XVYD	Dawn	S	F			
69	Waveform 1	1	351.663686787	352.065018363	0.0	22050.0	XVYD	Dawn	C				
69	Spectrogram 1	1	351.663686787	352.065018363	0.0	22050.0	XVYD	Dawn	C				
70	Waveform 1	1	353.475759649	355.275670960	0.0	22050.0	XVYD	Dawn	R		Y		
70	Spectrogram 1	1	353.475759649	355.275670960	0.0	22050.0	XVYD	Dawn	R		Y		
71	Waveform 1	1	355.549306126	355.968880047	0.0	22050.0	XVYD	Dawn	C				
71	Spectrogram 1	1	355.549306126	355.968880047	0.0	22050.0	XVYD	Dawn	C				
