Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	46.134771299	47.617531712	0.0	22050.0	XUU	A	R				Pretrial
1	Spectrogram 1	1	46.134771299	47.617531712	0.0	22050.0	XUU	A	R				Pretrial
2	Waveform 1	1	50.674019435	51.147047297	0.0	22050.0	XUU	A	C				Pretrial
2	Spectrogram 1	1	50.674019435	51.147047297	0.0	22050.0	XUU	A	C				Pretrial
3	Waveform 1	1	91.793710179	93.449307696	0.0	22050.0	XUU	A	R				Pretrial
3	Spectrogram 1	1	91.793710179	93.449307696	0.0	22050.0	XUU	A	R				Pretrial
4	Waveform 1	1	93.940528937	94.495427005	0.0	22050.0	XUU	A	C				Pretrial
4	Spectrogram 1	1	93.940528937	94.495427005	0.0	22050.0	XUU	A	C				Pretrial
5	Waveform 1	1	113.313824112	115.060388525	0.0	22050.0	XUU	A	R				Pretrial
5	Spectrogram 1	1	113.313824112	115.060388525	0.0	22050.0	XUU	A	R				Pretrial
6	Waveform 1	1	115.515223008	116.106507835	0.0	22050.0	XUU	A	C				Pretrial
6	Spectrogram 1	1	115.515223008	116.106507835	0.0	22050.0	XUU	A	C				Pretrial
7	Waveform 1	1	182.749349005	184.759717418	0.0	22050.0	XUU	A	R				Pretrial
7	Spectrogram 1	1	182.749349005	184.759717418	0.0	22050.0	XUU	A	R				Pretrial
8	Waveform 1	1	184.950747900	185.423775762	0.0	22050.0	XUU	A	C				Pretrial
8	Spectrogram 1	1	184.950747900	185.423775762	0.0	22050.0	XUU	A	C				Pretrial
9	Waveform 1	1	286.451611169	288.098111996	0.0	22050.0	XUU	A	R				Pretrial
9	Spectrogram 1	1	286.451611169	288.098111996	0.0	22050.0	XUU	A	R				Pretrial
10	Waveform 1	1	289.735516133	290.254027443	0.0	22050.0	XUU	A	C				Pretrial
10	Spectrogram 1	1	289.735516133	290.254027443	0.0	22050.0	XUU	A	C				Pretrial
13	Waveform 1	1	308.793080982	310.521452016	0.0	22050.0	XUU	A	S	F			
13	Spectrogram 1	1	308.793080982	310.521452016	0.0	22050.0	XUU	A	S	F			
11	Waveform 1	1	310.730675878	311.130930222	0.0	22050.0	XUU	A	C				
11	Spectrogram 1	1	310.730675878	311.130930222	0.0	22050.0	XUU	A	C				
12	Waveform 1	1	312.577303877	314.833282910	0.0	22050.0	XUU	A	R		Y		
12	Spectrogram 1	1	312.577303877	314.833282910	0.0	22050.0	XUU	A	R		Y		
14	Waveform 1	1	314.787799472	315.524631334	0.0	22050.0	XUU	A	C				
14	Spectrogram 1	1	314.787799472	315.524631334	0.0	22050.0	XUU	A	C				
15	Waveform 1	1	316.279656575	317.371259333	0.0	22050.0	XUU	A	C				
15	Spectrogram 1	1	316.279656575	317.371259333	0.0	22050.0	XUU	A	C				
16	Waveform 1	1	325.158025695	327.414004728	0.0	22050.0	XUU	A	S	F			
16	Spectrogram 1	1	325.158025695	327.414004728	0.0	22050.0	XUU	A	S	F			
17	Waveform 1	1	329.278826107	332.417184036	0.0	22050.0	XUU	A	R		Y		
17	Spectrogram 1	1	329.278826107	332.417184036	0.0	22050.0	XUU	A	R		Y		
18	Waveform 1	1	330.788876589	331.198227623	0.0	22050.0	XUU	A	C				
18	Spectrogram 1	1	330.788876589	331.198227623	0.0	22050.0	XUU	A	C				
19	Waveform 1	1	334.018201425	335.373608183	0.0	22050.0	XUU	A	C				
19	Spectrogram 1	1	334.018201425	335.373608183	0.0	22050.0	XUU	A	C				
20	Waveform 1	1	336.592564596	338.721189975	0.0	22050.0	XUU	A	S	F			
20	Spectrogram 1	1	336.592564596	338.721189975	0.0	22050.0	XUU	A	S	F			
21	Waveform 1	1	340.786138525	341.286456456	0.0	22050.0	XUU	A	C				
21	Spectrogram 1	1	340.786138525	341.286456456	0.0	22050.0	XUU	A	C				
23	Waveform 1	1	348.654775094	350.856173989	0.0	22050.0	XUU	A	S	F			
23	Spectrogram 1	1	348.654775094	350.856173989	0.0	22050.0	XUU	A	S	F			
22	Waveform 1	1	353.275893437	353.739824609	0.0	22050.0	XUU	A	C				
22	Spectrogram 1	1	353.275893437	353.739824609	0.0	22050.0	XUU	A	C				
25	Waveform 1	1	360.098410685	362.390776477	0.0	22050.0	XUU	A	S	F			
25	Spectrogram 1	1	360.098410685	362.390776477	0.0	22050.0	XUU	A	S	F			
24	Waveform 1	1	363.646119649	364.164630959	0.0	22050.0	XUU	A	C				
24	Spectrogram 1	1	363.646119649	364.164630959	0.0	22050.0	XUU	A	C				
26	Waveform 1	1	372.087847665	374.380213458	0.0	22050.0	XUU	A	S	F			
26	Spectrogram 1	1	372.087847665	374.380213458	0.0	22050.0	XUU	A	S	F			
27	Waveform 1	1	374.844144630	375.253495664	0.0	22050.0	XUU	A	C				
27	Spectrogram 1	1	374.844144630	375.253495664	0.0	22050.0	XUU	A	C				
28	Waveform 1	1	378.664754293	380.320351810	0.0	22050.0	XUU	A	S	F			
28	Spectrogram 1	1	378.664754293	380.320351810	0.0	22050.0	XUU	A	S	F			
29	Waveform 1	1	379.929194155	382.321623533	0.0	22050.0	XUU	A	R		Y	Y	
29	Spectrogram 1	1	379.929194155	382.321623533	0.0	22050.0	XUU	A	R		Y	Y	
30	Waveform 1	1	380.911636637	381.921369188	0.0	22050.0	XUU	A	C				
30	Spectrogram 1	1	380.911636637	381.921369188	0.0	22050.0	XUU	A	C				
31	Waveform 1	1	383.321260638	385.841043671	0.0	22050.0	XUU	A	S	F			
31	Spectrogram 1	1	383.321260638	385.841043671	0.0	22050.0	XUU	A	S	F			
32	Waveform 1	1	389.297785739	389.825393739	0.0	22050.0	XUU	A	C				
32	Spectrogram 1	1	389.297785739	389.825393739	0.0	22050.0	XUU	A	C				
33	Waveform 1	1	395.874692377	397.921447548	0.0	22050.0	XUU	A	S	F			
33	Spectrogram 1	1	395.874692377	397.921447548	0.0	22050.0	XUU	A	S	F			
34	Waveform 1	1	399.213177479	399.613431823	0.0	22050.0	XUU	A	C				
34	Spectrogram 1	1	399.213177479	399.613431823	0.0	22050.0	XUU	A	C				
35	Waveform 1	1	407.372908106	409.419663277	0.0	22050.0	XUU	A	S	F			
35	Spectrogram 1	1	407.372908106	409.419663277	0.0	22050.0	XUU	A	S	F			
36	Waveform 1	1	414.622969768	417.342879974	0.0	22050.0	XUU	A	R		Y		
36	Spectrogram 1	1	414.622969768	417.342879974	0.0	22050.0	XUU	A	R		Y		
37	Waveform 1	1	418.125195284	418.652803283	0.0	22050.0	XUU	A	C				
37	Spectrogram 1	1	418.125195284	418.652803283	0.0	22050.0	XUU	A	C				
38	Waveform 1	1	419.325958328	421.663807568	0.0	22050.0	XUU	A	S	S			
38	Spectrogram 1	1	419.325958328	421.663807568	0.0	22050.0	XUU	A	S	S			
41	Waveform 1	1	421.818451292	424.165397222	0.0	22050.0	XUU	A	R		Y		
41	Spectrogram 1	1	421.818451292	424.165397222	0.0	22050.0	XUU	A	R		Y		
39	Waveform 1	1	421.927611568	422.473412947	0.0	22050.0	XUU	A	C				
39	Spectrogram 1	1	421.927611568	422.473412947	0.0	22050.0	XUU	A	C				
40	Waveform 1	1	425.811898049	426.366796118	0.0	22050.0	XUU	A	R		Y		
40	Spectrogram 1	1	425.811898049	426.366796118	0.0	22050.0	XUU	A	R		Y		
42	Waveform 1	1	431.497329101	433.862468410	0.0	22050.0	XUU	A	S	S			
42	Spectrogram 1	1	431.497329101	433.862468410	0.0	22050.0	XUU	A	S	S			
43	Waveform 1	1	435.281551996	435.681806340	0.0	22050.0	XUU	A	C				
43	Spectrogram 1	1	435.281551996	435.681806340	0.0	22050.0	XUU	A	C				
44	Waveform 1	1	443.768763450	445.951968967	0.0	22050.0	XUU	A	S	S			
44	Spectrogram 1	1	443.768763450	445.951968967	0.0	22050.0	XUU	A	S	S			
45	Waveform 1	1	448.981166620	449.390517655	0.0	22050.0	XUU	A	C				
45	Spectrogram 1	1	448.981166620	449.390517655	0.0	22050.0	XUU	A	C				
46	Waveform 1	1	449.808965389	452.292361664	0.0	22050.0	XUU	A	R		Y		
46	Spectrogram 1	1	449.808965389	452.292361664	0.0	22050.0	XUU	A	R		Y		
47	Waveform 1	1	452.010364284	452.510682215	0.0	22050.0	XUU	A	C				
47	Spectrogram 1	1	452.010364284	452.510682215	0.0	22050.0	XUU	A	C				
48	Waveform 1	1	455.994713922	458.396239990	0.0	22050.0	XUU	A	S	S			
48	Spectrogram 1	1	455.994713922	458.396239990	0.0	22050.0	XUU	A	S	S			
49	Waveform 1	1	458.341659852	458.914751300	0.0	22050.0	XUU	A	C				
49	Spectrogram 1	1	458.341659852	458.914751300	0.0	22050.0	XUU	A	C				
50	Waveform 1	1	467.920869051	469.176212223	0.0	22050.0	XUU	A	S	?			
50	Spectrogram 1	1	467.920869051	469.176212223	0.0	22050.0	XUU	A	S	?			
51	Waveform 1	1	469.167115533	471.213870704	0.0	22050.0	XUU	A	R		Y		
51	Spectrogram 1	1	469.167115533	471.213870704	0.0	22050.0	XUU	A	R		Y		
52	Waveform 1	1	469.867560636	470.568005739	0.0	22050.0	XUU	A	C				
52	Spectrogram 1	1	469.867560636	470.568005739	0.0	22050.0	XUU	A	C				
54	Waveform 1	1	480.055852626	483.203307245	0.0	22050.0	XUU	A	S	S			
54	Spectrogram 1	1	480.055852626	483.203307245	0.0	22050.0	XUU	A	S	S			
53	Waveform 1	1	484.586004072	485.113612072	0.0	22050.0	XUU	A	C				
53	Spectrogram 1	1	484.586004072	485.113612072	0.0	22050.0	XUU	A	C				
57	Waveform 1	1	526.976577907	528.905076113	0.0	22050.0	XUU	A	S	F			
57	Spectrogram 1	1	526.976577907	528.905076113	0.0	22050.0	XUU	A	S	F			
56	Waveform 1	1	529.241653630	531.515826042	0.0	22050.0	XUU	A	R		Y		
56	Spectrogram 1	1	529.241653630	531.515826042	0.0	22050.0	XUU	A	R		Y		
55	Waveform 1	1	532.207174456	533.407937490	0.0	22050.0	XUU	A	C				
55	Spectrogram 1	1	532.207174456	533.407937490	0.0	22050.0	XUU	A	C				
58	Waveform 1	1	536.937452645	539.338978712	0.0	22050.0	XUU	A	R				
58	Spectrogram 1	1	536.937452645	539.338978712	0.0	22050.0	XUU	A	R				
59	Waveform 1	1	539.329882023	539.866586712	0.0	22050.0	XUU	A	C				
59	Spectrogram 1	1	539.329882023	539.866586712	0.0	22050.0	XUU	A	C				
62	Waveform 1	1	554.884695069	556.976933689	0.0	22050.0	XUU	A	S	F			
62	Spectrogram 1	1	554.884695069	556.976933689	0.0	22050.0	XUU	A	S	F			
61	Waveform 1	1	557.459058240	560.843026790	0.0	22050.0	XUU	A	R		Y		
61	Spectrogram 1	1	557.459058240	560.843026790	0.0	22050.0	XUU	A	R		Y		
60	Waveform 1	1	562.498624307	563.017135617	0.0	22050.0	XUU	A	C				
60	Spectrogram 1	1	562.498624307	563.017135617	0.0	22050.0	XUU	A	C				
64	Waveform 1	1	563.171779314	565.445951726	0.0	22050.0	XUU	A	R				
64	Spectrogram 1	1	563.171779314	565.445951726	0.0	22050.0	XUU	A	R				
63	Waveform 1	1	566.146396829	566.683101519	0.0	22050.0	XUU	A	C				
63	Spectrogram 1	1	566.146396829	566.683101519	0.0	22050.0	XUU	A	C				
65	Waveform 1	1	569.857846217	572.195695457	0.0	22050.0	XUU	A	S	C			
65	Spectrogram 1	1	569.857846217	572.195695457	0.0	22050.0	XUU	A	S	C			
66	Waveform 1	1	573.496522078	573.933163181	0.0	22050.0	XUU	A	C				
66	Spectrogram 1	1	573.496522078	573.933163181	0.0	22050.0	XUU	A	C				
67	Waveform 1	1	582.056507060	584.430743058	0.0	22050.0	XUU	A	S	C			
67	Spectrogram 1	1	582.056507060	584.430743058	0.0	22050.0	XUU	A	S	C			
68	Waveform 1	1	584.976544437	585.231251748	0.0	22050.0	XUU	A	C				
68	Spectrogram 1	1	584.976544437	585.231251748	0.0	22050.0	XUU	A	C				
69	Waveform 1	1	594.352081860	596.608060894	0.0	22050.0	XUU	A	S	C			
69	Spectrogram 1	1	594.352081860	596.608060894	0.0	22050.0	XUU	A	S	C			
70	Waveform 1	1	599.036877030	599.455324754	0.0	22050.0	XUU	A	C				
70	Spectrogram 1	1	599.036877030	599.455324754	0.0	22050.0	XUU	A	C				
72	Waveform 1	1	606.514355934	608.852205174	0.0	22050.0	XUU	A	S	C			
72	Spectrogram 1	1	606.514355934	608.852205174	0.0	22050.0	XUU	A	S	C			
73	Waveform 1	1	609.079622415	610.926250415	0.0	22050.0	XUU	A	R		Y		
73	Spectrogram 1	1	609.079622415	610.926250415	0.0	22050.0	XUU	A	R		Y		
71	Waveform 1	1	609.152395933	609.543553588	0.0	22050.0	XUU	A	C				
71	Spectrogram 1	1	609.152395933	609.543553588	0.0	22050.0	XUU	A	C				
74	Waveform 1	1	611.462955104	611.835919380	0.0	22050.0	XUU	A	C				
74	Spectrogram 1	1	611.462955104	611.835919380	0.0	22050.0	XUU	A	C				
75	Waveform 1	1	618.703920086	621.205509740	0.0	22050.0	XUU	A	S	C			
75	Spectrogram 1	1	618.703920086	621.205509740	0.0	22050.0	XUU	A	S	C			
76	Waveform 1	1	621.132736223	621.532990568	0.0	22050.0	XUU	A	C				
76	Spectrogram 1	1	621.132736223	621.532990568	0.0	22050.0	XUU	A	C				
77	Waveform 1	1	631.066321343	633.376880514	0.0	22050.0	XUU	A	S	C			
77	Spectrogram 1	1	631.066321343	633.376880514	0.0	22050.0	XUU	A	S	C			
78	Waveform 1	1	633.768038169	634.204679272	0.0	22050.0	XUU	A	C				
78	Spectrogram 1	1	633.768038169	634.204679272	0.0	22050.0	XUU	A	C				
79	Waveform 1	1	643.219498297	645.502767399	0.0	22050.0	XUU	A	S	C			
79	Spectrogram 1	1	643.219498297	645.502767399	0.0	22050.0	XUU	A	S	C			
80	Waveform 1	1	645.793861468	646.275986019	0.0	22050.0	XUU	A	C				
80	Spectrogram 1	1	645.793861468	646.275986019	0.0	22050.0	XUU	A	C				
81	Waveform 1	1	655.445449198	657.683234852	0.0	22050.0	XUU	A	S	C			
