Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	43.181391631	45.457210962	0.0	22050.0	XUU	Dawn	R				Pretrial
1	Spectrogram 1	1	43.181391631	45.457210962	0.0	22050.0	XUU	Dawn	R				Pretrial
2	Waveform 1	1	46.067130543	46.449468191	0.0	22050.0	XUU	Dawn	C				Pretrial
2	Spectrogram 1	1	46.067130543	46.449468191	0.0	22050.0	XUU	Dawn	C				Pretrial
3	Waveform 1	1	97.969462988	99.826531563	0.0	22050.0	XUU	Dawn	R				Pretrial
3	Spectrogram 1	1	97.969462988	99.826531563	0.0	22050.0	XUU	Dawn	R				Pretrial
4	Waveform 1	1	99.949425807	100.459209337	0.0	22050.0	XUU	Dawn	C				Pretrial
4	Spectrogram 1	1	99.949425807	100.459209337	0.0	22050.0	XUU	Dawn	C				Pretrial
5	Waveform 1	1	107.892034881	109.999443582	0.0	22050.0	XUU	Dawn	R				Pretrial
5	Spectrogram 1	1	107.892034881	109.999443582	0.0	22050.0	XUU	Dawn	R				Pretrial
6	Waveform 1	1	110.308955011	110.896116399	0.0	22050.0	XUU	Dawn	C				Pretrial
6	Spectrogram 1	1	110.308955011	110.896116399	0.0	22050.0	XUU	Dawn	C				Pretrial
7	Waveform 1	1	116.704006743	118.916103134	0.0	22050.0	XUU	Dawn	R				Pretrial
7	Spectrogram 1	1	116.704006743	118.916103134	0.0	22050.0	XUU	Dawn	R				Pretrial
8	Waveform 1	1	119.626158765	120.090425909	0.0	22050.0	XUU	Dawn	C				Pretrial
8	Spectrogram 1	1	119.626158765	120.090425909	0.0	22050.0	XUU	Dawn	C				Pretrial
9	Waveform 1	1	132.926045869	134.591945620	0.0	22050.0	XUU	Dawn	R				Pretrial
9	Spectrogram 1	1	132.926045869	134.591945620	0.0	22050.0	XUU	Dawn	R				Pretrial
10	Waveform 1	1	134.441741544	134.892353772	0.0	22050.0	XUU	Dawn	C				Pretrial
10	Spectrogram 1	1	134.441741544	134.892353772	0.0	22050.0	XUU	Dawn	C				Pretrial
11	Waveform 1	1	138.001122105	140.117634083	0.0	22050.0	XUU	Dawn	R				Pretrial
11	Spectrogram 1	1	138.001122105	140.117634083	0.0	22050.0	XUU	Dawn	R				Pretrial
12	Waveform 1	1	140.700243832	141.332921607	0.0	22050.0	XUU	Dawn	C				Pretrial
12	Spectrogram 1	1	140.700243832	141.332921607	0.0	22050.0	XUU	Dawn	C				Pretrial
13	Waveform 1	1	159.466649058	161.760674944	0.0	22050.0	XUU	Dawn	R				Pretrial
13	Spectrogram 1	1	159.466649058	161.760674944	0.0	22050.0	XUU	Dawn	R				Pretrial
14	Waveform 1	1	161.919982298	162.539005156	0.0	22050.0	XUU	Dawn	C				Pretrial
14	Spectrogram 1	1	161.919982298	162.539005156	0.0	22050.0	XUU	Dawn	C				Pretrial
15	Waveform 1	1	182.288564136	184.587141661	0.0	22050.0	XUU	Dawn	R				Pretrial
15	Spectrogram 1	1	182.288564136	184.587141661	0.0	22050.0	XUU	Dawn	R				Pretrial
16	Waveform 1	1	185.051408805	185.438298091	0.0	22050.0	XUU	Dawn	C				Pretrial
16	Spectrogram 1	1	185.051408805	185.438298091	0.0	22050.0	XUU	Dawn	C				Pretrial
17	Waveform 1	1	235.943278144	237.754830332	0.0	22050.0	XUU	Dawn	R				Pretrial
17	Spectrogram 1	1	235.943278144	237.754830332	0.0	22050.0	XUU	Dawn	R				Pretrial
18	Waveform 1	1	238.387508106	238.769845753	0.0	22050.0	XUU	Dawn	C				Pretrial
18	Spectrogram 1	1	238.387508106	238.769845753	0.0	22050.0	XUU	Dawn	C				Pretrial
19	Waveform 1	1	264.655012779	266.880764085	0.0	22050.0	XUU	Dawn	R				Pretrial
19	Spectrogram 1	1	264.655012779	266.880764085	0.0	22050.0	XUU	Dawn	R				Pretrial
20	Waveform 1	1	267.595371355	268.041431944	0.0	22050.0	XUU	Dawn	R				Pretrial
20	Spectrogram 1	1	267.595371355	268.041431944	0.0	22050.0	XUU	Dawn	R				Pretrial
21	Waveform 1	1	276.848852168	279.297633769	0.0	22050.0	XUU	Dawn	R				Pretrial
21	Spectrogram 1	1	276.848852168	279.297633769	0.0	22050.0	XUU	Dawn	R				Pretrial
22	Waveform 1	1	279.593490282	280.121480367	0.0	22050.0	XUU	Dawn	C				Pretrial
22	Spectrogram 1	1	279.593490282	280.121480367	0.0	22050.0	XUU	Dawn	C				Pretrial
23	Waveform 1	1	286.735010951	289.024485199	0.0	22050.0	XUU	Dawn	R				Pretrial
23	Spectrogram 1	1	286.735010951	289.024485199	0.0	22050.0	XUU	Dawn	R				Pretrial
24	Waveform 1	1	289.283928603	289.821021965	0.0	22050.0	XUU	Dawn	C				Pretrial
24	Spectrogram 1	1	289.283928603	289.821021965	0.0	22050.0	XUU	Dawn	C				Pretrial
25	Waveform 1	1	374.547000000	376.088225225	0.0	22050.0	XUU	Dawn	S	F			
25	Spectrogram 1	1	374.547000000	376.088225225	0.0	22050.0	XUU	Dawn	S	F			
26	Waveform 1	1	377.217031614	377.644885648	0.0	22050.0	XUU	Dawn	C				
26	Spectrogram 1	1	377.217031614	377.644885648	0.0	22050.0	XUU	Dawn	C				
27	Waveform 1	1	378.678107428	380.530624364	0.0	22050.0	XUU	Dawn	R		Y		
27	Spectrogram 1	1	378.678107428	380.530624364	0.0	22050.0	XUU	Dawn	R		Y		
28	Waveform 1	1	380.881100541	381.299851298	0.0	22050.0	XUU	Dawn	C				
28	Spectrogram 1	1	380.881100541	381.299851298	0.0	22050.0	XUU	Dawn	C				
29	Waveform 1	1	386.741189261	389.986798961	0.0	22050.0	XUU	Dawn	S	S			
29	Spectrogram 1	1	386.741189261	389.986798961	0.0	22050.0	XUU	Dawn	S	S			
30	Waveform 1	1	390.466851173	390.844637182	0.0	22050.0	XUU	Dawn	C				
30	Spectrogram 1	1	390.466851173	390.844637182	0.0	22050.0	XUU	Dawn	C				
31	Waveform 1	1	399.670186150	402.915795850	0.0	22050.0	XUU	Dawn	S	S			
31	Spectrogram 1	1	399.670186150	402.915795850	0.0	22050.0	XUU	Dawn	S	S			
32	Waveform 1	1	412.758601789	414.761751589	0.0	22050.0	XUU	Dawn	S	C			
32	Spectrogram 1	1	412.758601789	414.761751589	0.0	22050.0	XUU	Dawn	S	C			
33	Waveform 1	1	415.407869885	415.690071482	0.0	22050.0	XUU	Dawn	C				
33	Spectrogram 1	1	415.407869885	415.690071482	0.0	22050.0	XUU	Dawn	C				
34	Waveform 1	1	424.848144050	428.043041150	0.0	22050.0	XUU	Dawn	S	S			
34	Spectrogram 1	1	424.848144050	428.043041150	0.0	22050.0	XUU	Dawn	S	S			
35	Waveform 1	1	428.339074284	428.680447184	0.0	22050.0	XUU	Dawn	C				
35	Spectrogram 1	1	428.339074284	428.680447184	0.0	22050.0	XUU	Dawn	C				
36	Waveform 1	1	437.814413889	439.790996571	0.0	22050.0	XUU	Dawn	S	F			
36	Spectrogram 1	1	437.814413889	439.790996571	0.0	22050.0	XUU	Dawn	S	F			
37	Waveform 1	1	440.018578308	442.226123060	0.0	22050.0	XUU	Dawn	R		Y		
