Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	37.526407099	40.019626835	0.0	22050.0	YO 	A	R				Pretrial
1	Spectrogram 1	1	37.526407099	40.019626835	0.0	22050.0	YO 	A	R				Pretrial
2	Waveform 1	1	40.177300810	40.650322736	0.0	22050.0	YO 	A	C				Pretrial
2	Spectrogram 1	1	40.177300810	40.650322736	0.0	22050.0	YO 	A	C				Pretrial
3	Waveform 1	1	194.648526351	195.170821394	0.0	22050.0	YO 	A	C				Pretrial
3	Spectrogram 1	1	194.648526351	195.170821394	0.0	22050.0	YO 	A	C				Pretrial
4	Waveform 1	1	191.544319961	193.653209382	0.0	22050.0	YO 	A	R				Pretrial
4	Spectrogram 1	1	191.544319961	193.653209382	0.0	22050.0	YO 	A	R				Pretrial
5	Waveform 1	1	275.407166673	276.008298704	0.0	22050.0	YO	A	C				Pretrial
5	Spectrogram 1	1	275.407166673	276.008298704	0.0	22050.0	YO	A	C				Pretrial
6	Waveform 1	1	272.736563715	274.953853994	0.0	22050.0	YO 	A	R				Pretrial
6	Spectrogram 1	1	272.736563715	274.953853994	0.0	22050.0	YO 	A	R				Pretrial
7	Waveform 1	1	302.261016565	304.488161467	0.0	22050.0	YO 	A	S	S			
7	Spectrogram 1	1	302.261016565	304.488161467	0.0	22050.0	YO 	A	S	S			
8	Waveform 1	1	306.961671956	308.262482252	0.0	22050.0	YO 	A	C				
8	Spectrogram 1	1	306.961671956	308.262482252	0.0	22050.0	YO 	A	C				
9	Waveform 1	1	304.172813516	306.380249171	0.0	22050.0	YO 	A	R		Y		
9	Spectrogram 1	1	304.172813516	306.380249171	0.0	22050.0	YO 	A	R		Y		
10	Waveform 1	1	316.382692224	318.619691750	0.0	22050.0	YO 	A	S	S			
10	Spectrogram 1	1	316.382692224	318.619691750	0.0	22050.0	YO 	A	S	S			
11	Waveform 1	1	319.161696040	319.595299472	0.0	22050.0	YO 	A	C				
11	Spectrogram 1	1	319.161696040	319.595299472	0.0	22050.0	YO 	A	C				
12	Waveform 1	1	327.952020648	330.425531137	0.0	22050.0	YO 	A	S	S			
12	Spectrogram 1	1	327.952020648	330.425531137	0.0	22050.0	YO 	A	S	S			
13	Waveform 1	1	328.750245149	330.849279946	0.0	22050.0	YO 	A	R		Y	Y	
13	Spectrogram 1	1	328.750245149	330.849279946	0.0	22050.0	YO 	A	R		Y	Y	
14	Waveform 1	1	331.006953921	333.056715600	0.0	22050.0	YO 	A	C				
14	Spectrogram 1	1	331.006953921	333.056715600	0.0	22050.0	YO 	A	C				
15	Waveform 1	1	340.792595499	343.098577388	0.0	22050.0	YO 	A	S	S			
15	Spectrogram 1	1	340.792595499	343.098577388	0.0	22050.0	YO 	A	S	S			
16	Waveform 1	1	353.002474207	355.160636744	0.0	22050.0	YO 	A	S	S			
16	Spectrogram 1	1	353.002474207	355.160636744	0.0	22050.0	YO 	A	S	S			
17	Waveform 1	1	354.559504713	356.628975640	0.0	22050.0	YO 	A	R		Y	Y	
17	Spectrogram 1	1	354.559504713	356.628975640	0.0	22050.0	YO 	A	R		Y	Y	
18	Waveform 1	1	357.801675831	359.319287844	0.0	22050.0	YO 	A	C				
18	Spectrogram 1	1	357.801675831	359.319287844	0.0	22050.0	YO 	A	C				
19	Waveform 1	1	365.212352484	367.528188997	0.0	22050.0	YO 	A	S	S			
19	Spectrogram 1	1	365.212352484	367.528188997	0.0	22050.0	YO 	A	S	S			
20	Waveform 1	1	367.951937806	368.523505967	0.0	22050.0	YO 	A	C				
20	Spectrogram 1	1	367.951937806	368.523505967	0.0	22050.0	YO 	A	C				
21	Waveform 1	1	382.595908508	383.492679243	0.0	22050.0	YO 	A	C				
21	Spectrogram 1	1	382.595908508	383.492679243	0.0	22050.0	YO 	A	C				
22	Waveform 1	1	377.402521945	379.669085341	0.0	22050.0	YO 	A	S	S			
22	Spectrogram 1	1	377.402521945	379.669085341	0.0	22050.0	YO 	A	S	S			
23	Waveform 1	1	389.641964765	391.987365148	0.0	22050.0	YO 	A	S	S			
23	Spectrogram 1	1	389.641964765	391.987365148	0.0	22050.0	YO 	A	S	S			
24	Waveform 1	1	392.450532451	393.041809858	0.0	22050.0	YO 	A	C				
24	Spectrogram 1	1	392.450532451	393.041809858	0.0	22050.0	YO 	A	C				
25	Waveform 1	1	401.566059392	403.881895905	0.0	22050.0	YO 	A	S	S			
25	Spectrogram 1	1	401.566059392	403.881895905	0.0	22050.0	YO 	A	S	S			
26	Waveform 1	1	404.216953103	404.699829652	0.0	22050.0	YO 	A	C				
26	Spectrogram 1	1	404.216953103	404.699829652	0.0	22050.0	YO 	A	C				
27	Waveform 1	1	413.825211458	416.141047971	0.0	22050.0	YO 	A	S	S			
27	Spectrogram 1	1	413.825211458	416.141047971	0.0	22050.0	YO 	A	S	S			
28	Waveform 1	1	416.564796780	417.037818706	0.0	22050.0	YO 	A	C				
28	Spectrogram 1	1	416.564796780	417.037818706	0.0	22050.0	YO 	A	C				
29	Waveform 1	1	426.715059185	429.365952895	0.0	22050.0	YO 	A	S	F			
29	Spectrogram 1	1	426.715059185	429.365952895	0.0	22050.0	YO 	A	S	F			
30	Waveform 1	1	430.824437167	431.228476729	0.0	22050.0	YO 	A	C				
30	Spectrogram 1	1	430.824437167	431.228476729	0.0	22050.0	YO 	A	C				
31	Waveform 1	1	440.117347572	442.502166450	0.0	22050.0	YO 	A	S	F			
31	Spectrogram 1	1	440.117347572	442.502166450	0.0	22050.0	YO 	A	S	F			
32	Waveform 1	1	444.275998672	444.847566833	0.0	22050.0	YO 	A	C				
32	Spectrogram 1	1	444.275998672	444.847566833	0.0	22050.0	YO 	A	C				
33	Waveform 1	1	453.194433386	455.569397640	0.0	22050.0	YO 	A	S	F			
33	Spectrogram 1	1	453.194433386	455.569397640	0.0	22050.0	YO 	A	S	F			
34	Waveform 1	1	456.239512035	456.653406220	0.0	22050.0	YO 	A	C				
34	Spectrogram 1	1	456.239512035	456.653406220	0.0	22050.0	YO 	A	C				
35	Waveform 1	1	459.905432203	462.132577105	0.0	22050.0	YO 	A	R		Y		
35	Spectrogram 1	1	459.905432203	462.132577105	0.0	22050.0	YO 	A	R		Y		
36	Waveform 1	1	462.467634303	465.039691026	0.0	22050.0	YO 	A	C				
36	Spectrogram 1	1	462.467634303	465.039691026	0.0	22050.0	YO 	A	C				
37	Waveform 1	1	465.226928871	467.966514193	0.0	22050.0	YO 	A	S	F			
37	Spectrogram 1	1	465.226928871	467.966514193	0.0	22050.0	YO 	A	S	F			
38	Waveform 1	1	469.858602139	470.351333312	0.0	22050.0	YO 	A	C				
38	Spectrogram 1	1	469.858602139	470.351333312	0.0	22050.0	YO 	A	C				
39	Waveform 1	1	478.294160062	480.984472266	0.0	22050.0	YO 	A	S	F			
39	Spectrogram 1	1	478.294160062	480.984472266	0.0	22050.0	YO 	A	S	F			
40	Waveform 1	1	482.442956538	482.758304489	0.0	22050.0	YO 	A	C				
40	Spectrogram 1	1	482.442956538	482.758304489	0.0	22050.0	YO 	A	C				
41	Waveform 1	1	491.390954881	494.150249449	0.0	22050.0	YO 	A	S	F			
41	Spectrogram 1	1	491.390954881	494.150249449	0.0	22050.0	YO 	A	S	F			
42	Waveform 1	1	494.583852882	495.027310937	0.0	22050.0	YO 	A	C				
42	Spectrogram 1	1	494.583852882	495.027310937	0.0	22050.0	YO 	A	C				
43	Waveform 1	1	504.310366719	506.961260429	0.0	22050.0	YO 	A	S	F			
43	Spectrogram 1	1	504.310366719	506.961260429	0.0	22050.0	YO 	A	S	F			
44	Waveform 1	1	507.513119343	507.917158905	0.0	22050.0	YO 	A	C				
44	Spectrogram 1	1	507.513119343	507.917158905	0.0	22050.0	YO 	A	C				
45	Waveform 1	1	517.426870355	520.097473312	0.0	22050.0	YO 	A	S	F			
45	Spectrogram 1	1	517.426870355	520.097473312	0.0	22050.0	YO 	A	S	F			
46	Waveform 1	1	524.561617739	525.044494289	0.0	22050.0	YO 	A	C				?
46	Spectrogram 1	1	524.561617739	525.044494289	0.0	22050.0	YO 	A	C				?
47	Waveform 1	1	522.728657776	524.610890857	0.0	22050.0	YO 	A	R		Y		?
47	Spectrogram 1	1	522.728657776	524.610890857	0.0	22050.0	YO 	A	R		Y		?
48	Waveform 1	1	530.582792484	533.016884479	0.0	22050.0	YO 	A	S	F			
48	Spectrogram 1	1	530.582792484	533.016884479	0.0	22050.0	YO 	A	S	F			
49	Waveform 1	1	531.518981713	533.972782954	0.0	22050.0	YO 	A	R		Y	Y	
49	Spectrogram 1	1	531.518981713	533.972782954	0.0	22050.0	YO 	A	R		Y	Y	
50	Waveform 1	1	534.327549399	535.933853023	0.0	22050.0	YO 	A	C				
50	Spectrogram 1	1	534.327549399	535.933853023	0.0	22050.0	YO 	A	C				
51	Waveform 1	1	543.492349458	546.044696934	0.0	22050.0	YO 	A	S	F			
51	Spectrogram 1	1	543.492349458	546.044696934	0.0	22050.0	YO 	A	S	F			
53	Waveform 1	1	556.037285604	557.939227932	0.0	22050.0	YO 	A	S	C			
53	Spectrogram 1	1	556.037285604	557.939227932	0.0	22050.0	YO 	A	S	C			
54	Waveform 1	1	557.397223642	559.427276075	0.0	22050.0	YO 	A	R		Y	Y	
54	Spectrogram 1	1	557.397223642	559.427276075	0.0	22050.0	YO 	A	R		Y	Y	
55	Waveform 1	1	561.082852816	562.028896668	0.0	22050.0	YO 	A	C				
55	Spectrogram 1	1	561.082852816	562.028896668	0.0	22050.0	YO 	A	C				
56	Waveform 1	1	567.557340670	569.754921702	0.0	22050.0	YO 	A	S	C			
56	Spectrogram 1	1	567.557340670	569.754921702	0.0	22050.0	YO 	A	S	C			
57	Waveform 1	1	569.055243436	571.784974134	0.0	22050.0	YO 	A	R		Y	Y	
57	Spectrogram 1	1	569.055243436	571.784974134	0.0	22050.0	YO 	A	R		Y	Y	
58	Waveform 1	1	571.922938863	572.553634764	0.0	22050.0	YO 	A	C				
58	Spectrogram 1	1	571.922938863	572.553634764	0.0	22050.0	YO 	A	C				
59	Waveform 1	1	570.257507498	570.563000825	0.0	22050.0	YO 	A	C				
59	Spectrogram 1	1	570.257507498	570.563000825	0.0	22050.0	YO 	A	C				
60	Waveform 1	1	580.121986064	582.161893120	0.0	22050.0	YO 	A	S	C			
60	Spectrogram 1	1	580.121986064	582.161893120	0.0	22050.0	YO 	A	S	C			
61	Waveform 1	1	582.053492262	584.389038022	0.0	22050.0	YO 	A	R		Y		
61	Spectrogram 1	1	582.053492262	584.389038022	0.0	22050.0	YO 	A	R		Y		
62	Waveform 1	1	585.423773485	587.296151942	0.0	22050.0	YO 	A	C				
62	Spectrogram 1	1	585.423773485	587.296151942	0.0	22050.0	YO 	A	C				
63	Waveform 1	1	592.026371444	594.214097852	0.0	22050.0	YO 	A	S	C			
63	Spectrogram 1	1	592.026371444	594.214097852	0.0	22050.0	YO 	A	S	C			
64	Waveform 1	1	594.450608815	594.903921494	0.0	22050.0	YO 	A	C				
64	Spectrogram 1	1	594.450608815	594.903921494	0.0	22050.0	YO 	A	C				
65	Waveform 1	1	603.891338572	605.783426276	0.0	22050.0	YO 	A	S	C			
65	Spectrogram 1	1	603.891338572	605.783426276	0.0	22050.0	YO 	A	S	C			
66	Waveform 1	1	605.290695103	607.616386240	0.0	22050.0	YO 	A	R		Y		
66	Spectrogram 1	1	605.290695103	607.616386240	0.0	22050.0	YO 	A	R		Y		
67	Waveform 1	1	607.685368604	608.651121703	0.0	22050.0	YO 	A	C				
67	Spectrogram 1	1	607.685368604	608.651121703	0.0	22050.0	YO 	A	C				
68	Waveform 1	1	616.357437490	618.279089064	0.0	22050.0	YO 	A	S	C			
68	Spectrogram 1	1	616.357437490	618.279089064	0.0	22050.0	YO 	A	S	C			
69	Waveform 1	1	621.885881251	622.526431776	0.0	22050.0	YO 	A	C				
69	Spectrogram 1	1	621.885881251	622.526431776	0.0	22050.0	YO 	A	C				
70	Waveform 1	1	628.419497087	630.360857909	0.0	22050.0	YO 	A	S	C			
70	Spectrogram 1	1	628.419497087	630.360857909	0.0	22050.0	YO 	A	S	C			
71	Waveform 1	1	631.247774020	631.720795946	0.0	22050.0	YO 	A	C				
71	Spectrogram 1	1	631.247774020	631.720795946	0.0	22050.0	YO 	A	C				
72	Waveform 1	1	637.653279510	639.821296671	0.0	22050.0	YO 	A	R		Y		
72	Spectrogram 1	1	637.653279510	639.821296671	0.0	22050.0	YO 	A	R		Y		
73	Waveform 1	1	640.097226128	642.009023079	0.0	22050.0	YO 	A	S	C			
73	Spectrogram 1	1	640.097226128	642.009023079	0.0	22050.0	YO 	A	S	C			
