Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	136.782085564	138.417943237	0.0	22050.0	OWO	A	R				Pretrial
1	Spectrogram 1	1	136.782085564	138.417943237	0.0	22050.0	OWO	A	R				Pretrial
2	Waveform 1	1	142.085922245	142.583791971	0.0	22050.0	OWO	A	C				Pretrial
2	Spectrogram 1	1	142.085922245	142.583791971	0.0	22050.0	OWO	A	C				Pretrial
3	Waveform 1	1	231.662086287	233.393583051	0.0	22050.0	OWO	A	R				Pretrial
3	Spectrogram 1	1	231.662086287	233.393583051	0.0	22050.0	OWO	A	R				Pretrial
4	Waveform 1	1	233.752814745	234.255739117	0.0	22050.0	OWO	A	C				Pretrial
4	Spectrogram 1	1	233.752814745	234.255739117	0.0	22050.0	OWO	A	C				Pretrial
5	Waveform 1	1	292.982940038	294.628221196	0.0	22050.0	OWO	A	R				Pretrial
5	Spectrogram 1	1	292.982940038	294.628221196	0.0	22050.0	OWO	A	R				Pretrial
6	Waveform 1	1	294.980268256	295.504746529	0.0	22050.0	OWO	A	C				Pretrial
6	Spectrogram 1	1	294.980268256	295.504746529	0.0	22050.0	OWO	A	C				Pretrial
7	Waveform 1	1	302.330193956	304.988463969	0.0	22050.0	OWO	A	S				
7	Spectrogram 1	1	302.330193956	304.988463969	0.0	22050.0	OWO	A	S				
8	Waveform 1	1	314.940558114	317.540020074	0.0	22050.0	OWO	A	S	S			
8	Spectrogram 1	1	314.940558114	317.540020074	0.0	22050.0	OWO	A	S	S			
9	Waveform 1	1	327.883011636	330.544208475	0.0	22050.0	OWO	A	S	S			
9	Spectrogram 1	1	327.883011636	330.544208475	0.0	22050.0	OWO	A	S	S			
10	Waveform 1	1	340.368841572	343.131687750	0.0	22050.0	OWO	A	S	S			
10	Spectrogram 1	1	340.368841572	343.131687750	0.0	22050.0	OWO	A	S	S			
11	Waveform 1	1	352.973351225	356.121506521	0.0	22050.0	OWO	A	S	S			
11	Spectrogram 1	1	352.973351225	356.121506521	0.0	22050.0	OWO	A	S	S			
12	Waveform 1	1	365.734856783	368.353478051	0.0	22050.0	OWO	A	S	S			
12	Spectrogram 1	1	365.734856783	368.353478051	0.0	22050.0	OWO	A	S	S			
13	Waveform 1	1	377.671948316	379.130428993	0.0	22050.0	OWO	A	S				
13	Spectrogram 1	1	377.671948316	379.130428993	0.0	22050.0	OWO	A	S				
14	Waveform 1	1	391.415719032	393.223806801	0.0	22050.0	OWO	A	S				
14	Spectrogram 1	1	391.415719032	393.223806801	0.0	22050.0	OWO	A	S				
15	Waveform 1	1	403.736833657	406.465086845	0.0	22050.0	OWO	A	S				
15	Spectrogram 1	1	403.736833657	406.465086845	0.0	22050.0	OWO	A	S				
16	Waveform 1	1	416.372260929	419.289443477	0.0	22050.0	OWO	A	S				
16	Spectrogram 1	1	416.372260929	419.289443477	0.0	22050.0	OWO	A	S				
17	Waveform 1	1	429.008726329	430.841029161	0.0	22050.0	OWO	A	S	S			
17	Spectrogram 1	1	429.008726329	430.841029161	0.0	22050.0	OWO	A	S	S			
18	Waveform 1	1	440.845301389	442.807992045	0.0	22050.0	OWO	A	S	S			
18	Spectrogram 1	1	440.845301389	442.807992045	0.0	22050.0	OWO	A	S	S			
19	Waveform 1	1	452.765965899	454.687943396	0.0	22050.0	OWO	A	S	S			
19	Spectrogram 1	1	452.765965899	454.687943396	0.0	22050.0	OWO	A	S	S			
20	Waveform 1	1	464.270450934	466.467041165	0.0	22050.0	OWO	A	S	S			
20	Spectrogram 1	1	464.270450934	466.467041165	0.0	22050.0	OWO	A	S	S			
21	Waveform 1	1	476.095006529	477.934272801	0.0	22050.0	OWO	A	S	S			
21	Spectrogram 1	1	476.095006529	477.934272801	0.0	22050.0	OWO	A	S	S			
22	Waveform 1	1	488.025801749	490.248735921	0.0	22050.0	OWO	A	S	S			
22	Spectrogram 1	1	488.025801749	490.248735921	0.0	22050.0	OWO	A	S	S			
23	Waveform 1	1	499.918548169	502.221577778	0.0	22050.0	OWO	A	S	S			
23	Spectrogram 1	1	499.918548169	502.221577778	0.0	22050.0	OWO	A	S	S			
24	Waveform 1	1	511.638307308	513.393708047	0.0	22050.0	OWO	A	S	S			
24	Spectrogram 1	1	511.638307308	513.393708047	0.0	22050.0	OWO	A	S	S			
25	Waveform 1	1	524.261734323	526.908561894	0.0	22050.0	OWO	A	S				
25	Spectrogram 1	1	524.261734323	526.908561894	0.0	22050.0	OWO	A	S				
26	Waveform 1	1	536.063717729	537.892029270	0.0	22050.0	OWO	A	S				
26	Spectrogram 1	1	536.063717729	537.892029270	0.0	22050.0	OWO	A	S				
27	Waveform 1	1	559.885570061	561.285198164	0.0	22050.0	OWO	A	S				
27	Spectrogram 1	1	559.885570061	561.285198164	0.0	22050.0	OWO	A	S				
28	Waveform 1	1	571.234943575	572.558734049	0.0	22050.0	OWO	A	S				
28	Spectrogram 1	1	571.234943575	572.558734049	0.0	22050.0	OWO	A	S				
29	Waveform 1	1	583.123118761	584.528334801	0.0	22050.0	OWO	A	S				
29	Spectrogram 1	1	583.123118761	584.528334801	0.0	22050.0	OWO	A	S				
30	Waveform 1	1	594.504690800	595.887241683	0.0	22050.0	OWO	A	S				
30	Spectrogram 1	1	594.504690800	595.887241683	0.0	22050.0	OWO	A	S				
31	Waveform 1	1	605.826031025	607.289256368	0.0	22050.0	OWO	A	S				
31	Spectrogram 1	1	605.826031025	607.289256368	0.0	22050.0	OWO	A	S				
32	Waveform 1	1	617.678376020	618.913821958	0.0	22050.0	OWO	A	S				
32	Spectrogram 1	1	617.678376020	618.913821958	0.0	22050.0	OWO	A	S				
33	Waveform 1	1	629.052183457	630.402051355	0.0	22050.0	OWO	A	S				
33	Spectrogram 1	1	629.052183457	630.402051355	0.0	22050.0	OWO	A	S				
34	Waveform 1	1	640.849885238	642.033974324	0.0	22050.0	OWO	A	S				
34	Spectrogram 1	1	640.849885238	642.033974324	0.0	22050.0	OWO	A	S				
35	Waveform 1	1	652.367386297	653.615604856	0.0	22050.0	OWO	A	S				
35	Spectrogram 1	1	652.367386297	653.615604856	0.0	22050.0	OWO	A	S				
