Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	33.605575585	35.740655595	0.0	22050.0	LgLbLg	A	R				Pretrial
1	Spectrogram 1	1	33.605575585	35.740655595	0.0	22050.0	LgLbLg	A	R				Pretrial
2	Waveform 1	1	35.574918791	36.189119889	0.0	22050.0	LgLbLg	A	C				Pretrial
2	Spectrogram 1	1	35.574918791	36.189119889	0.0	22050.0	LgLbLg	A	C				Pretrial
3	Waveform 1	1	72.894948935	74.952035155	0.0	22050.0	LgLbLg	A	R				Pretrial
3	Spectrogram 1	1	72.894948935	74.952035155	0.0	22050.0	LgLbLg	A	R				Pretrial
4	Waveform 1	1	75.356627942	76.019575160	0.0	22050.0	LgLbLg	A	C				Pretrial
4	Spectrogram 1	1	75.356627942	76.019575160	0.0	22050.0	LgLbLg	A	C				Pretrial
5	Waveform 1	1	109.049946284	111.487252231	0.0	22050.0	LgLbLg	A	R				Pretrial
5	Spectrogram 1	1	109.049946284	111.487252231	0.0	22050.0	LgLbLg	A	R				Pretrial
6	Waveform 1	1	111.808976616	112.354933149	0.0	22050.0	LgLbLg	A	C				Pretrial
6	Spectrogram 1	1	111.808976616	112.354933149	0.0	22050.0	LgLbLg	A	C				Pretrial
7	Waveform 1	1	212.167489196	214.136832401	0.0	22050.0	LgLbLg	A	R				Pretrial
7	Spectrogram 1	1	212.167489196	214.136832401	0.0	22050.0	LgLbLg	A	R				Pretrial
8	Waveform 1	1	214.497553682	215.131253228	0.0	22050.0	LgLbLg	A	C				Pretrial
8	Spectrogram 1	1	214.497553682	215.131253228	0.0	22050.0	LgLbLg	A	C				Pretrial
9	Waveform 1	1	288.182190039	288.737895795	0.0	22050.0	LgLbLg	A	C				Pretrial
9	Spectrogram 1	1	288.182190039	288.737895795	0.0	22050.0	LgLbLg	A	C				Pretrial
10	Waveform 1	1	286.749054141	288.942629494	0.0	22050.0	LgLbLg	A	R				Pretrial
10	Spectrogram 1	1	286.749054141	288.942629494	0.0	22050.0	LgLbLg	A	R				Pretrial
11	Waveform 1	1	304.575000000	306.832456034	0.0	22050.0	LgLbLg	A	S	F			
11	Spectrogram 1	1	304.575000000	306.832456034	0.0	22050.0	LgLbLg	A	S	F			
12	Waveform 1	1	307.154180420	307.417409462	0.0	22050.0	LgLbLg	A	C				
12	Spectrogram 1	1	307.154180420	307.417409462	0.0	22050.0	LgLbLg	A	C				
13	Waveform 1	1	316.464689434	318.044063688	0.0	22050.0	LgLbLg	A	S	S			
13	Spectrogram 1	1	316.464689434	318.044063688	0.0	22050.0	LgLbLg	A	S	S			
14	Waveform 1	1	318.814252368	319.077481410	0.0	22050.0	LgLbLg	A	C				
14	Spectrogram 1	1	318.814252368	319.077481410	0.0	22050.0	LgLbLg	A	C				
15	Waveform 1	1	328.129768685	329.679895268	0.0	22050.0	LgLbLg	A	S	S			
15	Spectrogram 1	1	328.129768685	329.679895268	0.0	22050.0	LgLbLg	A	S	S			
16	Waveform 1	1	330.318469426	330.820554451	0.0	22050.0	LgLbLg	A	C				
16	Spectrogram 1	1	330.318469426	330.820554451	0.0	22050.0	LgLbLg	A	C				
17	Waveform 1	1	339.246088544	341.324352832	0.0	22050.0	LgLbLg	A	S	F			
17	Spectrogram 1	1	339.246088544	341.324352832	0.0	22050.0	LgLbLg	A	S	F			
18	Waveform 1	1	340.705277122	342.874479415	0.0	22050.0	LgLbLg	A	R		Y	Y	
18	Spectrogram 1	1	340.705277122	342.874479415	0.0	22050.0	LgLbLg	A	R		Y	Y	
19	Waveform 1	1	342.957347817	344.151627732	0.0	22050.0	LgLbLg	A	C				
19	Spectrogram 1	1	342.957347817	344.151627732	0.0	22050.0	LgLbLg	A	C				
20	Waveform 1	1	351.824267476	354.480930959	0.0	22050.0	LgLbLg	A	R				
20	Spectrogram 1	1	351.824267476	354.480930959	0.0	22050.0	LgLbLg	A	R				
21	Waveform 1	1	355.080508222	356.406402658	0.0	22050.0	LgLbLg	A	C				
21	Spectrogram 1	1	355.080508222	356.406402658	0.0	22050.0	LgLbLg	A	C				
23	Waveform 1	1	364.072314278	366.861501906	0.0	22050.0	LgLbLg	A	R				
23	Spectrogram 1	1	364.072314278	366.861501906	0.0	22050.0	LgLbLg	A	R				
24	Waveform 1	1	368.206934233	368.981997525	0.0	22050.0	LgLbLg	A	C				
24	Spectrogram 1	1	368.206934233	368.981997525	0.0	22050.0	LgLbLg	A	C				
25	Waveform 1	1	373.880983674	374.470811714	0.0	22050.0	LgLbLg	A	C				
25	Spectrogram 1	1	373.880983674	374.470811714	0.0	22050.0	LgLbLg	A	C				
26	Waveform 1	1	374.207582671	376.259794279	0.0	22050.0	LgLbLg	A	S	C			
26	Spectrogram 1	1	374.207582671	376.259794279	0.0	22050.0	LgLbLg	A	S	C			
27	Waveform 1	1	375.855201492	377.346832732	0.0	22050.0	LgLbLg	A	R		Y	Y	
27	Spectrogram 1	1	375.855201492	377.346832732	0.0	22050.0	LgLbLg	A	R		Y	Y	
28	Waveform 1	1	377.644184057	379.052946895	0.0	22050.0	LgLbLg	A	C				
28	Spectrogram 1	1	377.644184057	379.052946895	0.0	22050.0	LgLbLg	A	C				
29	Waveform 1	1	387.388058354	389.089297905	0.0	22050.0	LgLbLg	A	S	C			
29	Spectrogram 1	1	387.388058354	389.089297905	0.0	22050.0	LgLbLg	A	S	C			
30	Waveform 1	1	388.411726852	390.254330148	0.0	22050.0	LgLbLg	A	R		Y	Y	
30	Spectrogram 1	1	388.411726852	390.254330148	0.0	22050.0	LgLbLg	A	R		Y	Y	
31	Waveform 1	1	390.639424488	391.297497094	0.0	22050.0	LgLbLg	A	C				
31	Spectrogram 1	1	390.639424488	391.297497094	0.0	22050.0	LgLbLg	A	C				
32	Waveform 1	1	398.936014141	400.963852689	0.0	22050.0	LgLbLg	A	S	F			
32	Spectrogram 1	1	398.936014141	400.963852689	0.0	22050.0	LgLbLg	A	S	F			
33	Waveform 1	1	401.192959448	401.568304564	0.0	22050.0	LgLbLg	A	C				
33	Spectrogram 1	1	401.192959448	401.568304564	0.0	22050.0	LgLbLg	A	C				
34	Waveform 1	1	411.474201539	413.701899175	0.0	22050.0	LgLbLg	A	S	C		Y	
34	Spectrogram 1	1	411.474201539	413.701899175	0.0	22050.0	LgLbLg	A	S	C		Y	
35	Waveform 1	1	412.341882456	414.554956256	0.0	22050.0	LgLbLg	A	R		Y	Y	
35	Spectrogram 1	1	412.341882456	414.554956256	0.0	22050.0	LgLbLg	A	R		Y	Y	
36	Waveform 1	1	414.252730319	415.120411236	0.0	22050.0	LgLbLg	A	C				
36	Spectrogram 1	1	414.252730319	415.120411236	0.0	22050.0	LgLbLg	A	C				
37	Waveform 1	1	423.824528065	426.453884593	0.0	22050.0	LgLbLg	A	S	C			
37	Spectrogram 1	1	423.824528065	426.453884593	0.0	22050.0	LgLbLg	A	S	C			
38	Waveform 1	1	426.478257653	428.359857844	0.0	22050.0	LgLbLg	A	C				
38	Spectrogram 1	1	426.478257653	428.359857844	0.0	22050.0	LgLbLg	A	C				
39	Waveform 1	1	432.533332078	434.619665969	0.0	22050.0	LgLbLg	A	S	C			
39	Spectrogram 1	1	432.533332078	434.619665969	0.0	22050.0	LgLbLg	A	S	C			
40	Waveform 1	1	434.960888802	435.589713736	0.0	22050.0	LgLbLg	A	C				
40	Spectrogram 1	1	434.960888802	435.589713736	0.0	22050.0	LgLbLg	A	C				
41	Waveform 1	1	436.900183833	439.013913449	0.0	22050.0	LgLbLg	A	R		Y		
41	Spectrogram 1	1	436.900183833	439.013913449	0.0	22050.0	LgLbLg	A	R		Y		
42	Waveform 1	1	439.507175224	440.335859246	0.0	22050.0	LgLbLg	A	C				
42	Spectrogram 1	1	439.507175224	440.335859246	0.0	22050.0	LgLbLg	A	C				
43	Waveform 1	1	448.253993326	450.049021222	0.0	22050.0	LgLbLg	A	S	C		Y	
43	Spectrogram 1	1	448.253993326	450.049021222	0.0	22050.0	LgLbLg	A	S	C		Y	
44	Waveform 1	1	449.225211812	450.926451363	0.0	22050.0	LgLbLg	A	R		Y	Y	
44	Spectrogram 1	1	449.225211812	450.926451363	0.0	22050.0	LgLbLg	A	R		Y	Y	
45	Waveform 1	1	450.746090723	452.788553107	0.0	22050.0	LgLbLg	A	C				
45	Spectrogram 1	1	450.746090723	452.788553107	0.0	22050.0	LgLbLg	A	C				
46	Waveform 1	1	461.461882403	463.354772616	0.0	22050.0	LgLbLg	A	S	C			
46	Spectrogram 1	1	461.461882403	463.354772616	0.0	22050.0	LgLbLg	A	S	C			
47	Waveform 1	1	461.484861663	463.756430806	0.0	22050.0	LgLbLg	A	R		Y	Y	
47	Spectrogram 1	1	461.484861663	463.756430806	0.0	22050.0	LgLbLg	A	R		Y	Y	
48	Waveform 1	1	463.780803865	466.339975110	0.0	22050.0	LgLbLg	A	C				
48	Spectrogram 1	1	463.780803865	466.339975110	0.0	22050.0	LgLbLg	A	C				
49	Waveform 1	1	474.186099734	475.756895483	0.0	22050.0	LgLbLg	A	S	S			
49	Spectrogram 1	1	474.186099734	475.756895483	0.0	22050.0	LgLbLg	A	S	S			
50	Waveform 1	1	475.947005347	476.731817862	0.0	22050.0	LgLbLg	A	C				
50	Spectrogram 1	1	475.947005347	476.731817862	0.0	22050.0	LgLbLg	A	C				
51	Waveform 1	1	485.853899873	487.339198505	0.0	22050.0	LgLbLg	A	S	S			
51	Spectrogram 1	1	485.853899873	487.339198505	0.0	22050.0	LgLbLg	A	S	S			
52	Waveform 1	1	497.093930243	499.165640298	0.0	22050.0	LgLbLg	A	S	F			
52	Spectrogram 1	1	497.093930243	499.165640298	0.0	22050.0	LgLbLg	A	S	F			
53	Waveform 1	1	499.443493176	499.838336740	0.0	22050.0	LgLbLg	A	C				
53	Spectrogram 1	1	499.443493176	499.838336740	0.0	22050.0	LgLbLg	A	C				
54	Waveform 1	1	507.971353572	509.519316306	0.0	22050.0	LgLbLg	A	S	S			
54	Spectrogram 1	1	507.971353572	509.519316306	0.0	22050.0	LgLbLg	A	S	S			
55	Waveform 1	1	509.377952562	511.868879240	0.0	22050.0	LgLbLg	A	R		Y	Y	
55	Spectrogram 1	1	509.377952562	511.868879240	0.0	22050.0	LgLbLg	A	R		Y	Y	
56	Waveform 1	1	511.854255404	512.322218146	0.0	22050.0	LgLbLg	A	C				
56	Spectrogram 1	1	511.854255404	512.322218146	0.0	22050.0	LgLbLg	A	C				
57	Waveform 1	1	521.759113899	524.162028967	0.0	22050.0	LgLbLg	A	S	C		Y	
57	Spectrogram 1	1	521.759113899	524.162028967	0.0	22050.0	LgLbLg	A	S	C		Y	
58	Waveform 1	1	523.321385692	524.659860312	0.0	22050.0	LgLbLg	A	R		Y	Y	
58	Spectrogram 1	1	523.321385692	524.659860312	0.0	22050.0	LgLbLg	A	R		Y	Y	
59	Waveform 1	1	525.274061411	525.932134017	0.0	22050.0	LgLbLg	A	C				
59	Spectrogram 1	1	525.274061411	525.932134017	0.0	22050.0	LgLbLg	A	C				
60	Waveform 1	1	533.435817317	534.959915895	0.0	22050.0	LgLbLg	A	S	S			
60	Spectrogram 1	1	533.435817317	534.959915895	0.0	22050.0	LgLbLg	A	S	S			
61	Waveform 1	1	535.656985396	535.920214438	0.0	22050.0	LgLbLg	A	C				
61	Spectrogram 1	1	535.656985396	535.920214438	0.0	22050.0	LgLbLg	A	C				
62	Waveform 1	1	541.628089618	543.417072183	0.0	22050.0	LgLbLg	A	R		Y		
62	Spectrogram 1	1	541.628089618	543.417072183	0.0	22050.0	LgLbLg	A	R		Y		
63	Waveform 1	1	543.967903328	544.387119950	0.0	22050.0	LgLbLg	A	C				
63	Spectrogram 1	1	543.967903328	544.387119950	0.0	22050.0	LgLbLg	A	C				
64	Waveform 1	1	544.908703423	546.293093201	0.0	22050.0	LgLbLg	A	S	S			
64	Spectrogram 1	1	544.908703423	546.293093201	0.0	22050.0	LgLbLg	A	S	S			
65	Waveform 1	1	547.428877773	547.726229099	0.0	22050.0	LgLbLg	A	C				
65	Spectrogram 1	1	547.428877773	547.726229099	0.0	22050.0	LgLbLg	A	C				
66	Waveform 1	1	556.002010914	558.263830834	0.0	22050.0	LgLbLg	A	R		Y	Y	
66	Spectrogram 1	1	556.002010914	558.263830834	0.0	22050.0	LgLbLg	A	R		Y	Y	
67	Waveform 1	1	555.768030113	558.312577523	0.0	22050.0	LgLbLg	A	S	C			
67	Spectrogram 1	1	555.768030113	558.312577523	0.0	22050.0	LgLbLg	A	S	C			
68	Waveform 1	1	562.529116475	563.357800498	0.0	22050.0	LgLbLg	A	C				
68	Spectrogram 1	1	562.529116475	563.357800498	0.0	22050.0	LgLbLg	A	C				
69	Waveform 1	1	568.101311886	570.060376213	0.0	22050.0	LgLbLg	A	S	C			
69	Spectrogram 1	1	568.101311886	570.060376213	0.0	22050.0	LgLbLg	A	S	C			
70	Waveform 1	1	569.563300190	571.376165687	0.0	22050.0	LgLbLg	A	R		Y		
70	Spectrogram 1	1	569.563300190	571.376165687	0.0	22050.0	LgLbLg	A	R		Y		
71	Waveform 1	1	571.156867442	571.851311886	0.0	22050.0	LgLbLg	A	C				
71	Spectrogram 1	1	571.156867442	571.851311886	0.0	22050.0	LgLbLg	A	C				
72	Waveform 1	1	579.744258701	581.421125193	0.0	22050.0	LgLbLg	A	S	S			
72	Spectrogram 1	1	579.744258701	581.421125193	0.0	22050.0	LgLbLg	A	S	S			
73	Waveform 1	1	581.625858893	581.913460995	0.0	22050.0	LgLbLg	A	C				
73	Spectrogram 1	1	581.625858893	581.913460995	0.0	22050.0	LgLbLg	A	C				
74	Waveform 1	1	589.501635068	591.446605214	0.0	22050.0	LgLbLg	A	R		Y	Y	
74	Spectrogram 1	1	589.501635068	591.446605214	0.0	22050.0	LgLbLg	A	R		Y	Y	
75	Waveform 1	1	591.285743021	591.656213525	0.0	22050.0	LgLbLg	A	C				
75	Spectrogram 1	1	591.285743021	591.656213525	0.0	22050.0	LgLbLg	A	C				
76	Waveform 1	1	591.397859095	593.094224034	0.0	22050.0	LgLbLg	A	S	F			
76	Spectrogram 1	1	591.397859095	593.094224034	0.0	22050.0	LgLbLg	A	S	F			
77	Waveform 1	1	593.069850975	593.771795088	0.0	22050.0	LgLbLg	A	C				
77	Spectrogram 1	1	593.069850975	593.771795088	0.0	22050.0	LgLbLg	A	C				
78	Waveform 1	1	602.972469758	605.032005647	0.0	22050.0	LgLbLg	A	S	F			
78	Spectrogram 1	1	602.972469758	605.032005647	0.0	22050.0	LgLbLg	A	S	F			
79	Waveform 1	1	603.373412768	605.401251316	0.0	22050.0	LgLbLg	A	R		Y	Y	
79	Spectrogram 1	1	603.373412768	605.401251316	0.0	22050.0	LgLbLg	A	R		Y	Y	
80	Waveform 1	1	605.888712506	607.370594522	0.0	22050.0	LgLbLg	A	C				
80	Spectrogram 1	1	605.888712506	607.370594522	0.0	22050.0	LgLbLg	A	C				
81	Waveform 1	1	615.534494613	617.496351984	0.0	22050.0	LgLbLg	A	S	S		Y	
81	Spectrogram 1	1	615.534494613	617.496351984	0.0	22050.0	LgLbLg	A	S	S		Y	
82	Waveform 1	1	616.537353123	618.125356764	0.0	22050.0	LgLbLg	A	R		Y	Y	
82	Spectrogram 1	1	616.537353123	618.125356764	0.0	22050.0	LgLbLg	A	R		Y	Y	
83	Waveform 1	1	618.461704985	619.270890560	0.0	22050.0	LgLbLg	A	C				
83	Spectrogram 1	1	618.461704985	619.270890560	0.0	22050.0	LgLbLg	A	C				
84	Waveform 1	1	628.106212564	629.488891759	0.0	22050.0	LgLbLg	A	S	S			
84	Spectrogram 1	1	628.106212564	629.488891759	0.0	22050.0	LgLbLg	A	S	S			
85	Waveform 1	1	629.488891759	630.768131525	0.0	22050.0	LgLbLg	A	R		Y		
85	Spectrogram 1	1	629.488891759	630.768131525	0.0	22050.0	LgLbLg	A	R		Y		
86	Waveform 1	1	639.775007332	641.213017841	0.0	22050.0	LgLbLg	A	S	S			
