Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	144.176479395	146.299491355	0.0	22050.0	LgLg	A	R				Pretrial
1	Spectrogram 1	1	144.176479395	146.299491355	0.0	22050.0	LgLg	A	R				Pretrial
2	Waveform 1	1	146.794543472	147.270555122	0.0	22050.0	LgLg	A	C				
2	Spectrogram 1	1	146.794543472	147.270555122	0.0	22050.0	LgLg	A	C				
3	Waveform 1	1	233.162100239	235.342233597	0.0	22050.0	LgLg	A	R				Pretrial
3	Spectrogram 1	1	233.162100239	235.342233597	0.0	22050.0	LgLg	A	R				Pretrial
4	Waveform 1	1	235.989609442	236.589384121	0.0	22050.0	LgLg	A	C				
4	Spectrogram 1	1	235.989609442	236.589384121	0.0	22050.0	LgLg	A	C				
5	Waveform 1	1	305.478325800	307.143833272	0.0	22050.0	LgLg	A	S	F			
5	Spectrogram 1	1	305.478325800	307.143833272	0.0	22050.0	LgLg	A	S	F			
6	Waveform 1	1	308.486186126	308.847954980	0.0	22050.0	LgLg	A	C				
6	Spectrogram 1	1	308.486186126	308.847954980	0.0	22050.0	LgLg	A	C				
7	Waveform 1	1	317.067337915	318.736829602	0.0	22050.0	LgLg	A	S	F			
7	Spectrogram 1	1	317.067337915	318.736829602	0.0	22050.0	LgLg	A	S	F			
8	Waveform 1	1	319.255179843	319.652357301	0.0	22050.0	LgLg	A	C				
8	Spectrogram 1	1	319.255179843	319.652357301	0.0	22050.0	LgLg	A	C				
9	Waveform 1	1	320.558813138	323.709305515	0.0	22050.0	LgLg	A	R		R		?
9	Spectrogram 1	1	320.558813138	323.709305515	0.0	22050.0	LgLg	A	R		R		?
10	Waveform 1	1	324.045896580	324.463269502	0.0	22050.0	LgLg	A	C				
10	Spectrogram 1	1	324.045896580	324.463269502	0.0	22050.0	LgLg	A	C				
11	Waveform 1	1	328.429056354	330.252635802	0.0	22050.0	LgLg	A	S	F			
11	Spectrogram 1	1	328.429056354	330.252635802	0.0	22050.0	LgLg	A	S	F			
12	Waveform 1	1	330.272831265	332.319304946	0.0	22050.0	LgLg	A	R		Y		
12	Spectrogram 1	1	330.272831265	332.319304946	0.0	22050.0	LgLg	A	R		Y		
13	Waveform 1	1	330.636349617	330.999867968	0.0	22050.0	LgLg	A	C				
13	Spectrogram 1	1	330.636349617	330.999867968	0.0	22050.0	LgLg	A	C				
14	Waveform 1	1	339.899335092	341.696731383	0.0	22050.0	LgLg	A	S	F			
14	Spectrogram 1	1	339.899335092	341.696731383	0.0	22050.0	LgLg	A	S	F			
15	Waveform 1	1	345.688701425	346.065683419	0.0	22050.0	LgLg	A	C				
15	Spectrogram 1	1	345.688701425	346.065683419	0.0	22050.0	LgLg	A	C				
16	Waveform 1	1	351.366238290	353.204509408	0.0	22050.0	LgLg	A	S	F			
16	Spectrogram 1	1	351.366238290	353.204509408	0.0	22050.0	LgLg	A	S	F			
17	Waveform 1	1	353.345877656	354.443164531	0.0	22050.0	LgLg	A	C				
17	Spectrogram 1	1	353.345877656	354.443164531	0.0	22050.0	LgLg	A	C				
18	Waveform 1	1	362.596819295	364.260063059	0.0	22050.0	LgLg	A	S	F			
18	Spectrogram 1	1	362.596819295	364.260063059	0.0	22050.0	LgLg	A	S	F			
19	Waveform 1	1	364.374504021	364.717826909	0.0	22050.0	LgLg	A	C				
19	Spectrogram 1	1	364.374504021	364.717826909	0.0	22050.0	LgLg	A	C				
20	Waveform 1	1	367.437482356	369.140633149	0.0	22050.0	LgLg	A	R		Y		
20	Spectrogram 1	1	367.437482356	369.140633149	0.0	22050.0	LgLg	A	R		Y		
21	Waveform 1	1	369.436833287	370.157138168	0.0	22050.0	LgLg	A	C				
21	Spectrogram 1	1	369.436833287	370.157138168	0.0	22050.0	LgLg	A	C				
22	Waveform 1	1	374.185201809	375.962402637	0.0	22050.0	LgLg	A	S	F			
22	Spectrogram 1	1	374.185201809	375.962402637	0.0	22050.0	LgLg	A	S	F			
