"","Selection","View","Channel","Begin Time (s)","End Time (s)","Low Freq (Hz)","High Freq (Hz)","Bird","Trial Type","Signal Type","Stim Type","Response","Overlapping","Notes","SongNum","SongSel","Duration","SongPath","SongPath2"
"1",1,"Waveform 1",1,10,11.1743310657596,1,1,"YB","Dawn","S","Slow","","","","Song 16","Dawn1",1.17433106575964,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 16-Slow","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 16-Slow-Dawn1-Silent.wav"
"31",1,"Spectrogram 1",1,10,11.1743310657596,1,1,"YB","Dawn","S","Slow","","","","Song 16","Dawn1",1.17433106575964,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 16-Slow","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 16-Slow-Dawn1-Silent.wav"
"2",2,"Waveform 1",1,21.1743310657596,23.2566666666667,1,1,"YB","Dawn","S","Control","","","","Song 6","Dawn1",2.08233560090703,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 6-Control","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 6-Control-Dawn1-Silent.wav"
"32",2,"Spectrogram 1",1,21.1743310657596,23.2566666666667,1,1,"YB","Dawn","S","Control","","","","Song 6","Dawn1",2.08233560090703,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 6-Control","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 6-Control-Dawn1-Silent.wav"
"3",3,"Waveform 1",1,33.2566666666667,35.2292743764172,1,1,"YB","Dawn","S","Fast","","","","Song 18","Dawn1",1.97260770975057,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 18-Fast","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 18-Fast-Dawn1-Silent.wav"
"33",3,"Spectrogram 1",1,33.2566666666667,35.2292743764172,1,1,"YB","Dawn","S","Fast","","","","Song 18","Dawn1",1.97260770975057,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 18-Fast","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 18-Fast-Dawn1-Silent.wav"
"4",4,"Waveform 1",1,45.2292743764172,46.4036054421769,1,1,"YB","Dawn","S","Slow","","","","Song 16","Dawn1",1.17433106575964,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 16-Slow","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 16-Slow-Dawn1-Silent.wav"
"34",4,"Spectrogram 1",1,45.2292743764172,46.4036054421769,1,1,"YB","Dawn","S","Slow","","","","Song 16","Dawn1",1.17433106575964,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 16-Slow","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 16-Slow-Dawn1-Silent.wav"
"5",5,"Waveform 1",1,56.4036054421769,58.3762131519274,1,1,"YB","Dawn","S","Fast","","","","Song 18","Dawn1",1.97260770975057,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 18-Fast","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 18-Fast-Dawn1-Silent.wav"
"35",5,"Spectrogram 1",1,56.4036054421769,58.3762131519274,1,1,"YB","Dawn","S","Fast","","","","Song 18","Dawn1",1.97260770975057,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 18-Fast","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 18-Fast-Dawn1-Silent.wav"
"6",6,"Waveform 1",1,68.3762131519274,70.4585487528345,1,1,"YB","Dawn","S","Control","","","","Song 6","Dawn1",2.08233560090703,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 6-Control","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 6-Control-Dawn1-Silent.wav"
"36",6,"Spectrogram 1",1,68.3762131519274,70.4585487528345,1,1,"YB","Dawn","S","Control","","","","Song 6","Dawn1",2.08233560090703,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 6-Control","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 6-Control-Dawn1-Silent.wav"
"7",7,"Waveform 1",1,80.4585487528345,82.431156462585,1,1,"YB","Dawn","S","Fast","","","","Song 18","Dawn1",1.97260770975057,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 18-Fast","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 18-Fast-Dawn1-Silent.wav"
"37",7,"Spectrogram 1",1,80.4585487528345,82.431156462585,1,1,"YB","Dawn","S","Fast","","","","Song 18","Dawn1",1.97260770975057,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 18-Fast","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 18-Fast-Dawn1-Silent.wav"
"8",8,"Waveform 1",1,92.431156462585,94.5134920634921,1,1,"YB","Dawn","S","Control","","","","Song 6","Dawn1",2.08233560090703,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 6-Control","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 6-Control-Dawn1-Silent.wav"
"38",8,"Spectrogram 1",1,92.431156462585,94.5134920634921,1,1,"YB","Dawn","S","Control","","","","Song 6","Dawn1",2.08233560090703,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 6-Control","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 6-Control-Dawn1-Silent.wav"
"9",9,"Waveform 1",1,104.513492063492,105.687823129252,1,1,"YB","Dawn","S","Slow","","","","Song 16","Dawn1",1.17433106575964,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 16-Slow","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 16-Slow-Dawn1-Silent.wav"
"39",9,"Spectrogram 1",1,104.513492063492,105.687823129252,1,1,"YB","Dawn","S","Slow","","","","Song 16","Dawn1",1.17433106575964,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 16-Slow","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 16-Slow-Dawn1-Silent.wav"
