"","Selection","View","Channel","Begin Time (s)","End Time (s)","Low Freq (Hz)","High Freq (Hz)","Bird","Trial Type","Signal Type","Stim Type","Response","Overlapping","Notes","SongNum","SongSel","Duration","SongPath","SongPath2"
"1",1,"Waveform 1",1,10,11.9726077097506,1,1,"YB","Dawn","S","Control","","","","Song 4","Dawn1",1.97260770975057,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 4-Control","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 4-Control-Dawn1-Silent.wav"
"31",1,"Spectrogram 1",1,10,11.9726077097506,1,1,"YB","Dawn","S","Control","","","","Song 4","Dawn1",1.97260770975057,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 4-Control","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 4-Control-Dawn1-Silent.wav"
"2",2,"Waveform 1",1,21.9726077097506,23.5971882086168,1,1,"YB","Dawn","S","Slow","","","","Song 8","Dawn1",1.62458049886621,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 8-Slow","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 8-Slow-Dawn1-Silent.wav"
"32",2,"Spectrogram 1",1,21.9726077097506,23.5971882086168,1,1,"YB","Dawn","S","Slow","","","","Song 8","Dawn1",1.62458049886621,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 8-Slow","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 8-Slow-Dawn1-Silent.wav"
"3",3,"Waveform 1",1,33.5971882086168,35.3118820861678,1,1,"YB","Dawn","S","Fast","","","","Song 13","Dawn1",1.71469387755102,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 13-Fast","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 13-Fast-Dawn1-Silent.wav"
"33",3,"Spectrogram 1",1,33.5971882086168,35.3118820861678,1,1,"YB","Dawn","S","Fast","","","","Song 13","Dawn1",1.71469387755102,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 13-Fast","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 13-Fast-Dawn1-Silent.wav"
"4",4,"Waveform 1",1,45.3118820861678,47.0265759637188,1,1,"YB","Dawn","S","Fast","","","","Song 13","Dawn1",1.71469387755102,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 13-Fast","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 13-Fast-Dawn1-Silent.wav"
"34",4,"Spectrogram 1",1,45.3118820861678,47.0265759637188,1,1,"YB","Dawn","S","Fast","","","","Song 13","Dawn1",1.71469387755102,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 13-Fast","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 13-Fast-Dawn1-Silent.wav"
"5",5,"Waveform 1",1,57.0265759637188,58.9991836734694,1,1,"YB","Dawn","S","Control","","","","Song 4","Dawn1",1.97260770975057,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 4-Control","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 4-Control-Dawn1-Silent.wav"
"35",5,"Spectrogram 1",1,57.0265759637188,58.9991836734694,1,1,"YB","Dawn","S","Control","","","","Song 4","Dawn1",1.97260770975057,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 4-Control","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 4-Control-Dawn1-Silent.wav"
"6",6,"Waveform 1",1,68.9991836734694,70.6237641723356,1,1,"YB","Dawn","S","Slow","","","","Song 8","Dawn1",1.62458049886621,"C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 8-Slow","C:/Users/Alan Nielsen/Documents/GitHub/Song Matching Experiment/Simulated/For Loop/Stimuli/Dawn/Song 8-Slow-Dawn1-Silent.wav"
