Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	2.339181287	23.625730994	0.0	22050.0	DDLb	dawn	c				
1	Spectrogram 1	1	2.339181287	23.625730994	0.0	22050.0	DDLb	dawn	c				
2	Waveform 1	1	23.742690058	28.362573099	0.0	22050.0	DDLb	dawn	pre trial sing				
2	Spectrogram 1	1	23.742690058	28.362573099	0.0	22050.0	DDLb	dawn	pre trial sing				
3	Waveform 1	1	33.567256977	36.257315456	0.0	22050.0	DDLb 	dawn	pre trial sing				
3	Spectrogram 1	1	33.567256977	36.257315456	0.0	22050.0	DDLb 	dawn	pre trial sing				
4	Waveform 1	1	36.549707602	40.701754386	0.0	22050.0	DDLb	dawn	c				
4	Spectrogram 1	1	36.549707602	40.701754386	0.0	22050.0	DDLb	dawn	c				
5	Waveform 1	1	40.818718965	43.040941187	0.0	22050.0	DDLb	dawn	pre trial sing				
5	Spectrogram 1	1	40.818718965	43.040941187	0.0	22050.0	DDLb	dawn	pre trial sing				
6	Waveform 1	1	43.216374269	44.093567251	0.0	22050.0	DDLb	dawn	c				
6	Spectrogram 1	1	43.216374269	44.093567251	0.0	22050.0	DDLb	dawn	c				
7	Waveform 1	1	47.081324330	50.180739535	0.0	22050.0	DDLb	dawn	pre trial sing				
7	Spectrogram 1	1	47.081324330	50.180739535	0.0	22050.0	DDLb	dawn	pre trial sing				
8	Waveform 1	1	56.204131347	60.648575792	0.0	22050.0	DDLb	dawn	pre trial sing				
8	Spectrogram 1	1	56.204131347	60.648575792	0.0	22050.0	DDLb	dawn	pre trial sing				
9	Waveform 1	1	60.865589588	62.970852745	0.0	22050.0	DDLb	dawn	c				
9	Spectrogram 1	1	60.865589588	62.970852745	0.0	22050.0	DDLb	dawn	c				
10	Waveform 1	1	65.094249191	68.193664395	0.0	22050.0	DDLb	dawn	pre trial sing				
10	Spectrogram 1	1	65.094249191	68.193664395	0.0	22050.0	DDLb	dawn	pre trial sing				
