Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	0.000000000	3.625730994	0.0	22050.0
1	Spectrogram 1	1	0.000000000	3.625730994	0.0	22050.0
2	Waveform 1	1	11.345029240	15.555555556	0.0	22050.0
2	Spectrogram 1	1	11.345029240	15.555555556	0.0	22050.0
3	Waveform 1	1	23.508771930	27.836257310	0.0	22050.0
3	Spectrogram 1	1	23.508771930	27.836257310	0.0	22050.0
4	Waveform 1	1	37.426900585	41.111111111	0.0	22050.0
4	Spectrogram 1	1	37.426900585	41.111111111	0.0	22050.0
5	Waveform 1	1	49.415204678	52.982456140	0.0	22050.0
5	Spectrogram 1	1	49.415204678	52.982456140	0.0	22050.0
6	Waveform 1	1	61.564380608	65.774906924	0.0	22050.0
6	Spectrogram 1	1	61.564380608	65.774906924	0.0	22050.0
7	Waveform 1	1	73.728123298	79.342158386	0.0	22050.0
7	Spectrogram 1	1	73.728123298	79.342158386	0.0	22050.0
8	Waveform 1	1	87.236895228	91.681339673	0.0	22050.0
8	Spectrogram 1	1	87.236895228	91.681339673	0.0	22050.0
9	Waveform 1	1	100.219351368	103.318766573	0.0	22050.0
9	Spectrogram 1	1	100.219351368	103.318766573	0.0	22050.0
10	Waveform 1	1	111.681339673	116.827538503	0.0	22050.0
10	Spectrogram 1	1	111.681339673	116.827538503	0.0	22050.0
11	Waveform 1	1	123.228650679	128.199410913	0.0	22050.0
11	Spectrogram 1	1	123.228650679	128.199410913	0.0	22050.0
12	Waveform 1	1	136.211106819	140.304674071	0.0	22050.0
12	Spectrogram 1	1	136.211106819	140.304674071	0.0	22050.0
13	Waveform 1	1	148.433329042	152.936253018	0.0	22050.0
13	Spectrogram 1	1	148.433329042	152.936253018	0.0	22050.0
14	Waveform 1	1	160.655551264	165.392393369	0.0	22050.0
14	Spectrogram 1	1	160.655551264	165.392393369	0.0	22050.0
15	Waveform 1	1	172.891802047	178.739755263	0.0	22050.0
15	Spectrogram 1	1	172.891802047	178.739755263	0.0	22050.0
16	Waveform 1	1	184.704667544	191.137416082	0.0	22050.0
16	Spectrogram 1	1	184.704667544	191.137416082	0.0	22050.0
17	Waveform 1	1	199.090632456	203.593556433	0.0	22050.0
17	Spectrogram 1	1	199.090632456	203.593556433	0.0	22050.0
18	Waveform 1	1	210.927575509	215.255060889	0.0	22050.0
18	Spectrogram 1	1	210.927575509	215.255060889	0.0	22050.0
19	Waveform 1	1	223.500674924	227.535762644	0.0	22050.0
19	Spectrogram 1	1	223.500674924	227.535762644	0.0	22050.0
20	Waveform 1	1	235.255060889	240.576698316	0.0	22050.0
20	Spectrogram 1	1	235.255060889	240.576698316	0.0	22050.0
21	Waveform 1	1	248.699471694	254.138068185	0.0	22050.0
21	Spectrogram 1	1	248.699471694	254.138068185	0.0	22050.0
22	Waveform 1	1	261.740407366	265.658536021	0.0	22050.0
22	Spectrogram 1	1	261.740407366	265.658536021	0.0	22050.0
23	Waveform 1	1	272.851518477	278.231635437	0.0	22050.0
23	Spectrogram 1	1	272.851518477	278.231635437	0.0	22050.0
24	Waveform 1	1	285.929346315	290.783147484	0.0	22050.0
24	Spectrogram 1	1	285.929346315	290.783147484	0.0	22050.0
25	Waveform 1	1	299.262679648	303.239287835	0.0	22050.0
25	Spectrogram 1	1	299.262679648	303.239287835	0.0	22050.0
26	Waveform 1	1	310.841627017	315.753907718	0.0	22050.0
26	Spectrogram 1	1	310.841627017	315.753907718	0.0	22050.0
27	Waveform 1	1	323.109313674	326.852003732	0.0	22050.0
27	Spectrogram 1	1	323.109313674	326.852003732	0.0	22050.0
28	Waveform 1	1	335.682413089	340.360775662	0.0	22050.0
28	Spectrogram 1	1	335.682413089	340.360775662	0.0	22050.0
29	Waveform 1	1	348.283832399	353.196113101	0.0	22050.0
29	Spectrogram 1	1	348.283832399	353.196113101	0.0	22050.0
30	Waveform 1	1	360.915411346	364.568095238	0.0	22050.0
30	Spectrogram 1	1	360.915411346	364.568095238	0.0	22050.0
