Selection	View	Channel	Begin Time (s)\	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	305.389	307.5033357	0	22050
1	Spectrogram 1	1	305.389	307.5033357	0	22050
2	Waveform 1	1	316.7789709	318.8345954	0	22050
2	Spectrogram 1	1	316.7789709	318.8345954	0	22050
3	Waveform 1	1	327.9928082	330.4006999	0	22050
3	Spectrogram 1	1	327.9928082	330.4006999	0	22050
4	Waveform 1	1	339.6176239	342.0255155	0	22050
4	Spectrogram 1	1	339.6176239	342.0255155	0	22050
5	Waveform 1	1	350.8901724	353.7090424	0	22050
5	Spectrogram 1	1	350.8901724	353.7090424	0	22050
6	Waveform 1	1	362.2496268	365.7730311	0	22050
6	Spectrogram 1	1	362.2496268	365.7730311	0	22050
7	Waveform 1	1	374.6376879	377.5739803	0	22050
7	Spectrogram 1	1	374.6376879	377.5739803	0	22050
8	Waveform 1	1	386.6147707	389.6097743	0	22050
8	Spectrogram 1	1	386.6147707	389.6097743	0	22050
9	Waveform 1	1	398.1808752	400.941034	0	22050
9	Spectrogram 1	1	398.1808752	400.941034	0	22050
10	Waveform 1	1	409.6295573	412.4484273	0	22050
10	Spectrogram 1	1	409.6295573	412.4484273	0	22050
11	Waveform 1	1	421.6198536	424.2038788	0	22050
11	Spectrogram 1	1	421.6198536	424.2038788	0	22050
12	Waveform 1	1	433.5969364	436.1222504	0	22050
12	Spectrogram 1	1	433.5969364	436.1222504	0	22050
13	Waveform 1	1	445.221752	447.8057773	0	22050
13	Spectrogram 1	1	445.221752	447.8057773	0	22050
14	Waveform 1	1	457.1401236	459.78286	0	22050
14	Spectrogram 1	1	457.1401236	459.78286	0	22050
15	Waveform 1	1	468.4713833	471.4076757	0	22050
15	Spectrogram 1	1	468.4713833	471.4076757	0	22050
16	Waveform 1	1	480.4506575	483.2108163	0	22050
16	Spectrogram 1	1	480.4506575	483.2108163	0	22050
17	Waveform 1	1	492.3103179	494.7182095	0	22050
17	Spectrogram 1	1	492.3103179	494.7182095	0	22050
18	Waveform 1	1	503.6415776	506.4017364	0	22050
18	Spectrogram 1	1	503.6415776	506.4017364	0	22050
19	Waveform 1	1	515.3251044	518.2613968	0	22050
19	Spectrogram 1	1	515.3251044	518.2613968	0	22050
20	Waveform 1	1	527.3608984	530.2971908	0	22050
20	Spectrogram 1	1	527.3608984	530.2971908	0	22050
21	Waveform 1	1	539.3874923	541.6779616	0	22050
21	Spectrogram 1	1	539.3874923	541.6779616	0	22050
22	Waveform 1	1	550.8948856	553.7724668	0	22050
22	Spectrogram 1	1	550.8948856	553.7724668	0	22050
23	Waveform 1	1	562.8719684	566.0431055	0	22050
23	Spectrogram 1	1	562.8719684	566.0431055	0	22050
24	Waveform 1	1	574.5554952	576.8459645	0	22050
24	Spectrogram 1	1	574.5554952	576.8459645	0	22050
25	Waveform 1	1	586.1215997	588.4707802	0	22050
25	Spectrogram 1	1	586.1215997	588.4707802	0	22050
26	Waveform 1	1	597.2244767	600.0433467	0	22050
26	Spectrogram 1	1	597.2244767	600.0433467	0	22050
27	Waveform 1	1	609.0254259	611.6094512	0	22050
27	Spectrogram 1	1	609.0254259	611.6094512	0	22050
28	Waveform 1	1	621.0025087	623.7039563	0	22050
28	Spectrogram 1	1	621.0025087	623.7039563	0	22050
29	Waveform 1	1	632.3924796	635.2700608	0	22050
29	Spectrogram 1	1	632.3924796	635.2700608	0	22050
30	Waveform 1	1	644.2460912	646.4977823	0	22050
30	Spectrogram 1	1	644.2460912	646.4977823	0	22050
