Selection	View	Channel	begin time (s)	end time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	301	304.625731	0	22050
1	Spectrogram 1	1	301	304.625731	0	22050
2	Waveform 1	1	311.2923977	317.4327485	0	22050
2	Spectrogram 1	1	311.2923977	317.4327485	0	22050
3	Waveform 1	1	324.5087719	329.4795322	0	22050
3	Spectrogram 1	1	324.5087719	329.4795322	0	22050
4	Waveform 1	1	337.374269	341.5263158	0	22050
4	Spectrogram 1	1	337.374269	341.5263158	0	22050
5	Waveform 1	1	349.8888889	352.6959064	0	22050
5	Spectrogram 1	1	349.8888889	352.6959064	0	22050
6	Waveform 1	1	361.0564233	366.2026222	0	22050
6	Spectrogram 1	1	361.0564233	366.2026222	0	22050
7	Waveform 1	1	374.1558385	378.7757216	0	22050
7	Spectrogram 1	1	374.1558385	378.7757216	0	22050
8	Waveform 1	1	387.6061309	390.8809847	0	22050
8	Spectrogram 1	1	387.6061309	390.8809847	0	22050
9	Waveform 1	1	399.7113941	403.6295227	0	22050
9	Spectrogram 1	1	399.7113941	403.6295227	0	22050
10	Waveform 1	1	411.6412187	415.6178268	0	22050
10	Spectrogram 1	1	411.6412187	415.6178268	0	22050
11	Waveform 1	1	423.8568667	427.1902	0	22050
11	Spectrogram 1	1	423.8568667	427.1902	0	22050
12	Waveform 1	1	436.1375684	439.1785041	0	22050
12	Spectrogram 1	1	436.1375684	439.1785041	0	22050
13	Waveform 1	1	448.3597907	451.3422468	0	22050
13	Spectrogram 1	1	448.3597907	451.3422468	0	22050
14	Waveform 1	1	460.2896152	464.7925392	0	22050
14	Spectrogram 1	1	460.2896152	464.7925392	0	22050
15	Waveform 1	1	472.4533579	476.4299661	0	22050
15	Spectrogram 1	1	472.4533579	476.4299661	0	22050
16	Waveform 1	1	484.8095385	487.7919946	0	22050
16	Spectrogram 1	1	484.8095385	487.7919946	0	22050
17	Waveform 1	1	497.0902402	500.0142168	0	22050
17	Spectrogram 1	1	497.0902402	500.0142168	0	22050
18	Waveform 1	1	508.3767899	511.5346847	0	22050
18	Spectrogram 1	1	508.3767899	511.5346847	0	22050
19	Waveform 1	1	520.0726964	524.3417022	0	22050
19	Spectrogram 1	1	520.0726964	524.3417022	0	22050
20	Waveform 1	1	533.8153864	537.616556	0	22050
20	Spectrogram 1	1	533.8153864	537.616556	0	22050
21	Waveform 1	1	546.5056665	550.6577133	0	22050
21	Spectrogram 1	1	546.5056665	550.6577133	0	22050
22	Waveform 1	1	560.0144384	563.5232103	0	22050
22	Spectrogram 1	1	560.0144384	563.5232103	0	22050
23	Waveform 1	1	571.4764267	575.5115144	0	22050
23	Spectrogram 1	1	571.4764267	575.5115144	0	22050
24	Waveform 1	1	584.1664852	586.6811051	0	22050
24	Spectrogram 1	1	584.1664852	586.6811051	0	22050
25	Waveform 1	1	596.2242592	600.2008674	0	22050
25	Spectrogram 1	1	596.2242592	600.2008674	0	22050
26	Waveform 1	1	608.8558382	612.5985282	0	22050
26	Spectrogram 1	1	608.8558382	612.5985282	0	22050
27	Waveform 1	1	620.9026218	624.7037914	0	22050
27	Spectrogram 1	1	620.9026218	624.7037914	0	22050
28	Waveform 1	1	633.788684	637.8822513	0	22050
28	Spectrogram 1	1	633.788684	637.8822513	0	22050
29	Waveform 1	1	646.2448244	650.0459939	0	22050
29	Spectrogram 1	1	646.2448244	650.0459939	0	22050
30	Waveform 1	1	658.1161694	661.3231973	0	22050
30	Spectrogram 1	1	658.1161694	661.3231973	0	22050
