Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	302.000000000	305.391812900	0.0	22050.0	Lgwv	dawn	stim	c			
1	Spectrogram 1	1	302.000000000	305.391812900	0.0	22050.0	Lgwv	dawn	stim	c			
2	Waveform 1	1	313.637426900	316.853801200	0.0	22050.0	Lgwv	dawn	stim	c			
2	Spectrogram 1	1	313.637426900	316.853801200	0.0	22050.0	Lgwv	dawn	stim	c			
3	Waveform 1	1	325.625731000	328.198830400	0.0	22050.0	Lgwv	dawn	stim	f			
3	Spectrogram 1	1	325.625731000	328.198830400	0.0	22050.0	Lgwv	dawn	stim	f			
4	Waveform 1	1	337.730994200	340.479532200	0.0	22050.0	Lgwv	dawn	stim	f			
4	Spectrogram 1	1	337.730994200	340.479532200	0.0	22050.0	Lgwv	dawn	stim	f			
5	Waveform 1	1	349.719298200	352.584795300	0.0	22050.0	Lgwv	dawn	stim	c			
5	Spectrogram 1	1	349.719298200	352.584795300	0.0	22050.0	Lgwv	dawn	stim	c			
6	Waveform 1	1	361.873748000	364.856204100	0.0	22050.0	Lgwv	dawn	stim	s			
6	Spectrogram 1	1	361.873748000	364.856204100	0.0	22050.0	Lgwv	dawn	stim	s			
7	Waveform 1	1	373.160297700	376.318192400	0.0	22050.0	Lgwv	dawn	stim	s			
7	Spectrogram 1	1	373.160297700	376.318192400	0.0	22050.0	Lgwv	dawn	stim	s			
8	Waveform 1	1	385.908835700	388.481935100	0.0	22050.0	Lgwv	dawn	stim	f			
8	Spectrogram 1	1	385.908835700	388.481935100	0.0	22050.0	Lgwv	dawn	stim	f			
9	Waveform 1	1	397.721701200	400.060882500	0.0	22050.0	Lgwv	dawn	stim	f			
9	Spectrogram 1	1	397.721701200	400.060882500	0.0	22050.0	Lgwv	dawn	stim	f			
10	Waveform 1	1	409.300648600	412.107666100	0.0	22050.0	Lgwv	dawn	stim	s			
10	Spectrogram 1	1	409.300648600	412.107666100	0.0	22050.0	Lgwv	dawn	stim	s			
11	Waveform 1	1	434.038998400	436.495138700	0.0	22050.0	Lgwv	dawn	stim	f			
11	Spectrogram 1	1	434.038998400	436.495138700	0.0	22050.0	Lgwv	dawn	stim	f			
12	Waveform 1	1	445.910343400	448.424963300	0.0	22050.0	Lgwv	dawn	stim	c			
12	Spectrogram 1	1	445.910343400	448.424963300	0.0	22050.0	Lgwv	dawn	stim	c			
13	Waveform 1	1	457.840168000	460.822624100	0.0	22050.0	Lgwv	dawn	stim	s			
13	Spectrogram 1	1	457.840168000	460.822624100	0.0	22050.0	Lgwv	dawn	stim	s			
14	Waveform 1	1	469.711513000	472.752448700	0.0	22050.0	Lgwv	dawn	stim	f			
14	Spectrogram 1	1	469.711513000	472.752448700	0.0	22050.0	Lgwv	dawn	stim	f			
15	Waveform 1	1	481.497768600	484.480224700	0.0	22050.0	Lgwv	dawn	stim	c			
15	Spectrogram 1	1	481.497768600	484.480224700	0.0	22050.0	Lgwv	dawn	stim	c			
16	Waveform 1	1	506.410049300	509.567944000	0.0	22050.0	Lgwv	dawn	stim	s			
16	Spectrogram 1	1	506.410049300	509.567944000	0.0	22050.0	Lgwv	dawn	stim	s			
17	Waveform 1	1	518.807710100	522.550400200	0.0	22050.0	Lgwv	dawn	stim	s			
17	Spectrogram 1	1	518.807710100	522.550400200	0.0	22050.0	Lgwv	dawn	stim	s			
18	Waveform 1	1	531.555610600	534.479587200	0.0	22050.0	Lgwv	dawn	stim	c			
18	Spectrogram 1	1	531.555610600	534.479587200	0.0	22050.0	Lgwv	dawn	stim	c			
19	Waveform 1	1	543.426955600	546.818768500	0.0	22050.0	Lgwv	dawn	stim	s			
19	Spectrogram 1	1	543.426955600	546.818768500	0.0	22050.0	Lgwv	dawn	stim	s			
20	Waveform 1	1	556.467891300	559.157949700	0.0	22050.0	Lgwv	dawn	stim	s			
20	Spectrogram 1	1	556.467891300	559.157949700	0.0	22050.0	Lgwv	dawn	stim	s			
21	Waveform 1	1	580.619938000	583.953271400	0.0	22050.0	Lgwv	dawn	stim	c			
21	Spectrogram 1	1	580.619938000	583.953271400	0.0	22050.0	Lgwv	dawn	stim	c			
22	Waveform 1	1	593.068930700	596.109866400	0.0	22050.0	Lgwv	dawn	stim	s			
22	Spectrogram 1	1	593.068930700	596.109866400	0.0	22050.0	Lgwv	dawn	stim	s			
23	Waveform 1	1	604.764837100	607.688813700	0.0	22050.0	Lgwv	dawn	stim	f			
23	Spectrogram 1	1	604.764837100	607.688813700	0.0	22050.0	Lgwv	dawn	stim	f			
24	Waveform 1	1	616.811620800	619.735597400	0.0	22050.0	Lgwv	dawn	stim	f			
24	Spectrogram 1	1	616.811620800	619.735597400	0.0	22050.0	Lgwv	dawn	stim	f			
25	Waveform 1	1	628.916883900	632.308696800	0.0	22050.0	Lgwv	dawn	stim	c			
25	Spectrogram 1	1	628.916883900	632.308696800	0.0	22050.0	Lgwv	dawn	stim	c			
26	Waveform 1	1	641.373024300	645.291152900	0.0	22050.0	Lgwv	dawn	stim	c			
26	Spectrogram 1	1	641.373024300	645.291152900	0.0	22050.0	Lgwv	dawn	stim	c			
27	Waveform 1	1	654.218563900	656.895328800	0.0	22050.0	Lgwv	dawn	stim	c			
27	Spectrogram 1	1	654.218563900	656.895328800	0.0	22050.0	Lgwv	dawn	stim	c			
29	Waveform 1	1	2.919103314	3.723196881	0.0	22050.0	Lgwv	dawn	c				
29	Spectrogram 1	1	2.919103314	3.723196881	0.0	22050.0	Lgwv	dawn	c				
30	Waveform 1	1	10.989444856	13.148314252	0.0	22050.0	Lgwv	dawn	c				
30	Spectrogram 1	1	10.989444856	13.148314252	0.0	22050.0	Lgwv	dawn	c				
31	Waveform 1	1	14.230185597	14.556696318	0.0	22050.0	Lgwv	dawn	c				
31	Spectrogram 1	1	14.230185597	14.556696318	0.0	22050.0	Lgwv	dawn	c				
32	Waveform 1	1	20.633355903	21.569028418	0.0	22050.0	Lgwv	dawn	c				
32	Spectrogram 1	1	20.633355903	21.569028418	0.0	22050.0	Lgwv	dawn	c				
33	Waveform 1	1	27.566708852	28.214857000	0.0	22050.0	Lgwv	dawn	c				
33	Spectrogram 1	1	27.566708852	28.214857000	0.0	22050.0	Lgwv	dawn	c				
34	Waveform 1	1	30.038979197	31.768998690	0.0	22050.0	Lgwv	dawn	c				
34	Spectrogram 1	1	30.038979197	31.768998690	0.0	22050.0	Lgwv	dawn	c				
35	Waveform 1	1	33.560018763	33.754950537	0.0	22050.0	Lgwv	dawn	c				
35	Spectrogram 1	1	33.560018763	33.754950537	0.0	22050.0	Lgwv	dawn	c				
36	Waveform 1	1	34.714989523	36.211090888	0.0	22050.0	Lgwv	dawn	c				
36	Spectrogram 1	1	34.714989523	36.211090888	0.0	22050.0	Lgwv	dawn	c				
37	Waveform 1	1	39.346633833	40.009401865	0.0	22050.0	Lgwv	dawn	c				
37	Spectrogram 1	1	39.346633833	40.009401865	0.0	22050.0	Lgwv	dawn	c				
38	Waveform 1	1	55.861046875	56.767479624	0.0	22050.0	Lgwv	dawn	c				
38	Spectrogram 1	1	55.861046875	56.767479624	0.0	22050.0	Lgwv	dawn	c				
39	Waveform 1	1	75.787771502	76.240987876	0.0	22050.0	Lgwv	dawn	c				
39	Spectrogram 1	1	75.787771502	76.240987876	0.0	22050.0	Lgwv	dawn	c				
40	Waveform 1	1	80.898517759	81.770837447	0.0	22050.0	Lgwv	dawn	c				
40	Spectrogram 1	1	80.898517759	81.770837447	0.0	22050.0	Lgwv	dawn	c				
41	Waveform 1	1	98.661503292	99.075733311	0.0	22050.0	Lgwv	dawn	c				
41	Spectrogram 1	1	98.661503292	99.075733311	0.0	22050.0	Lgwv	dawn	c				
42	Waveform 1	1	114.355690974	114.955106178	0.0	22050.0	Lgwv	dawn	c				
42	Spectrogram 1	1	114.355690974	114.955106178	0.0	22050.0	Lgwv	dawn	c				
43	Waveform 1	1	125.008712416	125.846919044	0.0	22050.0	Lgwv	dawn	c				
43	Spectrogram 1	1	125.008712416	125.846919044	0.0	22050.0	Lgwv	dawn	c				
44	Waveform 1	1	134.924624844	138.121505936	0.0	22050.0	Lgwv	dawn	c				
44	Spectrogram 1	1	134.924624844	138.121505936	0.0	22050.0	Lgwv	dawn	c				
45	Waveform 1	1	147.293924974	152.108739789	0.0	22050.0	Lgwv	dawn	c				
45	Spectrogram 1	1	147.293924974	152.108739789	0.0	22050.0	Lgwv	dawn	c				
46	Waveform 1	1	159.688032422	161.325459322	0.0	22050.0	Lgwv	dawn	c				
46	Spectrogram 1	1	159.688032422	161.325459322	0.0	22050.0	Lgwv	dawn	c				
47	Waveform 1	1	171.751650847	172.492391587	0.0	22050.0	Lgwv	dawn	c				
47	Spectrogram 1	1	171.751650847	172.492391587	0.0	22050.0	Lgwv	dawn	c				
48	Waveform 1	1	199.323851346	205.269270449	0.0	22050.0	Lgwv	dawn	c				
48	Spectrogram 1	1	199.323851346	205.269270449	0.0	22050.0	Lgwv	dawn	c				
49	Waveform 1	1	216.326333168	228.139198665	0.0	22050.0	Lgwv	dawn	c				
49	Spectrogram 1	1	216.326333168	228.139198665	0.0	22050.0	Lgwv	dawn	c				
50	Waveform 1	1	229.306116323	234.549781040	0.0	22050.0	Lgwv	dawn	c				
50	Spectrogram 1	1	229.306116323	234.549781040	0.0	22050.0	Lgwv	dawn	c				
51	Waveform 1	1	238.233991566	239.559527629	0.0	22050.0	Lgwv	dawn	c				
51	Spectrogram 1	1	238.233991566	239.559527629	0.0	22050.0	Lgwv	dawn	c				
52	Waveform 1	1	243.326142005	246.737448048	0.0	22050.0	Lgwv	dawn	c				
52	Spectrogram 1	1	243.326142005	246.737448048	0.0	22050.0	Lgwv	dawn	c				
53	Waveform 1	1	255.271906373	260.554557445	0.0	22050.0	Lgwv	dawn	c				
53	Spectrogram 1	1	255.271906373	260.554557445	0.0	22050.0	Lgwv	dawn	c				
54	Waveform 1	1	262.682835320	268.862172552	0.0	22050.0	Lgwv	dawn	c				
54	Spectrogram 1	1	262.682835320	268.862172552	0.0	22050.0	Lgwv	dawn	c				
