Selection	View	Channel	begin time (s)	end time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	301.8	303.4374269	0	22050
1	Spectrogram 1	1	301.8	303.4374269	0	22050
2	Waveform 1	1	313.0280702	315.9812866	0	22050
2	Spectrogram 1	1	313.0280702	315.9812866	0	22050
3	Waveform 1	1	325.1918129	329.0222222	0	22050
3	Spectrogram 1	1	325.1918129	329.0222222	0	22050
4	Waveform 1	1	337.8747011	340.6232391	0	22050
4	Spectrogram 1	1	337.8747011	340.6232391	0	22050
5	Waveform 1	1	348.7811338	352.9331806	0	22050
5	Spectrogram 1	1	348.7811338	352.9331806	0	22050
6	Waveform 1	1	360.5355198	363.7518941	0	22050
6	Spectrogram 1	1	360.5355198	363.7518941	0	22050
7	Waveform 1	1	372.4933266	376.6453734	0	22050
7	Spectrogram 1	1	372.4933266	376.6453734	0	22050
8	Waveform 1	1	385.943619	389.686309	0	22050
8	Spectrogram 1	1	385.943619	389.686309	0	22050
9	Waveform 1	1	398.7484394	402.9297259	0	22050
9	Spectrogram 1	1	398.7484394	402.9297259	0	22050
10	Waveform 1	1	411.2630593	413.8653985	0	22050
10	Spectrogram 1	1	411.2630593	413.8653985	0	22050
11	Waveform 1	1	422.3859815	426.0409522	0	22050
11	Spectrogram 1	1	422.3859815	426.0409522	0	22050
12	Waveform 1	1	434.3450458	437.0351043	0	22050
12	Spectrogram 1	1	434.3450458	437.0351043	0	22050
13	Waveform 1	1	445.5146364	447.8830575	0	22050
13	Spectrogram 1	1	445.5146364	447.8830575	0	22050
14	Waveform 1	1	456.3532451	459.8327773	0	22050
14	Spectrogram 1	1	456.3532451	459.8327773	0	22050
15	Waveform 1	1	467.7275141	471.9672802	0	22050
15	Spectrogram 1	1	467.7275141	471.9672802	0	22050
16	Waveform 1	1	480.4657708	483.9160632	0	22050
16	Spectrogram 1	1	480.4657708	483.9160632	0	22050
17	Waveform 1	1	492.4540749	496.1090457	0	22050
17	Spectrogram 1	1	492.4540749	496.1090457	0	22050
18	Waveform 1	1	504.3079856	507.6413189	0	22050
18	Spectrogram 1	1	504.3079856	507.6413189	0	22050
19	Waveform 1	1	517.3489212	519.6588628	0	22050
19	Spectrogram 1	1	517.3489212	519.6588628	0	22050
20	Waveform 1	1	528.183485	531.809216	0	22050
20	Spectrogram 1	1	528.183485	531.809216	0	22050
21	Waveform 1	1	540.3472277	544.0021984	0	22050
21	Spectrogram 1	1	540.3472277	544.0021984	0	22050
22	Waveform 1	1	552.4524908	556.6630172	0	22050
22	Spectrogram 1	1	552.4524908	556.6630172	0	22050
23	Waveform 1	1	565.7018204	569.50299	0	22050
23	Spectrogram 1	1	565.7018204	569.50299	0	22050
24	Waveform 1	1	577.3977269	581.5205339	0	22050
24	Spectrogram 1	1	577.3977269	581.5205339	0	22050
25	Waveform 1	1	591.1351173	593.3573395	0	22050
25	Spectrogram 1	1	591.1351173	593.3573395	0	22050
26	Waveform 1	1	602.1585091	605.5210822	0	22050
26	Spectrogram 1	1	602.1585091	605.5210822	0	22050
27	Waveform 1	1	615.4339816	617.9486015	0	22050
27	Spectrogram 1	1	615.4339816	617.9486015	0	22050
28	Waveform 1	1	626.7790109	629.4690694	0	22050
28	Spectrogram 1	1	626.7790109	629.4690694	0	22050
29	Waveform 1	1	637.8929122	641.3724443	0	22050
29	Spectrogram 1	1	637.8929122	641.3724443	0	22050
30	Waveform 1	1	649.7350174	652.9227438	0	22050
30	Spectrogram 1	1	649.7350174	652.9227438	0	22050
