Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
71	Waveform 1	1	5.907000000	7.689831618	0.0	22050.0	RO	dawn	c				July 6th
71	Spectrogram 1	1	5.907000000	7.689831618	0.0	22050.0	RO	dawn	c				July 6th
72	Waveform 1	1	10.369458987	11.626037589	0.0	22050.0	RO	dawn	c				
72	Spectrogram 1	1	10.369458987	11.626037589	0.0	22050.0	RO	dawn	c				
73	Waveform 1	1	12.834286420	14.681564364	0.0	22050.0	RO	dawn	c				territory of red orange
73	Spectrogram 1	1	12.834286420	14.681564364	0.0	22050.0	RO	dawn	c				territory of red orange
1	Waveform 1	1	37.981000000	39.646632047	0.0	22050.0	RO	Dawn	R				Pretrial
1	Spectrogram 1	1	37.981000000	39.646632047	0.0	22050.0	RO	Dawn	R				Pretrial
2	Waveform 1	1	40.239063646	40.573613254	0.0	22050.0	RO	Dawn	C				Pretrial- our bird
2	Spectrogram 1	1	40.239063646	40.573613254	0.0	22050.0	RO	Dawn	C				Pretrial- our bird
3	Waveform 1	1	150.326792040	153.093796096	0.0	22050.0	RO	Dawn	R				Pretrial
3	Spectrogram 1	1	150.326792040	153.093796096	0.0	22050.0	RO	Dawn	R				Pretrial
4	Waveform 1	1	153.400466570	153.790774447	0.0	22050.0	RO	Dawn	C				Pretrial- the bird
4	Spectrogram 1	1	153.400466570	153.790774447	0.0	22050.0	RO	Dawn	C				Pretrial- the bird
5	Waveform 1	1	232.347203129	234.528745369	0.0	22050.0	RO	Dawn	R				Pretrial
5	Spectrogram 1	1	232.347203129	234.528745369	0.0	22050.0	RO	Dawn	R				Pretrial
6	Waveform 1	1	235.086328050	235.441787009	0.0	22050.0	RO	Dawn	C				Pretrial- our bird
6	Spectrogram 1	1	235.086328050	235.441787009	0.0	22050.0	RO	Dawn	C				Pretrial- our bird
7	Waveform 1	1	270.402220056	272.590732080	0.0	22050.0	RO	Dawn	R				Pretrial
7	Spectrogram 1	1	270.402220056	272.590732080	0.0	22050.0	RO	Dawn	R				Pretrial
8	Waveform 1	1	272.806795369	273.308619782	0.0	22050.0	RO	Dawn	C				Pretrial-the bird
8	Spectrogram 1	1	272.806795369	273.308619782	0.0	22050.0	RO	Dawn	C				Pretrial-the bird
9	Waveform 1	1	302.463223698	304.149911309	0.0	22050.0	RO	Dawn	S	c			shit
9	Spectrogram 1	1	302.463223698	304.149911309	0.0	22050.0	RO	Dawn	S	c			shit
10	Waveform 1	1	304.561128536	304.951436413	0.0	22050.0	RO	Dawn	C				playback
10	Spectrogram 1	1	304.561128536	304.951436413	0.0	22050.0	RO	Dawn	C				playback
11	Waveform 1	1	314.343851288	316.212609209	0.0	22050.0	RO	Dawn	S	a	y	y	
11	Spectrogram 1	1	314.343851288	316.212609209	0.0	22050.0	RO	Dawn	S	a	y	y	
75	Waveform 1	1	315.555268938	317.209227097	0.0	22050.0	RO	dawn	r			y	not noted. unsure
75	Spectrogram 1	1	315.555268938	317.209227097	0.0	22050.0	RO	dawn	r			y	not noted. unsure
12	Waveform 1	1	317.002191935	317.308862410	0.0	22050.0	RO	Dawn	C				playback
12	Spectrogram 1	1	317.002191935	317.308862410	0.0	22050.0	RO	Dawn	C				playback
14	Waveform 1	1	326.000182278	328.139905817	0.0	22050.0	RO	Dawn	S	c			
14	Spectrogram 1	1	326.000182278	328.139905817	0.0	22050.0	RO	Dawn	S	c			
13	Waveform 1	1	328.502334559	328.969310055	0.0	22050.0	RO	Dawn	C				playback
13	Spectrogram 1	1	328.502334559	328.969310055	0.0	22050.0	RO	Dawn	C				playback
83	Waveform 1	1	338.341661853	340.151349839	0.0	22050.0	RO	dawn	S				estimated
83	Spectrogram 1	1	338.341661853	340.151349839	0.0	22050.0	RO	dawn	S				estimated
20	Waveform 1	1	350.896987114	352.799738014	0.0	22050.0	RO	Dawn	S	b			
20	Spectrogram 1	1	350.896987114	352.799738014	0.0	22050.0	RO	Dawn	S	b			
15	Waveform 1	1	362.821547973	364.724298873	0.0	22050.0	RO	Dawn	S	a			
15	Spectrogram 1	1	362.821547973	364.724298873	0.0	22050.0	RO	Dawn	S	a			
16	Waveform 1	1	367.059176350	367.365846825	0.0	22050.0	RO	Dawn	C				playback
16	Spectrogram 1	1	367.059176350	367.365846825	0.0	22050.0	RO	Dawn	C				playback
19	Waveform 1	1	374.308489590	376.315787242	0.0	22050.0	RO	Dawn	S	b	y		
19	Spectrogram 1	1	374.308489590	376.315787242	0.0	22050.0	RO	Dawn	S	b	y		
17	Waveform 1	1	380.510858271	382.559974624	0.0	22050.0	RO	Dawn	R				
17	Spectrogram 1	1	380.510858271	382.559974624	0.0	22050.0	RO	Dawn	R				
18	Waveform 1	1	383.898911531	384.498312913	0.0	22050.0	RO	Dawn	C				not a match?
18	Spectrogram 1	1	383.898911531	384.498312913	0.0	22050.0	RO	Dawn	C				not a match?
21	Waveform 1	1	386.477731344	388.380482244	0.0	22050.0	RO	Dawn	S	b			
21	Spectrogram 1	1	386.477731344	388.380482244	0.0	22050.0	RO	Dawn	S	b			
22	Waveform 1	1	398.193937257	400.047899672	0.0	22050.0	RO	Dawn	S	a			
22	Spectrogram 1	1	398.193937257	400.047899672	0.0	22050.0	RO	Dawn	S	a			
23	Waveform 1	1	409.791656851	412.049866709	0.0	22050.0	RO	Dawn	S	c	y		
23	Spectrogram 1	1	409.791656851	412.049866709	0.0	22050.0	RO	Dawn	S	c	y		
79	Waveform 1	1	414.769000000	416.836130764	0.0	22050.0	RO	dawn	r				
79	Spectrogram 1	1	414.769000000	416.836130764	0.0	22050.0	RO	dawn	r				
24	Waveform 1	1	417.270234474	417.862666073	0.0	22050.0	RO	Dawn	C				the bird
24	Spectrogram 1	1	417.270234474	417.862666073	0.0	22050.0	RO	Dawn	C				the bird
25	Waveform 1	1	421.476498353	423.274702500	0.0	22050.0	RO	Dawn	S	a			
25	Spectrogram 1	1	421.476498353	423.274702500	0.0	22050.0	RO	Dawn	S	a			
27	Waveform 1	1	432.743153230	434.764390449	0.0	22050.0	RO	Dawn	S	b			
27	Spectrogram 1	1	432.743153230	434.764390449	0.0	22050.0	RO	Dawn	S	b			
26	Waveform 1	1	435.694856548	436.126983126	0.0	22050.0	RO	Dawn	C				playback
26	Spectrogram 1	1	435.694856548	436.126983126	0.0	22050.0	RO	Dawn	C				playback
28	Waveform 1	1	444.473298295	446.473626164	0.0	22050.0	RO	Dawn	S	a			
28	Spectrogram 1	1	444.473298295	446.473626164	0.0	22050.0	RO	Dawn	S	a			
29	Waveform 1	1	456.565872518	458.231650778	0.0	22050.0	RO	Dawn	S	a			
29	Spectrogram 1	1	456.565872518	458.231650778	0.0	22050.0	RO	Dawn	S	a			
30	Waveform 1	1	467.320248307	469.620276866	0.0	22050.0	RO	Dawn	S	c			
30	Spectrogram 1	1	467.320248307	469.620276866	0.0	22050.0	RO	Dawn	S	c			
31	Waveform 1	1	472.875165768	473.258503861	0.0	22050.0	RO	Dawn	C				playback
31	Spectrogram 1	1	472.875165768	473.258503861	0.0	22050.0	RO	Dawn	C				playback
32	Waveform 1	1	478.862209632	480.883446851	0.0	22050.0	RO	Dawn	S	b			
32	Spectrogram 1	1	478.862209632	480.883446851	0.0	22050.0	RO	Dawn	S	b			
33	Waveform 1	1	490.752660133	493.031779342	0.0	22050.0	RO	Dawn	S	c			
33	Spectrogram 1	1	490.752660133	493.031779342	0.0	22050.0	RO	Dawn	S	c			
34	Waveform 1	1	502.942811325	505.235870102	0.0	22050.0	RO	Dawn	S	c			
34	Spectrogram 1	1	502.942811325	505.235870102	0.0	22050.0	RO	Dawn	S	c			
35	Waveform 1	1	515.369934600	517.377232252	0.0	22050.0	RO	Dawn	S	b			
35	Spectrogram 1	1	515.369934600	517.377232252	0.0	22050.0	RO	Dawn	S	b			
36	Waveform 1	1	527.455539039	529.372229506	0.0	22050.0	RO	Dawn	S	a			
36	Spectrogram 1	1	527.455539039	529.372229506	0.0	22050.0	RO	Dawn	S	a			
37	Waveform 1	1	531.428315643	531.748925684	0.0	22050.0	RO	Dawn	C				playback
37	Spectrogram 1	1	531.428315643	531.748925684	0.0	22050.0	RO	Dawn	C				playback
38	Waveform 1	1	538.948711880	541.039646934	0.0	22050.0	RO	Dawn	S	b	y		
38	Spectrogram 1	1	538.948711880	541.039646934	0.0	22050.0	RO	Dawn	S	b	y		
40	Waveform 1	1	547.186995819	548.636710790	0.0	22050.0	RO	Dawn	R				
