Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	241.490710204	244.546616795	0.0	22050.0	KLbK	A	R	Presong			
1	Spectrogram 1	1	241.490710204	244.546616795	0.0	22050.0	KLbK	A	R	Presong			
2	Waveform 1	1	245.923742084	246.422130283	0.0	22050.0	KLbK	A	C				
2	Spectrogram 1	1	245.923742084	246.422130283	0.0	22050.0	KLbK	A	C				
3	Waveform 1	1	310.675447165	312.447176965	0.0	22050.0	KLbK	A	S	F			
3	Spectrogram 1	1	310.675447165	312.447176965	0.0	22050.0	KLbK	A	S	F			
4	Waveform 1	1	314.092599500	314.420486473	0.0	22050.0	KLbK	A	C				
4	Spectrogram 1	1	314.092599500	314.420486473	0.0	22050.0	KLbK	A	C				
5	Waveform 1	1	318.591208753	320.637223467	0.0	22050.0	KLbK	A	R				
5	Spectrogram 1	1	318.591208753	320.637223467	0.0	22050.0	KLbK	A	R				
6	Waveform 1	1	320.820840172	321.476614118	0.0	22050.0	KLbK	A	C				
6	Spectrogram 1	1	320.820840172	321.476614118	0.0	22050.0	KLbK	A	C				
7	Waveform 1	1	322.458616298	324.689905365	0.0	22050.0	KLbK	A	S	F			
7	Spectrogram 1	1	322.458616298	324.689905365	0.0	22050.0	KLbK	A	S	F			
8	Waveform 1	1	326.250647359	326.801497474	0.0	22050.0	KLbK	A	C				
8	Spectrogram 1	1	326.250647359	326.801497474	0.0	22050.0	KLbK	A	C				
9	Waveform 1	1	335.160593695	337.477497357	0.0	22050.0	KLbK	A	S	F			
9	Spectrogram 1	1	335.160593695	337.477497357	0.0	22050.0	KLbK	A	S	F			
10	Waveform 1	1	337.962770077	341.058023106	0.0	22050.0	KLbK	A	R				
10	Spectrogram 1	1	337.962770077	341.058023106	0.0	22050.0	KLbK	A	R				
11	Waveform 1	1	337.962770077	338.539851150	0.0	22050.0	KLbK	A	C				
11	Spectrogram 1	1	337.962770077	338.539851150	0.0	22050.0	KLbK	A	C				
12	Waveform 1	1	340.913752838	341.464602953	0.0	22050.0	KLbK	A	C				
12	Spectrogram 1	1	340.913752838	341.464602953	0.0	22050.0	KLbK	A	C				
13	Waveform 1	1	347.449797487	349.171968487	0.0	22050.0	KLbK	A	S	F			
13	Spectrogram 1	1	347.449797487	349.171968487	0.0	22050.0	KLbK	A	S	F			
14	Waveform 1	1	350.960209732	351.301212184	0.0	22050.0	KLbK	A	C				
14	Spectrogram 1	1	350.960209732	351.301212184	0.0	22050.0	KLbK	A	C				
15	Waveform 1	1	359.399858457	361.958309811	0.0	22050.0	KLbK	A	S	F			
15	Spectrogram 1	1	359.399858457	361.958309811	0.0	22050.0	KLbK	A	S	F			
16	Waveform 1	1	363.511723132	363.826494627	0.0	22050.0	KLbK	A	C				
16	Spectrogram 1	1	363.511723132	363.826494627	0.0	22050.0	KLbK	A	C				
17	Waveform 1	1	367.828856549	371.367384223	0.0	22050.0	KLbK	A	R				
17	Spectrogram 1	1	367.828856549	371.367384223	0.0	22050.0	KLbK	A	R				
18	Waveform 1	1	372.285467748	372.849433343	0.0	22050.0	KLbK	A	C				
18	Spectrogram 1	1	372.285467748	372.849433343	0.0	22050.0	KLbK	A	C				
19	Waveform 1	1	378.350817400	380.208118600	0.0	22050.0	KLbK	A	S	F			
19	Spectrogram 1	1	378.350817400	380.208118600	0.0	22050.0	KLbK	A	S	F			
20	Waveform 1	1	384.555550144	386.948573287	0.0	22050.0	KLbK	A	S	F			
20	Spectrogram 1	1	384.555550144	386.948573287	0.0	22050.0	KLbK	A	S	F			
21	Waveform 1	1	392.102956508	392.470189919	0.0	22050.0	KLbK	A	C				
21	Spectrogram 1	1	392.102956508	392.470189919	0.0	22050.0	KLbK	A	C				
22	Waveform 1	1	396.993327191	399.264008037	0.0	22050.0	KLbK	A	S	F			
