Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
57	Waveform 1	1	446.4788108	448.5132188	0	22050	KYK	A	R		?		Maybe focal
57	Spectrogram 1	1	446.4788108	448.5132188	0	22050	KYK	A	R		?		Maybe focal
60	Waveform 1	1	476.8245919	478.7112496	0	22050	KYK	A	R		?		Maybe focal
60	Spectrogram 1	1	476.8245919	478.7112496	0	22050	KYK	A	R		?		Maybe focal
63	Waveform 1	1	511.4392676	512.8315301	0	22050	KYK	A	R		Y	Y	
63	Spectrogram 1	1	511.4392676	512.8315301	0	22050	KYK	A	R		Y	Y	
67	Waveform 1	1	537.38823	539.4283208	0	22050	KYK	A	R		Y		
67	Spectrogram 1	1	537.38823	539.4283208	0	22050	KYK	A	R		Y		
70	Waveform 1	1	547.2273585	549.2788146	0	22050	KYK	A	R		Y		
70	Spectrogram 1	1	547.2273585	549.2788146	0	22050	KYK	A	R		Y		
77	Waveform 1	1	610.3493974	612.3440265	0	22050	KYK	A	R		?		
77	Spectrogram 1	1	610.3493974	612.3440265	0	22050	KYK	A	R		?		
79	Waveform 1	1	623.5581806	625.5130308	0	22050	KYK	A	R		Y		
79	Spectrogram 1	1	623.5581806	625.5130308	0	22050	KYK	A	R		Y		
93	Waveform 1	1	744.1457263	745.5323061	0	22050	KYK	A	R		Y	Y	
93	Spectrogram 1	1	744.1457263	745.5323061	0	22050	KYK	A	R		Y	Y	
95	Waveform 1	1	754.7859897	756.854494	0	22050	KYK	A	R		Y		
95	Spectrogram 1	1	754.7859897	756.854494	0	22050	KYK	A	R		Y		
