Selection	View	Channel	Begin time (s)	end time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	306.1754386	308.7777778	0	22050
1	Spectrogram 1	1	306.1754386	308.7777778	0	22050
2	Waveform 1	1	317.6666667	320.9415205	0	22050
2	Spectrogram 1	1	317.6666667	320.9415205	0	22050
3	Waveform 1	1	330.0935673	333.5438596	0	22050
3	Spectrogram 1	1	330.0935673	333.5438596	0	22050
4	Waveform 1	1	343.3129212	346.5585352	0	22050
4	Spectrogram 1	1	343.3129212	346.5585352	0	22050
5	Waveform 1	1	356.207658	359.1608744	0	22050
5	Spectrogram 1	1	356.207658	359.1608744	0	22050
6	Waveform 1	1	368.9585389	372.1456734	0	22050
6	Spectrogram 1	1	368.9585389	372.1456734	0	22050
7	Waveform 1	1	380.6252055	384.2801763	0	22050
7	Spectrogram 1	1	380.6252055	384.2801763	0	22050
8	Waveform 1	1	393.8146829	397.2357355	0	22050
8	Spectrogram 1	1	393.8146829	397.2357355	0	22050
9	Waveform 1	1	406.7988391	409.7520555	0	22050
9	Spectrogram 1	1	406.7988391	409.7520555	0	22050
10	Waveform 1	1	419.6643362	422.8222309	0	22050
10	Spectrogram 1	1	419.6643362	422.8222309	0	22050
11	Waveform 1	1	432.4444568	435.6900708	0	22050
11	Spectrogram 1	1	432.4444568	435.6900708	0	22050
12	Waveform 1	1	445.1777013	448.2771165	0	22050
12	Spectrogram 1	1	445.1777013	448.2771165	0	22050
13	Waveform 1	1	458.1016779	461.2010931	0	22050
13	Spectrogram 1	1	458.1016779	461.2010931	0	22050
14	Waveform 1	1	470.8059049	474.3731564	0	22050
14	Spectrogram 1	1	470.8059049	474.3731564	0	22050
15	Waveform 1	1	483.3497646	486.8877763	0	22050
15	Spectrogram 1	1	483.3497646	486.8877763	0	22050
16	Waveform 1	1	496.5039872	499.9542796	0	22050
16	Spectrogram 1	1	496.5039872	499.9542796	0	22050
17	Waveform 1	1	508.9087322	512.3882644	0	22050
17	Spectrogram 1	1	508.9087322	512.3882644	0	22050
18	Waveform 1	1	520.9800321	524.371845	0	22050
18	Spectrogram 1	1	520.9800321	524.371845	0	22050
19	Waveform 1	1	534.0576885	537.1278639	0	22050
19	Spectrogram 1	1	534.0576885	537.1278639	0	22050
20	Waveform 1	1	545.9875131	549.2623669	0	22050
20	Spectrogram 1	1	545.9875131	549.2623669	0	22050
21	Waveform 1	1	558.7620631	562.270835	0	22050
21	Spectrogram 1	1	558.7620631	562.270835	0	22050
22	Waveform 1	1	571.6172244	574.8043589	0	22050
22	Spectrogram 1	1	571.6172244	574.8043589	0	22050
23	Waveform 1	1	583.7360133	586.893908	0	22050
23	Spectrogram 1	1	583.7360133	586.893908	0	22050
24	Waveform 1	1	596.3091127	599.3500483	0	22050
24	Spectrogram 1	1	596.3091127	599.3500483	0	22050
25	Waveform 1	1	609.2762753	612.1125326	0	22050
25	Spectrogram 1	1	609.2762753	612.1125326	0	22050
26	Waveform 1	1	621.4107783	625.1242285	0	22050
26	Spectrogram 1	1	621.4107783	625.1242285	0	22050
27	Waveform 1	1	634.5006987	638.0094706	0	22050
27	Spectrogram 1	1	634.5006987	638.0094706	0	22050
28	Waveform 1	1	647.5143229	650.6722176	0	22050
28	Spectrogram 1	1	647.5143229	650.6722176	0	22050
29	Waveform 1	1	660.3505802	663.6839135	0	22050
29	Spectrogram 1	1	660.3505802	663.6839135	0	22050
30	Waveform 1	1	672.9025874	676.4113593	0	22050
30	Spectrogram 1	1	672.9025874	676.4113593	0	22050
