Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
2	Waveform 1	1	8.126090155	9.884336725	0.0	22050.0	LbW	A	s	f	y		
2	Spectrogram 1	1	8.126090155	9.884336725	0.0	22050.0	LbW	A	s	f	y		
1	Waveform 1	1	10.162767956	10.508229893	0.0	22050.0	LbW	A	c				playback
1	Spectrogram 1	1	10.162767956	10.508229893	0.0	22050.0	LbW	A	c				playback
3	Waveform 1	1	10.595885182	12.410849384	0.0	22050.0	LbW	A	r				
3	Spectrogram 1	1	10.595885182	12.410849384	0.0	22050.0	LbW	A	r				
4	Waveform 1	1	12.622251455	13.467859777	0.0	22050.0	LbW	A	c				the bird, match
4	Spectrogram 1	1	12.622251455	13.467859777	0.0	22050.0	LbW	A	c				the bird, match
5	Waveform 1	1	18.752911759	19.907888978	0.0	22050.0	LbW	A	c				
5	Spectrogram 1	1	18.752911759	19.907888978	0.0	22050.0	LbW	A	c				
7	Waveform 1	1	19.954294313	21.372235095	0.0	22050.0	LbW	A	s	f			
7	Spectrogram 1	1	19.954294313	21.372235095	0.0	22050.0	LbW	A	s	f			
6	Waveform 1	1	21.640354807	22.037378226	0.0	22050.0	LbW	A	c				playback
6	Spectrogram 1	1	21.640354807	22.037378226	0.0	22050.0	LbW	A	c				playback
8	Waveform 1	1	30.240810137	31.988744411	0.0	22050.0	LbW	A	s	f	y		
8	Spectrogram 1	1	30.240810137	31.988744411	0.0	22050.0	LbW	A	s	f	y		
9	Waveform 1	1	31.772186183	33.875894689	0.0	22050.0	LbW	A	r				
9	Spectrogram 1	1	31.772186183	33.875894689	0.0	22050.0	LbW	A	r				
10	Waveform 1	1	35.087589531	36.474593424	0.0	22050.0	LbW	A	c				playback no match
10	Spectrogram 1	1	35.087589531	36.474593424	0.0	22050.0	LbW	A	c				playback no match
12	Waveform 1	1	41.749332791	43.492110917	0.0	22050.0	LbW	A	s	f			I think? No comments
12	Spectrogram 1	1	41.749332791	43.492110917	0.0	22050.0	LbW	A	s	f			I think? No comments
11	Waveform 1	1	45.358636911	47.178757261	0.0	22050.0	LbW	A	c				the bird something
11	Spectrogram 1	1	45.358636911	47.178757261	0.0	22050.0	LbW	A	c				the bird something
13	Waveform 1	1	49.086531797	50.623063991	0.0	22050.0	LbW	A	c				
13	Spectrogram 1	1	49.086531797	50.623063991	0.0	22050.0	LbW	A	c				
15	Waveform 1	1	53.907530441	55.253285147	0.0	22050.0	LbW	A	s	f	y	y	
15	Spectrogram 1	1	53.907530441	55.253285147	0.0	22050.0	LbW	A	s	f	y	y	
16	Waveform 1	1	54.964540842	56.996063273	0.0	22050.0	LbW	A	r			y	
16	Spectrogram 1	1	54.964540842	56.996063273	0.0	22050.0	LbW	A	r			y	
14	Waveform 1	1	56.810441934	57.661206403	0.0	22050.0	LbW	A	c				match
14	Spectrogram 1	1	56.810441934	57.661206403	0.0	22050.0	LbW	A	c				match
18	Waveform 1	1	65.194339036	66.895867975	0.0	22050.0	LbW	A	s	f			
18	Spectrogram 1	1	65.194339036	66.895867975	0.0	22050.0	LbW	A	s	f			
17	Waveform 1	1	69.231603146	69.602845824	0.0	22050.0	LbW	A	c				playback
17	Spectrogram 1	1	69.231603146	69.602845824	0.0	22050.0	LbW	A	c				playback
20	Waveform 1	1	76.428539202	78.320845628	0.0	22050.0	LbW	A	s	f	y	y	
20	Spectrogram 1	1	76.428539202	78.320845628	0.0	22050.0	LbW	A	s	f	y	y	
21	Waveform 1	1	77.722732425	79.795504042	0.0	22050.0	LbW	A	r			y	
21	Spectrogram 1	1	77.722732425	79.795504042	0.0	22050.0	LbW	A	r			y	
19	Waveform 1	1	80.013108890	80.353414678	0.0	22050.0	LbW	A	c				match
19	Spectrogram 1	1	80.013108890	80.353414678	0.0	22050.0	LbW	A	c				match
23	Waveform 1	1	86.993486717	88.818763215	0.0	22050.0	LbW	A	s	f			
23	Spectrogram 1	1	86.993486717	88.818763215	0.0	22050.0	LbW	A	s	f			
22	Waveform 1	1	90.076863401	90.509979858	0.0	22050.0	LbW	A	c				playback
22	Spectrogram 1	1	90.076863401	90.509979858	0.0	22050.0	LbW	A	c				playback
24	Waveform 1	1	91.443242691	94.387403371	0.0	22050.0	LbW	A	c				
24	Spectrogram 1	1	91.443242691	94.387403371	0.0	22050.0	LbW	A	c				
25	Waveform 1	1	95.325822095	96.217835751	0.0	22050.0	LbW	A	c				
25	Spectrogram 1	1	95.325822095	96.217835751	0.0	22050.0	LbW	A	c				
26	Waveform 1	1	98.367949575	99.223870193	0.0	22050.0	LbW	A	c				
26	Spectrogram 1	1	98.367949575	99.223870193	0.0	22050.0	LbW	A	c				
28	Waveform 1	1	98.502009430	100.347910522	0.0	22050.0	LbW	A	s	f			
28	Spectrogram 1	1	98.502009430	100.347910522	0.0	22050.0	LbW	A	s	f			
27	Waveform 1	1	101.363671737	101.698821377	0.0	22050.0	LbW	A	c				playback
27	Spectrogram 1	1	101.363671737	101.698821377	0.0	22050.0	LbW	A	c				playback
30	Waveform 1	1	110.340525894	112.186426985	0.0	22050.0	LbW	A	s	f	y	y	
30	Spectrogram 1	1	110.340525894	112.186426985	0.0	22050.0	LbW	A	s	f	y	y	
31	Waveform 1	1	111.681124452	113.480620209	0.0	22050.0	LbW	A	r			y	
31	Spectrogram 1	1	111.681124452	113.480620209	0.0	22050.0	LbW	A	r			y	
29	Waveform 1	1	113.831238284	115.914322198	0.0	22050.0	LbW	A	c				playback then the bird
29	Spectrogram 1	1	113.831238284	115.914322198	0.0	22050.0	LbW	A	c				playback then the bird
33	Waveform 1	1	121.614477376	123.939900260	0.0	22050.0	LbW	A	s	s	y	y	
33	Spectrogram 1	1	121.614477376	123.939900260	0.0	22050.0	LbW	A	s	s	y	y	
34	Waveform 1	1	123.620219056	125.816738232	0.0	22050.0	LbW	A	r			y	
34	Spectrogram 1	1	123.620219056	125.816738232	0.0	22050.0	LbW	A	r			y	
32	Waveform 1	1	125.771208664	128.916459128	0.0	22050.0	LbW	A	c				match ...
32	Spectrogram 1	1	125.771208664	128.916459128	0.0	22050.0	LbW	A	c				match ...
36	Waveform 1	1	133.540647716	136.005286604	0.0	22050.0	LbW	A	s	s			
36	Spectrogram 1	1	133.540647716	136.005286604	0.0	22050.0	LbW	A	s	s			
35	Waveform 1	1	136.526058218	136.923081637	0.0	22050.0	LbW	A	c				playback
35	Spectrogram 1	1	136.526058218	136.923081637	0.0	22050.0	LbW	A	c				playback
38	Waveform 1	1	145.698844772	147.885051651	0.0	22050.0	LbW	A	s	s			
38	Spectrogram 1	1	145.698844772	147.885051651	0.0	22050.0	LbW	A	s	s			
37	Waveform 1	1	151.973877245	152.345119922	0.0	22050.0	LbW	A	c				playback
37	Spectrogram 1	1	151.973877245	152.345119922	0.0	22050.0	LbW	A	c				playback
39	Waveform 1	1	153.283537315	154.402421497	0.0	22050.0	LbW	A	c				not our bird?
39	Spectrogram 1	1	153.283537315	154.402421497	0.0	22050.0	LbW	A	c				not our bird?
41	Waveform 1	1	157.980786851	160.146369137	0.0	22050.0	LbW	A	s	s	y	y	
41	Spectrogram 1	1	157.980786851	160.146369137	0.0	22050.0	LbW	A	s	s	y	y	
42	Waveform 1	1	158.718116058	161.280721763	0.0	22050.0	LbW	A	r			y	
42	Spectrogram 1	1	158.718116058	161.280721763	0.0	22050.0	LbW	A	r			y	
40	Waveform 1	1	160.863074020	164.611593834	0.0	22050.0	LbW	A	c				...our bird... playback... match?
40	Spectrogram 1	1	160.863074020	164.611593834	0.0	22050.0	LbW	A	c				...our bird... playback... match?
44	Waveform 1	1	169.843413721	172.736012918	0.0	22050.0	LbW	A	s	s	y	y	
44	Spectrogram 1	1	169.843413721	172.736012918	0.0	22050.0	LbW	A	s	s	y	y	
45	Waveform 1	1	171.807906215	174.257076658	0.0	22050.0	LbW	A	r			y	
45	Spectrogram 1	1	171.807906215	174.257076658	0.0	22050.0	LbW	A	r			y	
43	Waveform 1	1	173.959690073	175.042481216	0.0	22050.0	LbW	A	c				match
43	Spectrogram 1	1	173.959690073	175.042481216	0.0	22050.0	LbW	A	c				match
47	Waveform 1	1	181.952707713	184.706090905	0.0	22050.0	LbW	A	s	s			
47	Spectrogram 1	1	181.952707713	184.706090905	0.0	22050.0	LbW	A	s	s			
46	Waveform 1	1	185.592948413	185.953878794	0.0	22050.0	LbW	A	c				playback
46	Spectrogram 1	1	185.592948413	185.953878794	0.0	22050.0	LbW	A	c				playback
50	Waveform 1	1	193.976845514	196.523982775	0.0	22050.0	LbW	A	s	s			
50	Spectrogram 1	1	193.976845514	196.523982775	0.0	22050.0	LbW	A	s	s			
48	Waveform 1	1	198.143013333	199.530017225	0.0	22050.0	LbW	A	c				the bird something
