Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	303.000000000	306.216374300	0.0	22050.0	LgRLg	dawn	stim	f			
1	Spectrogram 1	1	303.000000000	306.216374300	0.0	22050.0	LgRLg	dawn	stim	f			
2	Waveform 1	1	313.877193000	318.614035100	0.0	22050.0	LgRLg 	dawn	stim	s			
2	Spectrogram 1	1	313.877193000	318.614035100	0.0	22050.0	LgRLg 	dawn	stim	s			
3	Waveform 1	1	326.859649100	331.713450300	0.0	22050.0	LgRLg 	dawn	stim	s			
3	Spectrogram 1	1	326.859649100	331.713450300	0.0	22050.0	LgRLg 	dawn	stim	s			
4	Waveform 1	1	340.192982500	344.052631600	0.0	22050.0	LgRLg 	dawn	stim	c			
4	Spectrogram 1	1	340.192982500	344.052631600	0.0	22050.0	LgRLg 	dawn	stim	c			
5	Waveform 1	1	352.532163700	356.859649100	0.0	22050.0	LgRLg 	dawn	stim	c			
5	Spectrogram 1	1	352.532163700	356.859649100	0.0	22050.0	LgRLg 	dawn	stim	c			
6	Waveform 1	1	366.719063453	369.592255200	0.0	22050.0	LgRLg 	dawn	stim	f			poor quality
6	Spectrogram 1	1	366.719063453	369.592255200	0.0	22050.0	LgRLg 	dawn	stim	f			poor quality
7	Waveform 1	1	377.662430600	381.463600200	0.0	22050.0	LgRLg 	dawn	stim	s			
7	Spectrogram 1	1	377.662430600	381.463600200	0.0	22050.0	LgRLg 	dawn	stim	s			
8	Waveform 1	1	390.761845800	394.504535900	0.0	22050.0	LgRLg 	dawn	stim	c			
8	Spectrogram 1	1	390.761845800	394.504535900	0.0	22050.0	LgRLg 	dawn	stim	c			
9	Waveform 1	1	403.276465700	407.253073900	0.0	22050.0	LgRLg 	dawn	stim	s			
9	Spectrogram 1	1	403.276465700	407.253073900	0.0	22050.0	LgRLg 	dawn	stim	s			
10	Waveform 1	1	418.055932522	422.052888850	0.0	22050.0	LgRLg 	dawn	stim	f			
10	Spectrogram 1	1	418.055932522	422.052888850	0.0	22050.0	LgRLg 	dawn	stim	f			
11	Waveform 1	1	429.255959800	433.174088500	0.0	22050.0	LgRLg 	dawn	stim	c			
11	Spectrogram 1	1	429.255959800	433.174088500	0.0	22050.0	LgRLg 	dawn	stim	c			
12	Waveform 1	1	441.595141100	445.922626500	0.0	22050.0	LgRLg 	dawn	stim	f			
12	Spectrogram 1	1	441.595141100	445.922626500	0.0	22050.0	LgRLg 	dawn	stim	f			
13	Waveform 1	1	455.103913100	458.495725900	0.0	22050.0	LgRLg 	dawn	stim	f			
13	Spectrogram 1	1	455.103913100	458.495725900	0.0	22050.0	LgRLg 	dawn	stim	f			
14	Waveform 1	1	467.677012500	471.419702500	0.0	22050.0	LgRLg 	dawn	stim	s			
14	Spectrogram 1	1	467.677012500	471.419702500	0.0	22050.0	LgRLg 	dawn	stim	s			
15	Waveform 1	1	479.920871600	484.072918400	0.0	22050.0	LgRLg 	dawn	stim	s			
15	Spectrogram 1	1	479.920871600	484.072918400	0.0	22050.0	LgRLg 	dawn	stim	s			
16	Waveform 1	1	493.020286900	496.587538335	0.0	22050.0	LgRLg 	dawn	stim	s			
16	Spectrogram 1	1	493.020286900	496.587538335	0.0	22050.0	LgRLg 	dawn	stim	s			
17	Waveform 1	1	505.885783900	509.569994500	0.0	22050.0	LgRLg 	dawn	stim	s			
17	Spectrogram 1	1	505.885783900	509.569994500	0.0	22050.0	LgRLg 	dawn	stim	s			
18	Waveform 1	1	518.204764834	521.392925294	0.0	22050.0	LgRLg 	dawn	stim	s			poor quality
18	Spectrogram 1	1	518.204764834	521.392925294	0.0	22050.0	LgRLg 	dawn	stim	s			poor quality
19	Waveform 1	1	531.254079147	534.338788972	0.0	22050.0	LgRLg 	dawn	stim	c			
19	Spectrogram 1	1	531.254079147	534.338788972	0.0	22050.0	LgRLg 	dawn	stim	c			
20	Waveform 1	1	543.027103300	546.828272900	0.0	22050.0	LgRLg 	dawn	stim	c			
20	Spectrogram 1	1	543.027103300	546.828272900	0.0	22050.0	LgRLg 	dawn	stim	c			
21	Waveform 1	1	555.547673200	559.290363300	0.0	22050.0	LgRLg 	dawn	stim	s			
21	Spectrogram 1	1	555.547673200	559.290363300	0.0	22050.0	LgRLg 	dawn	stim	s			
22	Waveform 1	1	568.179252200	572.038901300	0.0	22050.0	LgRLg 	dawn	stim	c			
22	Spectrogram 1	1	568.179252200	572.038901300	0.0	22050.0	LgRLg 	dawn	stim	c			
23	Waveform 1	1	580.284515300	584.144164400	0.0	22050.0	LgRLg 	dawn	stim	c			poor quality
23	Spectrogram 1	1	580.284515300	584.144164400	0.0	22050.0	LgRLg 	dawn	stim	c			poor quality
