Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	0.000000000	3.391812865	0.0	22050.0
1	Spectrogram 1	1	0.000000000	3.391812865	0.0	22050.0
2	Waveform 1	1	11.637426901	14.853801170	0.0	22050.0
2	Spectrogram 1	1	11.637426901	14.853801170	0.0	22050.0
3	Waveform 1	1	23.625730994	26.198830409	0.0	22050.0
3	Spectrogram 1	1	23.625730994	26.198830409	0.0	22050.0
4	Waveform 1	1	35.730994152	38.479532164	0.0	22050.0
4	Spectrogram 1	1	35.730994152	38.479532164	0.0	22050.0
5	Waveform 1	1	47.719298246	50.584795322	0.0	22050.0
5	Spectrogram 1	1	47.719298246	50.584795322	0.0	22050.0
6	Waveform 1	1	59.873747987	62.856204127	0.0	22050.0
6	Spectrogram 1	1	59.873747987	62.856204127	0.0	22050.0
7	Waveform 1	1	71.160297694	74.318192431	0.0	22050.0
7	Spectrogram 1	1	71.160297694	74.318192431	0.0	22050.0
8	Waveform 1	1	83.908835706	86.481935121	0.0	22050.0
8	Spectrogram 1	1	83.908835706	86.481935121	0.0	22050.0
9	Waveform 1	1	95.721701203	98.060882490	0.0	22050.0
9	Spectrogram 1	1	95.721701203	98.060882490	0.0	22050.0
10	Waveform 1	1	107.300648571	110.107666115	0.0	22050.0
10	Spectrogram 1	1	107.300648571	110.107666115	0.0	22050.0
11	Waveform 1	1	132.038998374	134.495138724	0.0	22050.0
11	Spectrogram 1	1	132.038998374	134.495138724	0.0	22050.0
12	Waveform 1	1	143.910343403	146.424963286	0.0	22050.0
12	Spectrogram 1	1	143.910343403	146.424963286	0.0	22050.0
13	Waveform 1	1	155.840167964	158.822624105	0.0	22050.0
13	Spectrogram 1	1	155.840167964	158.822624105	0.0	22050.0
14	Waveform 1	1	167.711512993	170.752448666	0.0	22050.0
14	Spectrogram 1	1	167.711512993	170.752448666	0.0	22050.0
15	Waveform 1	1	179.497768588	182.480224729	0.0	22050.0
15	Spectrogram 1	1	179.497768588	182.480224729	0.0	22050.0
16	Waveform 1	1	204.410049290	207.567944027	0.0	22050.0
16	Spectrogram 1	1	204.410049290	207.567944027	0.0	22050.0
17	Waveform 1	1	216.807710109	220.550400167	0.0	22050.0
17	Spectrogram 1	1	216.807710109	220.550400167	0.0	22050.0
18	Waveform 1	1	229.555610557	232.479587165	0.0	22050.0
18	Spectrogram 1	1	229.555610557	232.479587165	0.0	22050.0
19	Waveform 1	1	241.426955586	244.818768452	0.0	22050.0
19	Spectrogram 1	1	241.426955586	244.818768452	0.0	22050.0
20	Waveform 1	1	254.467891259	257.157949738	0.0	22050.0
20	Spectrogram 1	1	254.467891259	257.157949738	0.0	22050.0
21	Waveform 1	1	278.619938042	281.953271376	0.0	22050.0
21	Spectrogram 1	1	278.619938042	281.953271376	0.0	22050.0
22	Waveform 1	1	291.068930705	294.109866377	0.0	22050.0
22	Spectrogram 1	1	291.068930705	294.109866377	0.0	22050.0
23	Waveform 1	1	302.764837137	305.688813745	0.0	22050.0
23	Spectrogram 1	1	302.764837137	305.688813745	0.0	22050.0
24	Waveform 1	1	314.811620763	317.735597371	0.0	22050.0
24	Spectrogram 1	1	314.811620763	317.735597371	0.0	22050.0
25	Waveform 1	1	326.916883921	330.308696786	0.0	22050.0
25	Spectrogram 1	1	326.916883921	330.308696786	0.0	22050.0
26	Waveform 1	1	339.373024272	343.291152927	0.0	22050.0
26	Spectrogram 1	1	339.373024272	343.291152927	0.0	22050.0
27	Waveform 1	1	352.218563921	354.895328798	0.0	22050.0
27	Spectrogram 1	1	352.218563921	354.895328798	0.0	22050.0
