Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
1	Waveform 1	1	15.882785513	18.152665749	0.0	22050.0	RO 	A (Alt)	S	S			
1	Spectrogram 1	1	15.882785513	18.152665749	0.0	22050.0	RO 	A (Alt)	S	S			
2	Waveform 1	1	18.414084541	18.815776830	0.0	22050.0	RO	A (Alt)	C				
2	Spectrogram 1	1	18.414084541	18.815776830	0.0	22050.0	RO	A (Alt)	C				
3	Waveform 1	1	28.354374567	30.343707808	0.0	22050.0	RO	A (Alt)	S	S			
3	Spectrogram 1	1	28.354374567	30.343707808	0.0	22050.0	RO	A (Alt)	S	S			
4	Waveform 1	1	30.841041118	31.045075296	0.0	22050.0	RO	A (Alt)	C				
4	Spectrogram 1	1	30.841041118	31.045075296	0.0	22050.0	RO	A (Alt)	C				
5	Waveform 1	1	30.299075331	32.167263278	0.0	22050.0	RO	A (Alt)	R		Y		
5	Spectrogram 1	1	30.299075331	32.167263278	0.0	22050.0	RO	A (Alt)	R		Y		
6	Waveform 1	1	32.377673525	33.206562375	0.0	22050.0	RO	A (Alt)	C				
6	Spectrogram 1	1	32.377673525	33.206562375	0.0	22050.0	RO	A (Alt)	C				
7	Waveform 1	1	40.258493598	42.209570430	0.0	22050.0	RO	A (Alt)	S	S			
7	Spectrogram 1	1	40.258493598	42.209570430	0.0	22050.0	RO	A (Alt)	S	S			
8	Waveform 1	1	43.746202838	44.135142990	0.0	22050.0	RO	A (Alt)	C				
8	Spectrogram 1	1	43.746202838	44.135142990	0.0	22050.0	RO	A (Alt)	C				
9	Waveform 1	1	51.238082721	53.425074072	0.0	22050.0	RO	A (Alt)	S	S			
9	Spectrogram 1	1	51.238082721	53.425074072	0.0	22050.0	RO	A (Alt)	S	S			
10	Waveform 1	1	63.311167355	65.549167251	0.0	22050.0	RO	A (Alt)	S	S			
10	Spectrogram 1	1	63.311167355	65.549167251	0.0	22050.0	RO	A (Alt)	S	S			
11	Waveform 1	1	75.189782114	77.459662351	0.0	22050.0	RO	A (Alt)	S	S			
11	Spectrogram 1	1	75.189782114	77.459662351	0.0	22050.0	RO	A (Alt)	S	S			
12	Waveform 1	1	76.771046998	79.123816119	0.0	22050.0	RO	A (Alt)	R		Y	Y	
12	Spectrogram 1	1	76.771046998	79.123816119	0.0	22050.0	RO	A (Alt)	R		Y	Y	
13	Waveform 1	1	78.588226401	79.244961413	0.0	22050.0	RO	A (Alt)	C				
13	Spectrogram 1	1	78.588226401	79.244961413	0.0	22050.0	RO	A (Alt)	C				
14	Waveform 1	1	86.443542201	88.700670302	0.0	22050.0	RO	A (Alt)	S	S			
14	Spectrogram 1	1	86.443542201	88.700670302	0.0	22050.0	RO	A (Alt)	S	S			
15	Waveform 1	1	98.691968872	100.885336292	0.0	22050.0	RO	A (Alt)	S	S			
15	Spectrogram 1	1	98.691968872	100.885336292	0.0	22050.0	RO	A (Alt)	S	S			
16	Waveform 1	1	100.419883322	100.859832019	0.0	22050.0	RO	A (Alt)	C				
16	Spectrogram 1	1	100.419883322	100.859832019	0.0	22050.0	RO	A (Alt)	C				
17	Waveform 1	1	100.878960224	102.600498605	0.0	22050.0	RO	A (Alt)	R		Y		
17	Spectrogram 1	1	100.878960224	102.600498605	0.0	22050.0	RO	A (Alt)	R		Y		
18	Waveform 1	1	102.600498605	103.008566962	0.0	22050.0	RO	A (Alt)	C				
18	Spectrogram 1	1	102.600498605	103.008566962	0.0	22050.0	RO	A (Alt)	C				
19	Waveform 1	1	110.519575087	112.757574983	0.0	22050.0	RO	A (Alt)	S	S			
19	Spectrogram 1	1	110.519575087	112.757574983	0.0	22050.0	RO	A (Alt)	S	S			
20	Waveform 1	1	121.800630064	124.025877824	0.0	22050.0	RO	A (Alt)	S	S			
20	Spectrogram 1	1	121.800630064	124.025877824	0.0	22050.0	RO	A (Alt)	S	S			
21	Waveform 1	1	133.143655105	135.056475529	0.0	22050.0	RO	A (Alt)	S	F			
21	Spectrogram 1	1	133.143655105	135.056475529	0.0	22050.0	RO	A (Alt)	S	F			
22	Waveform 1	1	144.531312621	146.348492024	0.0	22050.0	RO	A (Alt)	S	F			
22	Spectrogram 1	1	144.531312621	146.348492024	0.0	22050.0	RO	A (Alt)	S	F			
23	Waveform 1	1	156.467311993	158.303619600	0.0	22050.0	RO	A (Alt)	S	F			
23	Spectrogram 1	1	156.467311993	158.303619600	0.0	22050.0	RO	A (Alt)	S	F			
24	Waveform 1	1	158.718064025	159.055995634	0.0	22050.0	RO	A (Alt)	C				
24	Spectrogram 1	1	158.718064025	159.055995634	0.0	22050.0	RO	A (Alt)	C				
25	Waveform 1	1	167.574422514	169.436234394	0.0	22050.0	RO	A (Alt)	S	F			
25	Spectrogram 1	1	167.574422514	169.436234394	0.0	22050.0	RO	A (Alt)	S	F			
26	Waveform 1	1	169.844302751	170.194986495	0.0	22050.0	RO	A (Alt)	C				
26	Spectrogram 1	1	169.844302751	170.194986495	0.0	22050.0	RO	A (Alt)	C				
27	Waveform 1	1	179.389276556	181.231960231	0.0	22050.0	RO	A (Alt)	S	F			
27	Spectrogram 1	1	179.389276556	181.231960231	0.0	22050.0	RO	A (Alt)	S	F			
28	Waveform 1	1	190.687668900	192.600489324	0.0	22050.0	RO	A (Alt)	S	F			
28	Spectrogram 1	1	190.687668900	192.600489324	0.0	22050.0	RO	A (Alt)	S	F			
29	Waveform 1	1	193.263600404	193.639788421	0.0	22050.0	RO	A (Alt)	C				
29	Spectrogram 1	1	193.263600404	193.639788421	0.0	22050.0	RO	A (Alt)	C				
30	Waveform 1	1	202.649172544	204.542864764	0.0	22050.0	RO	A (Alt)	S	F			
30	Spectrogram 1	1	202.649172544	204.542864764	0.0	22050.0	RO	A (Alt)	S	F			
31	Waveform 1	1	205.001941665	205.390881818	0.0	22050.0	RO	A (Alt)	C				
31	Spectrogram 1	1	205.001941665	205.390881818	0.0	22050.0	RO	A (Alt)	C				
32	Waveform 1	1	213.858300155	215.707359898	0.0	22050.0	RO	A (Alt)	S	F			
32	Spectrogram 1	1	213.858300155	215.707359898	0.0	22050.0	RO	A (Alt)	S	F			
33	Waveform 1	1	216.663770110	217.141975216	0.0	22050.0	RO	A (Alt)	C				
33	Spectrogram 1	1	216.663770110	217.141975216	0.0	22050.0	RO	A (Alt)	C				
34	Waveform 1	1	226.508419114	228.363854926	0.0	22050.0	RO	A (Alt)	S	F			
34	Spectrogram 1	1	226.508419114	228.363854926	0.0	22050.0	RO	A (Alt)	S	F			
35	Waveform 1	1	227.381940441	229.224624116	0.0	22050.0	RO	A (Alt)	R		Y	Y	
35	Spectrogram 1	1	227.381940441	229.224624116	0.0	22050.0	RO	A (Alt)	R		Y	Y	
36	Waveform 1	1	229.505171112	231.322350515	0.0	22050.0	RO	A (Alt)	C				
36	Spectrogram 1	1	229.505171112	231.322350515	0.0	22050.0	RO	A (Alt)	C				
37	Waveform 1	1	237.838692019	239.815273123	0.0	22050.0	RO	A (Alt)	S	F			
37	Spectrogram 1	1	237.838692019	239.815273123	0.0	22050.0	RO	A (Alt)	S	F			
38	Waveform 1	1	240.663290178	241.281768782	0.0	22050.0	RO	A (Alt)	C				
38	Spectrogram 1	1	240.663290178	241.281768782	0.0	22050.0	RO	A (Alt)	C				
39	Waveform 1	1	249.328366405	251.547238097	0.0	22050.0	RO	A (Alt)	S	C			
39	Spectrogram 1	1	249.328366405	251.547238097	0.0	22050.0	RO	A (Alt)	S	C			
40	Waveform 1	1	260.913681995	263.138929755	0.0	22050.0	RO	A (Alt)	S	C			
40	Spectrogram 1	1	260.913681995	263.138929755	0.0	22050.0	RO	A (Alt)	S	C			
41	Waveform 1	1	264.178228852	264.554416869	0.0	22050.0	RO	A (Alt)	C				
41	Spectrogram 1	1	264.178228852	264.554416869	0.0	22050.0	RO	A (Alt)	C				
42	Waveform 1	1	272.301339512	274.552091544	0.0	22050.0	RO	A (Alt)	S	C			
42	Spectrogram 1	1	272.301339512	274.552091544	0.0	22050.0	RO	A (Alt)	S	C			
