"Selection","View","Channel","Begin Time (s)","End Time (s)","Low Freq (Hz)","High Freq (Hz)","Bird","TrialType","Combo"
1,"Waveform 1",1,299.2280626,303.0525632,0,22050,"LBY","A","LBY-A"
1,"Spectrogram 1",1,299.2280626,303.0525632,0,22050,"LBY","A","LBY-A"
2,"Waveform 1",1,311.1329291,315.0942673,0,22050,"LBY","A","LBY-A"
2,"Spectrogram 1",1,311.1329291,315.0942673,0,22050,"LBY","A","LBY-A"
3,"Waveform 1",1,323.0834082,326.8166838,0,22050,"LBY","A","LBY-A"
3,"Spectrogram 1",1,323.0834082,326.8166838,0,22050,"LBY","A","LBY-A"
4,"Waveform 1",1,334.9882747,339.132063,0,22050,"LBY","A","LBY-A"
4,"Spectrogram 1",1,334.9882747,339.132063,0,22050,"LBY","A","LBY-A"
5,"Waveform 1",1,346.5282412,350.3983543,0,22050,"LBY","A","LBY-A"
5,"Spectrogram 1",1,346.5282412,350.3983543,0,22050,"LBY","A","LBY-A"
6,"Waveform 1",1,358.11382,362.3488333,0,22050,"LBY","A","LBY-A"
6,"Spectrogram 1",1,358.11382,362.3488333,0,22050,"LBY","A","LBY-A"
7,"Waveform 1",1,369.4257239,373.7063496,0,22050,"LBY","A","LBY-A"
7,"Spectrogram 1",1,369.4257239,373.7063496,0,22050,"LBY","A","LBY-A"
8,"Waveform 1",1,381.5130405,385.8392788,0,22050,"LBY","A","LBY-A"
8,"Spectrogram 1",1,381.5130405,385.8392788,0,22050,"LBY","A","LBY-A"
9,"Waveform 1",1,392.7793317,397.014345,0,22050,"LBY","A","LBY-A"
9,"Spectrogram 1",1,392.7793317,397.014345,0,22050,"LBY","A","LBY-A"
10,"Waveform 1",1,404.9578734,408.964824,0,22050,"LBY","A","LBY-A"
10,"Spectrogram 1",1,404.9578734,408.964824,0,22050,"LBY","A","LBY-A"
11,"Waveform 1",1,416.3610021,421.2345906,0,22050,"LBY","A","LBY-A"
11,"Spectrogram 1",1,416.3610021,421.2345906,0,22050,"LBY","A","LBY-A"
12,"Waveform 1",1,428.9044439,433.6868074,0,22050,"LBY","A","LBY-A"
12,"Spectrogram 1",1,428.9044439,433.6868074,0,22050,"LBY","A","LBY-A"
13,"Waveform 1",1,440.9917604,446.3670866,0,22050,"LBY","A","LBY-A"
13,"Spectrogram 1",1,440.9917604,446.3670866,0,22050,"LBY","A","LBY-A"
14,"Waveform 1",1,454.1281649,458.4544032,0,22050,"LBY","A","LBY-A"
14,"Spectrogram 1",1,454.1281649,458.4544032,0,22050,"LBY","A","LBY-A"
15,"Waveform 1",1,467.1277318,471.9557078,0,22050,"LBY","A","LBY-A"
15,"Spectrogram 1",1,467.1277318,471.9557078,0,22050,"LBY","A","LBY-A"
16,"Waveform 1",1,479.7623986,484.2254745,0,22050,"LBY","A","LBY-A"
16,"Spectrogram 1",1,479.7623986,484.2254745,0,22050,"LBY","A","LBY-A"
17,"Waveform 1",1,492.4882903,497.3162663,0,22050,"LBY","A","LBY-A"
17,"Spectrogram 1",1,492.4882903,497.3162663,0,22050,"LBY","A","LBY-A"
18,"Waveform 1",1,504.9405071,509.6316455,0,22050,"LBY","A","LBY-A"
18,"Spectrogram 1",1,504.9405071,509.6316455,0,22050,"LBY","A","LBY-A"
19,"Waveform 1",1,518.0960756,523.0152766,0,22050,"LBY","A","LBY-A"
19,"Spectrogram 1",1,518.0960756,523.0152766,0,22050,"LBY","A","LBY-A"
20,"Waveform 1",1,530.4379027,535.5851662,0,22050,"LBY","A","LBY-A"
20,"Spectrogram 1",1,530.4379027,535.5851662,0,22050,"LBY","A","LBY-A"
21,"Waveform 1",1,543.3006321,547.4444203,0,22050,"LBY","A","LBY-A"
21,"Spectrogram 1",1,543.3006321,547.4444203,0,22050,"LBY","A","LBY-A"
22,"Waveform 1",1,555.5247862,559.9422495,0,22050,"LBY","A","LBY-A"
22,"Spectrogram 1",1,555.5247862,559.9422495,0,22050,"LBY","A","LBY-A"
23,"Waveform 1",1,568.0226155,572.3944663,0,22050,"LBY","A","LBY-A"
23,"Spectrogram 1",1,568.0226155,572.3944663,0,22050,"LBY","A","LBY-A"
24,"Waveform 1",1,580.4739217,584.6177099,0,22050,"LBY","A","LBY-A"
24,"Spectrogram 1",1,580.4739217,584.6177099,0,22050,"LBY","A","LBY-A"
25,"Waveform 1",1,591.8779609,596.3410367,0,22050,"LBY","A","LBY-A"
25,"Spectrogram 1",1,591.8779609,596.3410367,0,22050,"LBY","A","LBY-A"
26,"Waveform 1",1,604.5582402,608.6108034,0,22050,"LBY","A","LBY-A"
26,"Spectrogram 1",1,604.5582402,608.6108034,0,22050,"LBY","A","LBY-A"
27,"Waveform 1",1,617.0104569,621.0174076,0,22050,"LBY","A","LBY-A"
27,"Spectrogram 1",1,617.0104569,621.0174076,0,22050,"LBY","A","LBY-A"
28,"Waveform 1",1,629.4626737,633.4240118,0,22050,"LBY","A","LBY-A"
28,"Spectrogram 1",1,629.4626737,633.4240118,0,22050,"LBY","A","LBY-A"
29,"Waveform 1",1,640.5921275,644.6903032,0,22050,"LBY","A","LBY-A"
29,"Spectrogram 1",1,640.5921275,644.6903032,0,22050,"LBY","A","LBY-A"
30,"Waveform 1",1,652.861894,656.9600698,0,22050,"LBY","A","LBY-A"
30,"Spectrogram 1",1,652.861894,656.9600698,0,22050,"LBY","A","LBY-A"
